"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","geoAddress"
"Noble St. bet. 8th & 16th","Found","","",33.658482,-85.829655,"Anniston","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Greyhound Bus Depot","General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Penny's T-Room - Quintard","General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Haley Center ","Found","(4th floor T-Room & Sanford Park nr. Langton Hall) (Auburn Univ. )","",32.603395,-85.486793,"Auburn","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"5th Ave. N. at 20th St. ","Found","nr. Bus Depot","",33.518077,-86.808184,"Birmingham","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Airport Motel Bar","Found","","",33.562028,-86.75248,"Birmingham","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Pitt Grill ","Found","","6th Ave. S. at 24th St.",33.509639,-86.795133,"Birmingham","AL","(M),(R),(C),(AH)","Bars/Clubs,Restaurant",1981,"",NA,NA,NA
"Redmont Hotel Lounge","Found","","5th Ave. N. at 22nd St",33.519436,-86.805395,"Birmingham","AL","(M),(RT),(B),(PT)","Bars/Clubs,Hotel",1981,"",NA,NA,NA
"Rushton Park","Found","","",33.506402,-86.780064,"Birmingham","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Woodrow Wilson Park","Found","","",33.520773,-86.809888,"Birmingham","AL","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Felicia Del Rio","General Coordinates Used","#NAME?","",33.518589,-86.810357,"Birmingham","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Amtrak & Greyhound Depots","General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"The 'Pumps' ","General Coordinates Used","- Fishing area across bridge from Old Hwy 31 N. ","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Waffle House ","General Coordinates Used","(Open 24 hrs)","Hwy. 31 S.",34.605925,-86.983342,"Decatur","AL","(M),(R)","Restaurant",1981,"",NA,NA,NA
"Bus Depot","Found","","",34.79981,-87.677251,"Florence","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Wilson Park
","Found","","",34.80322,-87.675219,"Florence","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Square at Franklin & Randolph","Found","(AYOR - 'Fuzz')","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Greyhound Bus Depot","General Coordinates Used","","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Lee Mall ","General Coordinates Used","'- Upstairs T-Room (Cl. 4pm)","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area,(*)","Cruising Areas",1981,"",NA,NA,NA
"Jacksonville St. U.","Found","Bibb Graves Hall ","",33.822939,-85.765343,"Jacksonville","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Jacksonville St. U.","Found","Ayer Hall - 2nd floor T-Rooms","",33.824104,-85.765878,"Jacksonville","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Odyssey","General Coordinates Used","(Disco) (Some military)
","So. Pelham Rd.",33.813713,-85.761354,"Jacksonville","AL","(M),(YC),(D)","Bars/Clubs",1981,"",NA,NA,NA
"Bienville Square ","Found","(AYOR at night)(Fuzz)","",30.692229,-88.042546,"Mobile","AL","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Crews Pub","Found","(Cruisy)","301 St. Francis",30.6918,-88.045466,"Mobile","AL","(P),(PT),(*),Cruisy Area","Bars/Clubs,Cruising Areas",1981,"",NA,NA,NA
"Luscher Park","Found","","",30.628862,-88.102592,"Mobile","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"MidTown Cinema","Found","","",30.691199,-88.044599,"Mobile","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Church St. betw. Lee & Molton
","Found","","",32.37535,-86.309754,"Montgomery","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Block around Post Office","General Coordinates Used","","",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
