"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","geoAddress"
"Noble St. betw. 8th & 16th","Found","","",33.658482,-85.829655,"Anniston","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Greyhound Bus Depot","General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Penny's","General Coordinates Used","(T-Room - Quintard)","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Haley Center","Found","(4th floor T-Room) & Sanford Park nr. Langton Hall (Auburn Unv.)","",32.603395,-85.486793,"Auburn","AL","Cruisy Area","Cruising Areas",1982,"checked","Haley Center info site: https://www.auburn.edu/administration/facilities/webapps/buildings/profile.php?bldg=AA_V0401",NA,NA
"Sanford Park ","Found","(Auburn Univ.) (nr. Langton Hall)
","",32.604862,-85.482511,"Auburn","AL","Cruisy Area","Cruising Areas",1982,"checked","Typo: should be Samford Park. In front of Samford Hall:https://www.auburn.edu/administration/facilities/webapps/buildings/profile.php?bldg=AA_X0304",NA,NA
"Sanford Park ","Found","(Auburn Univ.) (nr. Langton Hall)
","",32.604862,-85.482511,"Auburn","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Darvo's","General Coordinates Used","(Very M) (Disco)","167 Gay St.",32.609857,-85.480782,"Auburn","AL","(YC),(D),(M)","Bars/Clubs",1982,"checked","",NA,NA
"5th Ave. N. at 20th St. nr. Bus Depot","Found","","",33.518077,-86.808184,"Birmingham","AL","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Rushton Park","Found","","",33.506402,-86.780064,"Birmingham","AL","(*),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Western Super Market","Found","(Late Sat. nights *)","2230 Highland Ave",33.501784,-86.790606,"Birmingham","AL","Cruisy Area,(*)","Cruising Areas",1982,"checked","",NA,NA
"Woodrow Wilson Park","Found","(AYOR-'Fuzz')","",33.520773,-86.809888,"Birmingham","AL","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Amtrak & Greyhound Depots","General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"The 'Pumps'","General Coordinates Used","(Fishing area across bridge from Old Hwy 31 N.)","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Waffle House","General Coordinates Used","(Open 24 hrs)","Hwy. 31 S.",34.605925,-86.983342,"Decatur","AL","(M),(R)","Restaurant",1982,"checked","",NA,NA
"Bus Depot","Found","","",34.79981,-87.677251,"Florence","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Wilson Park","Found","","",34.80322,-87.675219,"Florence","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Square at Franklin & Randolph","Found","(AYOR-'Fuzz')","",34.730369,-86.586104,"Huntsville","AL","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","whoever did this before me, noted it was an approximate location; because of this, I marked it as general",NA,NA
"Greyhound Bus Depot","General Coordinates Used","","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Lee Mall","General Coordinates Used","(Upstairs T-Room) (Cl. 4pm)","",34.730369,-86.586104,"Huntsville","AL","(*),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Jacksonville St. U.","Found","(Ayer Hall -2nd floor T-Rooms)","",33.824104,-85.765878,"Jacksonville","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Jacksonville St. U.","Found","(Bibb Graves Hall -2nd floor T-Rooms)","",33.822939,-85.765343,"Jacksonville","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Odyssey","General Coordinates Used","(Disco) (Some military)","So. Pelham Rd.",33.813713,-85.761354,"Jacksonville","AL","(M),(YC),(D)","Bars/Clubs",1982,"checked","",NA,NA
"Bienville Square","Found","(AYOR at night) (Fuzz)","",30.692229,-88.042546,"Mobile","AL","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Luscher Park","Found","","",30.628862,-88.102592,"Mobile","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"MidTown Cinema","Found","","",30.691199,-88.044599,"Mobile","AL","Cruisy Area","Cruising Areas,Theatre",1982,"checked","found on CinemaTreasures.org: http://cinematreasures.org/theaters/9476",NA,NA
"Church St. betw. Lee & Molton","Found","","",32.37535,-86.309754,"Montgomery","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Block around Post Office","General Coordinates Used","","",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Lee St. ","General Coordinates Used","(Betw. Bus Depots)","",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Cap'n Hook's","Found","(Cruisy) (Holiday Inn I-280 Bypass)","",32.461534,-85.018611,"Phenix City","AL","(M)","Hotel,Bars/Clubs,Cruising Areas",1982,"checked","",NA,NA
