ID,Title,status,description,streetaddress,lat,lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
4,Noble St. ,Found,betw. 8th & 16th,,33.658482,-85.829655,Anniston,AL,Cruisy Area,Cruising Areas,1985,checked,,"@Eric Gonzaba should ""belw. 8th & 16th"" be in the description ",,2/8/2022 3:33am
1,Greyhound Bus Depot,General Coordinates Used,,,33.659826,-85.831632,Anniston,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/8/2022 3:31am
5,Penny's ,General Coordinates Used,(T-Room) (Quintard),,33.659826,-85.831632,Anniston,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/8/2022 3:34am
6,Haley Center,Found,(4th floor T-Room) (Auburn Univ.),,32.603395,-85.486793,Auburn,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/8/2022 3:47am
7,Stanford Park ,Found,(Auburn Univ.) (nr. Langton Hall),,32.604862,-85.482511,Auburn,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/8/2022 3:54am
2,Gay Awarness P.O. Box,General Coordinates Used,,"P.O. Box 821, Auburn 36830",32.609857,-85.480782,Auburn,AL,,Organization,1985,checked,,,,2/8/2022 3:49am
23,5th Ave. N. at 20th St. ,Found,(nr. Bus Depot),,33.518077,-86.808184,Birmingham,AL,"(AYOR),Cruisy Area",Cruising Areas,1985,checked,,,,2/4/2022 4:16am
20,Quest,Found,(Macho) (Cruisy) (at 5th Ave. S.),416 24th St. S. ,33.510844,-86.796173,Birmingham,AL,"(SM),(C&W),(*)","Bars/Clubs,Cruising Areas",1985,checked,,,,2/4/2022 4:52am
21,Redmont Lounge ,Found,,5th Ave. N. at 22nd St.,33.519436,-86.805395,Birmingham,AL,"(M),(RT)",Bathhouses,1985,checked,,,,2/4/2022 3:48pm
24,Rushton Park ,Found,,,33.506402,-86.780064,Birmingham,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 3:49pm
25,Western Super Market ,Found,(Late Sat. nights),2230 Highland Ave. ,33.501784,-86.790606,Birmingham,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 3:50pm
26,Woodrow Wilson Park,Found,(AYOR- 'Fuzz'),,33.520773,-86.809888,Birmingham,AL,"(AYOR),Cruisy Area",Cruising Areas,1985,checked,,,,2/4/2022 3:50pm
9,Alabama Forum,General Coordinates Used,(Publication),"Box 73062, Birm. 35253",33.518589,-86.810357,Birmingham,AL,,Publications,1985,checked,,,,2/4/2022 4:26am
13,Dignity ,General Coordinates Used,(205) 933-9403 or 674-6773,,33.518589,-86.810357 ,Birmingham,AL,,Religious Institution,1985,checked,,,,2/4/2022 4:37am
14,Gay Center,General Coordinates Used,(205)251-0682,,33.518589,-86.810357,Birmingham,AL,,Community Center/Support Groups,1985,checked,,,,2/4/2022 4:47am
28,Amtrak ,General Coordinates Used,,,34.605925,-86.983342,Decatur,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 3:51pm
29,Greyhound Depots,General Coordinates Used,,,34.605925,-86.983342,Decatur,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 3:52pm
30,The 'Pumps',General Coordinates Used,(Fishing Area across bridge from Old Hwy 31 N.),,34.605925,-86.983342,Decatur,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 3:55pm
27,Waffle House,General Coordinates Used,(Open 24 hrs.),Hwy. 31 S. ,34.605925,-86.983342,Decatur,AL,"(M),(R)",Restaurant,1985,checked,,,,2/4/2022 3:55pm
31,Rodco's Holiday Inn ,General Coordinates Used,,Ross Clark Circle ,31.223231,-85.390489,Dothan,AL,,Hotel,1985,checked,,,,2/8/2022 4:07am
33,Bus Depot ,Found,,,34.79981,-87.677251,Florence,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 3:56pm
34,J.C. Penney's ,Found,Regency Square Mall,,34.837386,-87.634945,Florence,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 3:59pm
35,Wilson Dam Overlook,Found,MacLaughlin Park ,,34.783895,-87.684,Florence,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/7/2022 3:32am
32,The Kettle ,General Coordinates Used,,E. Limestone ,34.79981,-87.677251,Florence,AL,"(M),(R)",Restaurant,1985,checked,,,,2/4/2022 4:04pm
42,Pizitz Dept. Store ,Found,,Parkways City Mall,34.704207,-86.588209,Huntsville,AL,Cruisy Area,Cruising Areas,1985,checked,,Pizitz Department Store was a family-owned department stores: https://www.abandonedalabama.com/pizitz-department-store/,,2/4/2022 4:26pm
43,Square at Franklin & Randolph ,Found,(AYOR- 'Fuzz'),,34.730369,-86.586104,Huntsville,AL,"Cruisy Area,(AYOR)",Cruising Areas,1985,checked,,,,2/13/2022 2:20pm
39,Gay Helpline,General Coordinates Used,(205)539-3424,,34.730369,-86.586104,Huntsville,AL,,Hotline,1985,checked,,,,2/4/2022 4:09pm
40,Observation Point ,General Coordinates Used,(The Overlook) on Governors Dr. ,,34.730369,-86.586104,Huntsville,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/4/2022 4:20pm
41,The Mall,General Coordinates Used,Upstairs T-Room (Days),,34.730369,-86.586104,Huntsville,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/7/2022 3:35am
45,Jacksonville State U. ,Found,2nd floor T-Rooms (Ayer Hall),,33.824104,-85.765878,Jacksonville,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/7/2022 3:42am
44,Jacksonville State U. ,Found,2nd floor T-Rooms (Bibb Graves Hall),,33.822939,-85.765343,Jacksonville,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/7/2022 3:42am
52,Bienville Square ,Found,(AYOR at night)(Fuzz)(Many B),,30.692229,-88.042546,Mobile,AL,"Cruisy Area,(B),(AYOR)",Cruising Areas,1985,checked,,,,2/7/2022 3:44am
53,Luscher Park ,Found,,,30.628862,-88.102592,Mobile,AL,Cruisy Area,Cruising Areas,1985,checked,,,,2/7/2022 3:46am
54,MidTown Cinema,Found,(AYOR),,30.691199,-88.044599,Mobile,AL,"Cruisy Area,(AYOR)",Cruising Areas,1985,checked,,,,2/7/2022 3:50am
