ID,title,status,description,streetaddress,lat,lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,lastmodified
1,Greyhound Bus Depot,General Coordinates Used,,,33.659826,-85.831632,Anniston,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:14pm
2,Noble St. ,Found,betw. 8th & 16th,,33.658482,-85.829655,Anniston,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:15pm
3,Penny's ,General Coordinates Used,T-Room-Quintard,,33.659826,-85.831632,Anniston,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:15pm
4,Gay Awareness ,General Coordinates Used,,"P.O. Box 821, Auburn 36830",32.609857,-85.480782,Auburn,AL,,Organization,1986,checked,,,6/15/2022 4:15pm
6,Haley Center,Found,"(4th floor T-Room), Library & Sanford Park nr. Langton Hall (Auburn Univ.)",,32.603395,-85.486793,Auburn,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:16pm
8,Alabama Forum,General Coordinates Used,(Publication) ,"Box 55913, Birm. 35255",33.518589,-86.810357,Birmingham,AL,,Publication,1986,checked,,,6/15/2022 4:16pm
13,"Gay Center & S.E.C.L.G.M., Inc.",General Coordinates Used,(205) 939-1543,,33.518589,-86.810357,Birmingham,AL,,Community Center/ Support Group,1986,checked,,,6/15/2022 4:16pm
22,5th Ave. N. ,Found,at 20th St. nr. Bus Depot,,33.518077,-86.808184,Birmingham,AL,"(AYOR),Cruisy Area",Cruising Areas,1986,checked,,,6/15/2022 4:16pm
23,Rushton Park,Found,,,33.506402,-86.780064,Birmingham,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:17pm
24,Western Super Market ,Found,(Late Sat. nights),2230 Highland Ave.,33.501784,-86.790606,Birmingham,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:27pm
25,Woodrom Wilson Park ,Found,(AYOR-'Fuzz'),,33.520773,-86.809888,Birmingham,AL,"(AYOR),Cruisy Area",Cruising Areas,1986,checked,,,6/15/2022 4:28pm
26,Waffle House,General Coordinates Used,(Open 24 hrs.) ,Hwy. 31 S.,34.605925,-86.983342,Decatur,AL,"(M),(R)",Restaurant,1986,checked,,,6/15/2022 4:57pm
27,Amtrak & Greyhound Depots,General Coordinates Used,,,34.605925,-86.983342,Decatur,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:28pm
28,The 'Pumps' ,General Coordinates Used,"Fishing area across bridge from
Old Hwy 31 N.",,34.605925,-86.983342,Decatur,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/15/2022 4:56pm
31,Bus Depot,Found,,,34.79981,-87.677251,Florence,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 10:32am
32,J.C. Penney's ,Found,Regency Square Mall,,34.837386,-87.634945,Florence,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 10:32am
33,Wilson Dam Overlook ,Found,MacLaughlin Park,,34.783895,-87.684,Florence,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 10:37am
36,Avenue 54 ,General Coordinates Used,(Quiet lounge) The Mall,,34.730369,-86.586104,Huntsville,AL,(S),Bars/Clubs,1986,checked,,,6/16/2022 10:38am
38,Gay Helpline,General Coordinates Used,(205) 539-3424,,34.730369,-86.586104,Huntsville,AL,,Hotline,1986,checked,,,6/16/2022 10:39am
39,Observation Point,General Coordinates Used,(The Overlook) ,on Governors Dr.,34.730369,-86.586104,Huntsville,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 10:39am
40,The Mall,General Coordinates Used,Upstairs T-Room (Days) ,,34.730369,-86.586104,Huntsville,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 10:40am
41,Pizitz Dept. Store ,Found,Parkway City Mall,,34.704207,-86.588209,Huntsville,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 10:40am
42,Square ,Found,(AYOR--'Fuzz'),at Franklin & Randolph,34.730369,-86.586104,Huntsville,AL,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 10:40am
43,Jacksonville State U. ,Found,"Bibb Graves Hall & Ayer Hall
2nd floor T-Rooms",,33.822939,-85.765343,Jacksonville,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 10:45am
49,Bel Air Mall,Found,SearsT-Room (AYOR),,30.673764,-88.122408,Mobile,AL,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 11:04am
50,Bienville Square ,Found,(AYOR at night) (Fuzz) (Many B) ,,30.692229,-88.042546,Mobile,AL,"Cruisy Area,(AYOR),(B)",Cruising Areas,1986,checked,,,6/16/2022 11:04am
51,MidTown Cinema,Found,,,30.691199,-88.044599,Mobile,AL,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 11:06am
52,Old State Park,General Coordinates Used,opp. Holiday Inn—off causeway,,30.695366,-88.039891,Mobile,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:06am
53,Woolworth's ,General Coordinates Used,'T-Room',,30.695366,-88.039891,Mobile,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:06am
56,Gay Help Line & U.B.U. ,General Coordinates Used,(9am-10pm) (205)264-7887,,32.379223,-86.307737,Montgomery,AL,,Hotline,1986,checked,,,6/16/2022 11:08am
57,M.C.C.,General Coordinates Used,,"P.O. Box 603, Montgomery 36101",32.379223,-86.307737,Montgomery,AL,,Religious Institution,1986,checked,,,6/16/2022 11:09am
59,Auburn U/Mont.,Found,Bell Rd.,,32.369595,-86.178834,Montgomery,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:07am
60,Block around Post Office,General Coordinates Used,,,32.379223,-86.307737,Montgomery,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:08am
61,Church St. betw. Lee & Molton,Found,,,32.37535,-86.309754,Montgomery,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:08am
