"Year","title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","notes","unclear_address","full.address","geoAddress"
1987,"First Heritage Book Store","Found","","16 1st Ave. S.E.","45.464124",-98.48727,"Aberdeen","SD","","Cruising Areas,Book Store","",NA,NA,NA
1987,"Main Street","Found","","","45.463937",-98.488341,"Aberdeen","SD","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Ward Hotel Bar","Found","","","45.463937",-98.488341,"Aberdeen","SD","Cruisy Area","Cruising Areas,Hotel","",NA,NA,NA
1987,"Rose Park ","Found","","","32.44224",-99.753885,"Abilene","TX","(AYOR),Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Sambo's","General Coordinates Used","","","32.448736",-99.733144,"Abilene","TX","(M),(R),(C),(AH),Cruisy Area","Cruising Areas,Restaurant","",NA,NA,NA
1987,"'Ruth Ann' Rest Stop","General Coordinates Used","N.E. on 1-81, betw. exits 6 & 7","","36.709833",-81.977348,"Abingdon","VA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Denny's","Found","","Romig Rd. opp. Rolling Acres Mall","41.051222",-81.580078,"Akron","OH","(M),(R),(C),(AH)","Restaurant","",NA,NA,NA
1987,"M.C.C. ","General Coordinates Used","","P.O. Box 563, Akron 44309","41.081445",-81.519005,"Akron","OH","","Religious Institution","",NA,NA,NA
1987,"Ruby Tuesdays","General Coordinates Used","","Merinan Rd.","41.081445",-81.519005,"Akron","OH","(M)","Bars/Clubs","",NA,NA,NA
1987,"Tavern on the Square","Found","(Sun brunch only)","Quaker Square","41.081065",-81.515496,"Akron","OH","(M),(R)","Restaurant","",NA,NA,NA
1987,"Grace Park ","Found","","","41.084744",-81.509236,"Akron","OH","(AYOR),Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Perkins Park","Found","","","41.076789",-81.550258,"Akron","OH","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Quaker Square","Found"," (Sun. afternoons)","","41.080918",-81.514137,"Akron","OH","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'Rest Stops'","General Coordinates Used","on 1-76, E. & W.","","41.081445",-81.519005,"Akron","OH","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Back Door Saloon","General Coordinates Used","","White Sands Blvd.","32.899533",-105.960265,"Alamagordo","NM","(M)","Bars/Clubs","",NA,NA,NA
1987,"Star Adult Books","General Coordinates Used","On Hwy betw. Alamagordo & Holloman AFB-U.S. 70S.","","32.899533",-105.960265,"Alamagordo","NM","","Cruising Areas,Book Store","",NA,NA,NA
1987,"Dignity","General Coordinates Used","","P.O. Box 11204, Loudonville 12211","42.652579",-73.756232,"Albany","NY","","Religious Institution","",NA,NA,NA
1987,"State Street Pub","Found","","State & Lark","42.655854",-73.764203,"Albany","NY","(YC)","Bars/Clubs","",NA,NA,NA
1987,"Lark","General Coordinates Used","State & Willet Sts. nr. Washington Park","","42.659254",-73.776606,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"S.U.N.Y. Library","Found","","","42.686809",-73.825057,"Albany","NY","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Trailways ","Found","","","42.689539",-73.820348,"Albany","NY","Cruisy Area","Cruising Areas","",NA,NA,NA
1987," Greyhound Bus Depots","General Coordinates Used","","","42.652579",-73.756232,"Albany","NY","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Washington Park","Found","by lake & tennis courts","","42.658355",-73.772791,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Cider Creek Inn ","General Coordinates Used","(L-only) (707) 937-4335","","39.223241",-123.76806,"Albion","CA","(B&B),(L)","Hotel","",NA,NA,NA
1987,"Madame Lovejoy's","Found"," (Books—Cruisy arcade)","4217 Central Ave. N.E.","35.079165",-106.596745,"Albuquerque","NM","","Book Store,Cruising Areas","",NA,NA,NA
1987,"Adult Theatres & Arcades","General Coordinates Used","","4200 Block on Central N.E.","35.075459",-106.564133,"Albuquerque","NM","Cruisy Area,(AYOR)","Cruising Areas,Theatre","",NA,NA,NA
1987,"Coronado Shopping Ctr.","Found","","","35.107105",-106.570217,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Greyhound Bus Depot","Found","","","35.081988",-106.647797,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Plaza Hotel Bar","Found","","","35.108272",-106.624986,"Albuquerque","NM","Cruisy Area","Cruising Areas,Hotel,Bars/Clubs","",NA,NA,NA
1987,"Sandia Park foot trails","Found","","","35.203706",-106.450567,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"76 Truck Stop","General Coordinates Used","1-40 at 1-25","","35.075459",-106.564133,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"University Drug Store","Found","","","35.084319",-106.619781,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of N .M .","Found","Geology Bldg.","","35.084319",-106.619781,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of N .M .","Found"," Electrical Bldg.","","35.084319",-106.619781,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of N .M .","Found","New gym (N. showers)","","35.084319",-106.619781,"Albuquerque","NM","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"City Park","Found","","","31.287216",-92.460078,"Alexandria ","LA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Lake Buhlow Rest Area","General Coordinates Used","","","31.311294",-92.445137,"Alexandria ","LA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Granada Park","Found","Clemente at Park","","34.068202",-118.145728,"Alhambra","CA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Kenton Mine Lodge ","Found","(916) 287-3212","","39.455192",-120.859995,"Alleghany","CA","(H),(M)","Hotel","",NA,NA,NA
1987,"Adult Arcade","Found","Rt. 309 (Coopersburg)","","40.600008",-75.479837,"Allentown","PA","","Cruising Areas,Bars/Clubs","",NA,NA,NA
1987,"Adult Scene","Found","(Books, etc.) ","11th & Hamilton","40.600008",-75.479837,"Allentown","PA","","Book Store","",NA,NA,NA
1987,"Gay & Lesbian Hotline","General Coordinates Used","(Sun., 7-10 pm) (215) 433-5444","","40.602294",-75.47141,"Allentown","PA","","Hotlines","",NA,NA,NA
1987,"Lehigh Pkwy. ","General Coordinates Used","nr. Keck's Bridge","","40.602294",-75.47141,"Allentown","PA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Turner St. ","Found","9th & 10th (Hustlers)","","40.603766",-75.478006,"Allentown","PA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Logan Valley Mall","Found","","","40.469124",-78.411942,"Altoona","PA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'The Block","General Coordinates Used","13th & 14th Aves.","","40.518681",-78.394736,"Altoona","PA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'The Block","General Coordinates Used","12th & 13th Sts.","","40.518681",-78.394736,"Altoona","PA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Ritz","Found","","323 W. 10th Ave.","35.203821",-101.841328,"Amarillo","TX","(C&W),(PT),(*)","Cruising Areas","",NA,NA,NA
1987,"Amarillo College","Found","Chemistry Bldg. (2nd floor)
Student Union","","35.188794",-101.847966,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Elwood Park","Found","","","35.20238",-101.845944,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"K-Mart","General Coordinates Used","24th Ave.","","35.236478",-101.77767,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Montgomery Ward","Found","1-40 & Western in Western Plaza","","35.18751",-101.881778,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"The Bushes","General Coordinates Used","Eakle Park, Polk & 29th","","35.221997",-101.831297,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987," 'Rest Stop' ","General Coordinates Used"," on 1-40, 20 mi. E.","","35.221997",-101.831297,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987," Union 76 Truck Stop","General Coordinates Used","","","35.221997",-101.831297,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Westgate","General Coordinates Used","","","35.221997",-101.831297,"Amarillo","TX","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Gays & Lesbians of Ames ","General Coordinates Used","(515) 292-7000","P.O. Box 2283, Ames 50010","37.979212",-87.609867,"Ames","IA","","Organization","",NA,NA,NA
1987,"Iowa State U.","Found","Memorial Union","","42.023186",-93.645601,"Ames","IA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Iowa State U.","Found","Old Physics Bldg.","","42.029523",-93.647275,"Ames","IA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Iowa State U.","Found","Park Library","","42.028165",-93.648795,"Ames","IA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Iowa State U.","Found","Gilman Hall (1st floor)","","42.029116",-93.648596,"Ames","IA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of Mass.","Found","Goodell downstairs","","42.388671",-72.529264,"Amherst","MA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Identity & Gay Hot Line ","General Coordinates Used","(907) 276-3909 or 276-3919","P.O. Box 4-2791, 99509","61.218923",-149.850373,"Anchorage","AK","","Hotlines","",NA,NA,NA
1987,"'C ' St. ","Found","","4th Ave.","61.218718",-149.887673,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Fred Myers Dept. Store","Found","","","61.211142",-149.735829,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Park Strip ","Found","","9th St.","61.213666",-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Penney's & Sears Mall","Found","","","61.216996",-149.890085,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Park Strip ","Found","","'L' St.","61.213666",-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Adult Bookstore","General Coordinates Used","(Cruisy)(Some Hustlers) ","Main St.","40.10532",-85.680254,"Anderson","IN","","Book Store,Erotic Shop,Cruising Areas","",NA,NA,NA
1987,"Meridian Plaza","General Coordinates Used","","Jackson & Main Sts.","40.098714",-85.679148,"Anderson","IN","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'Rest Stop' ","General Coordinates Used","","S. on I-495","42.658336",-71.136795,"Andover","MA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Gay Hotline","General Coordinates Used","(9am-5pm) (313)662-1977","","42.280826",-83.743038,"Ann Arbor","MI","","Hotlines","",NA,NA,NA
1987,"Pantry","General Coordinates Used","at Division","E. Liberty","42.280826",-83.743038,"Ann Arbor","MI","(M),(R),(C),(AH)","Restaurant","",NA,NA,NA
1987,"Community Book Stores","General Coordinates Used","","","42.280826",-83.743038,"Ann Arbor","MI","Cruisy Area","Cruising Areas,Book Store","",NA,NA,NA
1987,"Dexter 'Rest Stop'","Found","S. side ","I-94 W.","42.33837",-83.888555,"Ann Arbor","MI","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'Rest Stop' northbound ","General Coordinates Used","at 31-mile marker","US 23","42.280826",-83.743038,"Ann Arbor","MI","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"U. of Michigan","Found","Mason Hall (AYOR--'Fuzz')","","42.277088",-83.739412,"Ann Arbor","MI","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Adult Book Store ","General Coordinates Used","(Cruisy)","West St.","38.978445",-76.492183,"Annapolis","MD","","Book Store,Cruising Areas","",NA,NA,NA
1987,"Annapolis Gay People","General Coordinates Used","(301) 267-6238","P.O. Box 3040, 21403 ","38.978445",-76.492183,"Annapolis","MD","","Community Center/Support Group","",NA,NA,NA
1987,"Delta Service Station","General Coordinates Used","","","33.659826",-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Fort McClellan Mall","General Coordinates Used","","","33.659826",-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Lagarde Park","Found","","","33.692729",-85.823936,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Noble St.","Found","betw. 8th & 16th","","33.658482",-85.829655,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Lawrence U","Found","campus","","44.261172",-88.398904,"Appleton","WI","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Lutz Park","Found","","","44.249593",-88.421824,"Appleton","WI","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'Rest Stop'","General Coordinates Used","on US Hwy. 41, betw. Appleton & Green Bay","","44.261931",-88.415385,"Appleton","WI","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'Rest Stop' ","General Coordinates Used","","I-20W","32.549041",-92.920158,"Arcadia ","LA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Tarrant County Gay Alliance","General Coordinates Used","(817) 336-8242","","32.756623",-97.136774,"Arlington","TX","","Organization","",NA,NA,NA
1987,"Steak'n'Eggs","Found","","Columbia Pike","38.804836",-77.046921,"Arlington","VA","(M),(R),(C),(AH)","Restaurant","",NA,NA,NA
1987,"Bell Haven Marina","Found","(Many arrests)","","38.77677",-77.048707,"Arlington","VA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Iwo Jima Memorial","Found","wooded area—OK days,
sure suicide nights (AYOR)","","38.890437",-77.069721,"Arlington","VA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Drake Hotel","Found","","Park & 6th Ave.","40.226775",-74.003241,"Asbury Park","NJ","(H),(M)","Hotel","",NA,NA,NA
1987,"Key West Motel","Found","","","40.220874",-74.001021,"Asbury Park","NJ","","","",NA,NA,NA
1987,"Boardwalk","Found","nr. Convention Hall (Late night)","","40.223796",-73.998585,"Asbury Park","NJ","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Cookman Ave.","Found","around bars (Late night)","","40.216572",-74.008889,"Asbury Park","NJ","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Gay/Lesbian Christian Fellowship","General Coordinates Used","","Box 16006, 28816","35.595058",-82.551487,"Asheville","NC","","Organization,Religious Institution","",NA,NA,NA
1987,"Asheville Mall","Found","","","35.580568",-82.526651,"Asheville","NC","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'Rest Stop'","General Coordinates Used","on I-26S","","35.595058",-82.551487,"Asheville","NC","(WE),(AYOR),Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'The Cage'","General Coordinates Used","Block around Federal Bldg.","","35.595058",-82.551487,"Asheville","NC","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Lithia Park","Found","","","42.192284",-122.718201,"Ashland","OR","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Paragon","Found","(Disco) Hyman St. Mall","","39.188675",-106.81932,"Aspen","CO","(M),(D),(AYOR)","Bars/Clubs","",NA,NA,NA
1987,"Hyman St. Mall","General Coordinates Used","","","39.191098",-106.817539,"Aspen","CO","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Atascadero Lake County Pk.","Found","near zoo","","35.466515",-120.67034,"Atascadero","CA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Clayton & College Sts. ","General Coordinates Used","(Weekdays, nights)","","33.951935",-83.357567,"Athens","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Legion Pool ","Found","(Summers)","","33.94964",-83.378563,"Athens","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of Ga.","Found","Main Library, 5th & 6th floors","","33.954071",-83.37378,"Athens","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of Ga.","Found","Peabody Hall basement","","33.954911",-83.373545,"Athens","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of Ga.","Found","Stegeman Hall gym steam room","","33.942464",-83.377895,"Athens","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"U. of Ga.","Found","Science Library main floor","","33.946037",-83.375308,"Athens","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987," Ohio U.","Found","Baker Center (2nd floor) ","","39.324358",-82.101389,"Athens","OH","Cruisy Area","Cruising Areas","",NA,NA,NA
1987," Ohio U.","Found","Alden Library (6th floor)","","39.324358",-82.101389,"Athens","OH","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Swanky's","General Coordinates Used","","","39.32924",-82.101255,"Athens","OH","(M),Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Atlanta Biz & Prof. Guild","General Coordinates Used","(404) 872-1922","","33.748995",-84.387982,"Atlanta","GA","","Organization","",NA,NA,NA
1987,"BWMT ","General Coordinates Used","","Box 1334, Atlanta 30301","33.748995",-84.387982,"Atlanta","GA","(BWMT)","Organization","Pg. 163, not sure what type",NA,NA,NA
1987,"Cruise /Around the Clock ","General Coordinates Used","(Publication)","P.O. Box 11530, Atlanta 30355","33.748995",-84.387982,"Atlanta","GA","","Publication","",NA,NA,NA
1987,"Dignity ","General Coordinates Used","(Church) ","P.O. Box 14342, Atlanta 30324","33.748995",-84.387982,"Atlanta","GA","","Religious Institution","",NA,NA,NA
1987,"Etc. ","General Coordinates Used","(Magazine) ","P.O. Box 8916, Atlanta 30306","33.748995",-84.387982,"Atlanta","GA","","Publication","",NA,NA,NA
1987,"Help Line","General Coordinates Used"," (404)892-0661","","33.748995",-84.387982,"Atlanta","GA","","Hotlines","",NA,NA,NA
1987,"Hotlanta River Expo, Inc. ","General Coordinates Used","","Box 8528, Atlanta 30306","33.748995",-84.387982,"Atlanta","GA","","Business","",NA,NA,NA
1987,"Integrity ","General Coordinates Used","(Church) ","P.O. Box 13603, Atlanta 30324","33.748995",-84.387982,"Atlanta","GA","","Religious Institution","",NA,NA,NA
1987,"Metro Atlanta Lesbian/Gay ","General Coordinates Used","(404) 875-6965","","33.748995",-84.387982,"Atlanta","GA","","Organization","",NA,NA,NA
1987,"Atlanta Airport","Found","nr. baggage claim","","33.640728",-84.4277,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Cabbage Town ","General Coordinates Used","nr. Grant Park (Chicken)","","33.749792",-84.365377,"Atlanta","GA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Chattahoochee Park ","Found","nature trails","","33.808157",-84.479202,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Cypress St.","Found"," ('The Strip') an alley betw. Peachtree & W. Peachtree from 6th to 8th","","33.77731",-84.38612,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"W. Peachtree ","General Coordinates Used","from 6th to 8th","","33.748995",-84.387982,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Ft. Gordon","Found","PX","","33.430154",-82.126139,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Georgia Tech.","Found","Skiles Bldg. (1st floor)","","33.773547",-84.395964,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Lenox Square Mall","Found","","","33.846723",-84.363749,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Midtown","General Coordinates Used","","","33.748995",-84.387982,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Peachtree Center Shopping Gallery","Found","","800 Peachtree N.E.","33.422991",-84.557279,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Piedmont Park ","Found","nature trails & botanical gardens","","33.785086",-84.373803,"Atlanta","GA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Rich's","General Coordinates Used","Shannon Mall","","33.748995",-84.387982,"Atlanta","GA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Beach Bar","Found","(Trying) So. Carolina at Boardwalk","","39.355963",-74.430157,"Atlantic City","NJ","","Bars/Clubs","",NA,NA,NA
1987,"Beach","Found","opp. Claridge's","","39.355963",-74.430157,"Atlantic City","NJ","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Boardwalk","Found","New York Ave.","","39.352118",-74.443782,"Atlantic City","NJ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"New York Ave. ","General Coordinates Used","","","39.373029",-74.436972,"Atlantic City","NJ","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"parking lots","General Coordinates Used","","","39.373029",-74.436972,"Atlantic City","NJ","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'Rest Stops' ","Found","at Attleboro (AYOR—Many arrests)","I-95 N. ","41.944544",-71.285608,"Attleboro","MA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"'Rest Stops' ","Found","S. at N. Attleboro (AYOR—Many arrests)","I-95 ","41.944544",-71.285608,"Attleboro","MA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA
1987,"Gay Awareness","General Coordinates Used","P.O. Box 821, Auburn 36830","","32.609857",-85.480782,"Auburn","AL","","Organization","",NA,NA,NA
1987,"Haley Center","Found","(4th floor)","","32.603395",-85.486793,"Auburn","AL","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Library & Sanford Park","Found","nr. Langton Hall (Auburn Univ.)","","32.604367",-85.482747,"Auburn","AL","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"'BA' beach ","General Coordinates Used","on American River—downstream","","38.896565",-121.07689,"Auburn","CA","Cruisy Area,(BA)","Cruising Areas","",NA,NA,NA
1987,"Lesgove Park","Found","","","47.299943",-122.216879,"Auburn","WA","Cruisy Area","Cruising Areas","",NA,NA,NA
1987,"Pied Piper ","General Coordinates Used","(Disco)","Damascus Rd.","33.473498",-82.010515,"Augusta","GA","(L),(D)","Bars/Clubs","",NA,NA,NA
1987,"M.C.C.  ","General Coordinates Used","","P.O. Box 18961/78760","30.267153",-97.743061,"Austin","TX","","Religious Institution","",NA,NA,NA
1987,"Oasis Church","General Coordinates Used","Inquire locally","","30.267153",-97.743061,"Austin","TX","","Religious Institution","",NA,NA,NA
