"Year","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
1989,"General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",33.692729,-85.823936,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","betw. 8th & 16th","",33.658482,-85.829655,"Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","P.O. Box 821, 36830","",32.479692,-85.499419,"Auburn","AL","","Organization","",NA,NA,NA,NA
1989,"General Coordinates Used","","P.O. Box 691, 36931",32.609857,-85.480782,"Auburn","AL","","Organization","",NA,NA,NA,NA
1989,"Found","Sanford Park nr. Langton Hall (Auburn U)","",32.603395,-85.486793,"Auburn","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(4th floor) Library (Auburn U)","",32.603395,-85.486793,"Auburn","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Publication) ","Box 55913, 35255",33.518589,-86.810357,"Birmingham","AL","","Publication","",NA,NA,NA,NA
1989,"Found","","2130 5th Ave N",33.506402,-86.780064,"Birmingham","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",33.518589,-86.810357,"Birmingham","AL","","Book Store","8th Ave. & 27th St. N.",NA,NA,NA,NA
1989,"Found","","2230 Highland Ave.",33.501784,-86.790606,"Birmingham","AL","(AYOR),Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Knott Store","",34.572401,-87.017448,"Decatur","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","nr. Picnic Tables","",34.597248,-86.976437,"Decatur","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",34.57121,-86.93589,"Decatur","AL","(M),(H)","Hotel","16th & Johnson",NA,NA,NA,NA
1989,"Found","Swimmin' Hole (Summers) ","",34.57121,-86.93589,"Decatur","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Gateway Shopping Center, Hwy 31 S. ","",34.573998,-86.975861,"Decatur","AL","(M)","Bars/Clubs","",NA,NA,NA,NA
1989,"General Coordinates Used","Ross Clark Circle at Montgomery Hwy","",31.223231,-85.390489,"Dothan","AL","(M)","Bars/Clubs","",NA,NA,NA,NA
1989,"Found","(Summers)","",34.782849,-87.634863,"Florence","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Days)","",34.811018,-87.625245,"Florence","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Nights) ","",34.80322,-87.675219,"Florence","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(205) 539-3424","",34.730369,-86.586104,"Huntsville","AL","","Hotline","",NA,NA,NA,NA
1989,"General Coordinates Used","(The Overlook) On Governer Dr.","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Parkway City Mall","",34.704207,-86.588209,"Huntsville","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Days)","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",33.8478,-85.757482,"Jacksonville","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Bibb Graves Hall","",33.822939,-85.765343,"Jacksonville","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Ayer Hall 2nd floor","",33.824104,-85.765878,"Jacksonville","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Sears","",30.673764,-88.122408,"Mobile","AL","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(205) 476-9142","",30.684647,-88.057628,"Mobile","AL","(MCC)","Religious Institution","",NA,NA,NA,NA
1989,"Found","","",30.691199,-88.044599,"Mobile","AL","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(opp. Holiday Inn - off causeway)","",30.695366,-88.039891,"Mobile","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Bell Rd.","",32.369595,-86.178834,"Montgomery","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","around Post Office","",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","Box 603, 36101",32.379223,-86.307737,"Montgomery","AL","(BWMT)","Organization","",NA,NA,NA,NA
1989,"General Coordinates Used","betw,. Bus Depots & Church St.","",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(205) 264-7887","",32.379223,-86.307737,"Montgomery","AL","(MCC)","Hotline,Religious Institution","",NA,NA,NA,NA
1989,"Found","(days only-AYOR) ","",32.367361,-86.278857,"Montgomery","AL","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",33.209841,-87.569173,"Tuscaloosa","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Old Union Bldg.","",33.209563,-87.548999,"Tuscaloosa","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Ferguson Center ","",33.214516,-87.545665,"Tuscaloosa","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Library","",33.211827,-87.545974,"Tuscaloosa","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","I-20 & US 59","",33.209841,-87.569173,"Tuscaloosa","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Broad St.","",32.43312,-87.016506,"Selma","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
