ID,Title,status,lat,lon,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified
1,Lagarde Park,Found,33.692729,-85.823936,,,Anniston,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 11:35am
2,Noble St. btwn. 8th & 16th,Found,33.658482,-85.829655,,,Anniston,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 11:39am
3,Haley Center Library & Sandford Park nr. Langton,Found,32.603395,-85.486793,,,Auburn,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 11:39am
18,BCC (Birmingham Community Church),General Coordinates Used,33.518589,-86.810357,"(at Lambda Resource Center) 326-8600, 11am Sun",,Birmingham,AL,1993,,Religious Organizations,checked,,,,6/12/2023 11:58am
6,AA Gay/Lesbian,General Coordinates Used,33.518589,-86.810357,"(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed, 11am Sat, 6pm Sun",,Birmingham,AL,1993,,Info Lines & Services,checked,,,,6/12/2023 11:57am
8,Gay Information Line,General Coordinates Used,33.38376,-87.122124 ,"326-8600, 6pm-10pm, from 1pm Sat & Sun",,Birmingham,AL,1993,,Info Lines & Services,checked,,,,6/12/2023 11:59am
17,Men's Night,General Coordinates Used,33.518589,-86.810357,(at Lambda Resource Center) 2nd Mon 7pm,,Birmingham,AL,1993,,Men's Services,checked,,,,6/12/2023 11:59am
20,Alabama Forum,General Coordinates Used,33.518589,-86.810357,326-8600 monthly,"Box 55894, 35255",Birmingham,AL,1993,,Publications,checked,,,,6/12/2023 11:54am
7,Barnes Memorial Library,General Coordinates Used,33.518589,-86.810357,(at Lambda Resource Center) gay/lesbian library,,Birmingham,AL,1993,,Info Lines & Services,checked,,,,6/12/2023 11:58am
27,Rushton Park,Found,33.506402,-86.780064,(AYOR),,Birmingham,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 12:24pm
30,Delano Park,Found,34.597248,-86.976437,,,Decatur,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 12:27pm
31,Point Mallard Park - Swimmin' Hole,Found,34.57121,-86.93589,(Summers),,Decatur,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 12:27pm
29,Beltline Mall,Found,34.572401,-87.017448,,,Decatur,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 12:25pm
28,Amtrak & Greyhound Depots,General Coordinates Used,34.605925,-86.983342,(AYOR),,Decatur,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 12:25pm
32,'The Pumps',General Coordinates Used,34.605925,-86.983342,(AYOR),,Decatur,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 12:25pm
33,Veterans Park,Found,34.811018,-87.625245,(Days) (AYOR),,Florence,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 12:38pm
34,Wilson Park,Found,34.80322,-87.675219,(Nights) (AYOR),,Florence,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 12:38pm
37,Pink Triangle Alliance,General Coordinates Used,34.729901,-86.59007,"539-4235 resource & info line, 10am-early evenings only","P.O. Box 2334, 35804",Huntsville,AL,1993,,Info Lines & Services,checked,,,,6/12/2023 12:42pm
42,Tallulah Bankhead Parkway,General Coordinates Used,34.730369,-86.586104,all overlooks (AYOR),,Huntsville,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 12:45pm
36,Huntsville Help Line,General Coordinates Used,34.730369,-86.586104,"539-1000 24hrs, some gay/lesbian resources","P.O. Box 92, 35804",Huntsville,AL,1993,,Info Lines & Services,checked,,,,6/12/2023 12:40pm
43,Germania Springs,Found,33.8478,-85.757482,,,Jacksonville,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 12:47pm
44,"Jacksonville State U., Bibb Graves Hall & Ayers Hall",Found,33.822939,-85.765343,(AYOR),,Jacksonville,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 12:48pm
50,Troopers,Found,30.690341,-88.043305,"433-7436 cruisy, 3pm-?, from noon Sun",215 Conti. St.,Mobile,AL,1993,"(NH),(PC)","Bars,Cruisy Areas",checked,,,,6/12/2023 1:11pm
49,Sparky's,Found,30.69017,-88.04332,438-1728 Hi NRG dance & cruise bar,55 S. Joachim St.,Mobile,AL,1993,"(D),(NH),(PC),(V)","Bars,Cruisy Areas",checked,,,,6/12/2023 1:10pm
53,Old State Park (opp. Holiday Inn - off causeway),General Coordinates Used,30.695366,-88.039891,,,Mobile,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 1:10pm
58,Auburn University,Found,32.369595,-86.178834,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:17pm
59,"Block around Post Office, early evenings",General Coordinates Used,32.379223,-86.307737,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:18pm
61,Court Square,Found,32.377599,-86.309296,,,Montgomery,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 3:20pm
63,McInnis area,General Coordinates Used,32.292786,-86.252829,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:22pm
62,Eastdale Mall,Found,32.385349,-86.206119,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:21pm
68,W. Fairview Ave. at Goode. St.,Found,32.351708,-86.312436,evenings (AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:33pm
64,Montgomery Mall,General Coordinates Used,32.292786,-86.252829,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:25pm
65,Riverfront Park train terminal,Found,32.382936,-86.312563,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:26pm
60,Cooter's Pond,Found,32.429394,-86.400732,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:20pm
56,Black & White Men Together,General Coordinates Used,32.373798,-86.311007,284-2421,"P.O. Box 603, 36101",Montgomery,AL,1993,(BWMT),Men's Services,checked,,,,6/12/2023 3:18pm
66,Rosa I. Parks Ave. at Mill St.,Found,32.362592,-86.316613,,,Montgomery,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 3:27pm
67,"S. Jackson St, at High St.",Found,32.372036,-86.296317,(AYOR),,Montgomery,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:28pm
74,Bus Station,General Coordinates Used,33.209841,-87.569173,(AYOR),,Tuscaloosa,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:33pm
72,Gay/Lesbian Alliance,Found,33.214516,-87.545433,348-1517,U. of Alabama,Tuscaloosa,AL,1993,,Info Lines & Services,checked,,,,6/12/2023 3:35pm
71,Washington St.,General Coordinates Used,32.413842,-87.022179,,,Selma,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 3:36pm
70,Selma Mall-Broad St.,Found,32.43312,-87.016506,,,Selma,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 3:36pm
5,Autaugaville Rec. Park,General Coordinates Used,32.434025,-86.654702,(AYOR),,Autaugaville,AL,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/12/2023 3:37pm
69,Prattville Park,Found,32.453906,-86.466914,,,Prattville,AL,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 3:37pm
76,Anchorage Gay/Lesbian Info Line,General Coordinates Used,61.196105,-149.915966,"258-4777, irregular hours leave message",,Anchorage,AK,1993,,Info Lines & Services,checked,,,,6/12/2023 3:42pm
81,Identity Northview,General Coordinates Used,61.218923,-149.850373,"258-4777 monthly newsletter, sponsors Fourth Fri Potluck Social, call for details","P.O. Box 200070, 99520",Anchorage,AK,1993,,Publications,checked,,,,6/12/2023 3:43pm
87,Park Strip at 9th & 'L' Sts.,Found,61.213666,-149.903704,,,Anchorage,AK,1993,Cruisy Area,Cruisy Areas,checked,,,,6/12/2023 3:45pm
75,AA Gay/Lesbian,General Coordinates Used,61.217576,-149.899678,272-2312 (AA#) call for times & location,,Anchorage,AK,1993,,Info Lines & Services,checked,,,,6/12/2023 3:39pm
216,Greenwood Hollow Ridge,Found,36.381487,-93.730641,"253-5283 B&B, exclusively gay, RV spaces",1 Greenwood Hollow Ridge,Eureka Springs,AK,1993,"(*),(MX)",Accommodations,checked,,,,6/19/2023 3:36pm
218,Purple Iris Inn,General Coordinates Used,36.393689,-93.707729,"253-8748, (800) 362-7775 17 units, seasonal (Hwy 62 W.)","Rte. 2, Box 339 ",Eureka Springs,AK,1993,(MX),Accommodations,checked,,,,6/19/2023 3:36pm
215,"Gardener's Cottage, The",Found,36.405685,-93.738848,"253-9111 priv. country cottage for 2, seasonal","c/o 11 Singleton, 72632",Eureka Springs,AK,1993,(MX),Accommodations,checked,,,,6/19/2023 3:36pm
214,Dixie Cottage,Found,36.406025,-93.741466,253-7553 (Hist. Loop-old 62B),2 Prospect ,Eureka Springs,AK,1993,(MX),Accommodations,checked,,,,6/19/2023 3:36pm
93,University of Alaska Library,Found,64.856934,-147.820022,(AYOR),,Fairbanks,AK,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 4:10pm
88,Gay Info Line,General Coordinates Used,64.837778,-147.716389,488-6636 leave message on machine,,Fairbanks,AK,1993,,Info Lines & Services,checked,,,,6/19/2023 4:07pm
92,Bentley Mall,Found,61.216889,-149.888942,,,Fairbanks,AK,1993,Cruisy Area,Cruisy Areas,checked,,,,6/19/2023 4:04pm
89,Gay/Lesbian Info Line,General Coordinates Used,64.839827,-147.719466,452-3745 info on local events,"P.O. Box 74552, 99707",Fairbanks,AK,1993,,Info Lines & Services,checked,,,,6/19/2023 4:08pm
223,Flat Rock Beach,General Coordinates Used,35.748664,-93.78346 ,(Mixed crowd but fun),,Fayetteville,AK,1993,"Cruisy Area,(N)",Cruisy Areas,checked,,,,6/19/2023 4:11pm
224,Lake Fayetteville,Found,36.136507,-94.129628,(AYOR),,Fayetteville,AK,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 4:11pm
225,U. of Arkansas Fine Art building,Found,36.067621,-94.175232,(AYOR),,Fayetteville,AK,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 4:11pm
230,De Soto Park,Found,34.53582,-93.02977,(AYOR),,Hot Springs,AK,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 4:11pm
