ID2,title,streetaddress,unclear_address,description,city,state,amenityfeatures,type,unclear type or question,notes,Year,Last Modified
1,Lagarde Park,,checked,,Anniston,AL,Cruisy Area,Cruising Areas,,,1995,4/25/2023 9:22pm
4,Haley Center Library & Sanford Park,,checked,"nr. Langton Hall, Auburn U",Auburn,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
5,Autaugaville Rec. Park,,checked,(AYOR),Autaugaville,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
6,AA Gay/Lesbian,,checked,"(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed & Fri, 6pm Sun",Birmingham,AL,,Info Lines & Services,,,1995,4/25/2023 9:22pm
7,Community Real Estate Referrals,,checked,(800)346-5592 gay realtor at your service,Birmingham,AL,,Info Lines & Services,,,1995,4/25/2023 9:22pm
25,Point Mallard Park,,checked,Swimmin' Hole (Summers),Decatur,AL,Cruisy Area,Cruising Areas,,,1995,4/25/2023 9:22pm
26,"""The Pumps""",,checked,(AYOR),Decatur,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
28,Veterans Park,,checked,"(Days, AYOR)",Florence,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
29,Wilson Park,,checked,"(Nights, AYOR)",Florence,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
32,Pink Triangle Alliance,,checked,"539-4235 resource & info line, 9am-9am",Huntsville,AL,,Info Lines & Services,,,1995,4/25/2023 9:22pm
34,Tallulah Bankhead Pkwy.,,checked,all overlooks (AYOR),Huntsville,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
36,Germania Springs,,checked,,Jacksonville,AL,Cruisy Area,Cruising Areas,,,1995,4/25/2023 9:22pm
44,Black & White Men Together (BWMT),,checked,284-2421,Montgomery,AL,,Info Lines & Services,,,1995,4/25/2023 9:22pm
46,"Montgomery Institute, The",,checked,"244-9623 transgender info, contact Cristine",Montgomery,AL,,Info Lines & Services,,,1995,4/25/2023 9:22pm
50,Cooter Pond,,checked,(AYOR),Montgomery,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
51,McInnis area,,checked,(AYOR),Montgomery,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1995,4/25/2023 9:22pm
52,G/L/B Alliance,,checked,U. of Alabama 348-7210,Tuscaloosa,AL,,Info Lines & Services,,,1995,4/25/2023 9:22pm
57,Anchorage Gay/Lesbian Help Line,,checked,"258-4777, irregular hours, leave message",Anchorage,AK,,Info Lines & Services,,,1995,4/25/2023 9:22pm
78,Island Watch,,checked,235-2265 cabin & suite,Homer,AK,"(GF),(WC)",Accommodations,,,1995,4/25/2023 9:22pm
82,Caritas B&B Newtwork,,checked,(312)857-0801,Cave Creek,AZ,,Accommodations,,,1995,4/25/2023 9:22pm
84,Community Real Estate Referrals,,checked,(800)346-5592 gay realtor at your service,Flagstaff,AZ,,Info Lines & Services,,,1995,4/25/2023 9:22pm
