ID,Title,Year,status,lat,lon,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified,Last Modified By
19,Alabama Forum,1998,General Coordinates Used,33.518589,-86.810357,328-9228,,Birmingham,AL,,Publications,checked,,,,7/3/2024 4:19pm,Taylor Marks
4,Community Real Estate Referrals,1998,General Coordinates Used,33.38376,-87.122124 ,"(800) 346-5592 gay realtor at your service, no rentals",,Birmingham,AL,,Info Lines & Services,checked,,,,7/3/2024 4:22pm,Taylor Marks
20,The Rainbow Pages,1998,General Coordinates Used,33.518589,-86.810357,425-2286/985-5609 business & organization guide,,Birmingham,AL,,Publications,checked,,,,7/3/2024 4:33pm,Taylor Marks
36,Pink Triangle Alliance,1998,General Coordinates Used,34.729901,-86.59007,"539-4235 9am-9pm, resource & info line",,Huntsville,AL,,Info Lines & Services,checked,,,,7/3/2024 4:34pm,Taylor Marks
50,Alabama Bureau of Tourism & Travel,1998,General Coordinates Used,32.373798,-86.311007,242-4169/(800) 252-2262,,Montgomery,AL,,Info Lines & Services,checked,,,,7/3/2024 4:37pm,Taylor Marks
51,Montgomery Institute,1998,General Coordinates Used,32.292786,-86.252829,"514-1822 transgender info line, contact Christine Marshall",,Montgomery,AL,,Info Lines & Services,checked,,,,7/8/2024 9:28pm,Taylor Marks
56,Gay/Lesbian/Bisexual Alliance,1998,Found,33.214516,-87.545433,"UA Ferguson Student Center, 3rd flr. 348-7210 self-help/rap groups",,Tuscaloosa,AL,,Info Lines & Services,checked,,,,7/3/2024 4:44pm,Taylor Marks
80,Anchorage Confidential Connection,1998,General Coordinates Used,61.217576,-149.899678,"563-MEET Meet hot local guys! Record, listen, respond to free ads. Use free code 9966.",,Anchorage,AK,,Men's Services,checked,,,,7/3/2024 4:50pm,Taylor Marks
62,Anchorage Gay/Lesbian Helpline,1998,General Coordinates Used,61.217576,-149.899678,258-4777 6pm-11pm,,Anchorage,AK,,Info Lines & Services,checked,,,,7/3/2024 5:25pm,Taylor Marks
75,Anchorage Press,1998,Found,61.214906,-149.899314,"561-7737 alternative paper, arts & entertainment listings",,Anchorage,AK,,Publications,checked,,,,7/3/2024 5:28pm,Taylor Marks
72,Garcia's,1998,General Coordinates Used,61.199372,-149.918675,"Business Blvd (next to Safeway), Eagle River 694-8600 Mexican",,Anchorage,AK,,Restaurants,checked,,,,7/3/2024 5:31pm,Taylor Marks
76,Identity Northview,1998,General Coordinates Used,61.218923,-149.850373,"258-4777 also sponsors Fourth Fri Potluck &
Anchorage Gay/Lesbian Helpline",,Anchorage,AK,,Publications,checked,,,,7/3/2024 5:32pm,Taylor Marks
84,Alta's B&B,1998,General Coordinates Used,64.840051,-147.719976,"389-2582/457-0246 full brkfst, private/shared baths log
home above Chatanika River ’ 6",,Fairbanks,AK,(MW),Accommodations,checked,,,,7/8/2024 9:30pm,Taylor Marks
86,Crabtree Guest House,1998,General Coordinates Used,64.840051,-147.719976,"451-6501 kitchens, shared baths ",,Fairbanks,AK,(M),Accommodations,checked,,,,7/21/2024 9:03am,Taylor Marks
83,Lesbian/Gay Info Line,1998,General Coordinates Used,64.840051,-147.719976,458-8288 8pm-1 Opm Tue & Th,,Fairbanks,AK,,Info Lines & Services,checked,,,,7/21/2024 9:18am,Taylor Marks
88,Palace Saloon,1998,Found,64.842375,-147.720491,"Alaskaland 456-5960 7pm-10pm, til 3am Fri-Sat
(seasonal), gay after 11pm Fri-Sat only",,Fairbanks,AK,"(GF),(D),(S)",Bars & Nightclubs,checked,,,,7/21/2024 9:21am,Taylor Marks
90,Island Watch B&B,1998,General Coordinates Used,59.648086,-151.529924,"235-2265 full brkfst, kitchens",,Homer,AK,"(GF),(NS),(WC)",Accommodations,checked,,,,7/21/2024 9:32am,Taylor Marks
91,Alaska Tourism Marketing Council,1998,General Coordinates Used,58.300493,-134.420131,465-2010 ask for vacation planner ,,Juneau,AK,,Info Lines & Services,checked,,,,7/21/2024 9:07am,Taylor Marks
92,SEAGLA Helpline,1998,General Coordinates Used,58.300493,-134.420131,586-4297,,Juneau,AK,,Info Lines & Services,checked,,,,7/21/2024 9:11am,Taylor Marks
95,Millar Street House,1998,Found,55.342971,-131.649866,225-1258/(800) 287-1607 also kayak tours,,Ketchikan,AK,(GF),Accommodations,checked,,,,7/21/2024 9:17am,Taylor Marks
222,Arkansas Department of Tourism,1998,Found,34.747235,-92.290914,"One Capitol Mall, 72201(800) 628-8725",,Little Rock,AK,,Info Lines & Services,checked,,,,7/21/2024 9:24am,Taylor Marks
223,Community Real Estate Referrals,1998,General Coordinates Used,34.744462,-92.288016,"(800) 346-5592 gay realtor at your service, no rentals",,Little Rock,AK,,Info Lines & Services,checked,,,,7/21/2024 9:24am,Taylor Marks
224,Gay/Lesbian Task Force Switchboard,1998,General Coordinates Used,34.744462,-92.288016,"375-5504/(800) 448-8305 (in AR) 6:30pm-10:30pm, statewide crisis line & referrals",,Little Rock,AK,,Info Lines & Services,checked,,,,7/21/2024 9:25am,Taylor Marks
232,Lesbian/Gay News Telegraph,1998,General Coordinates Used,34.744462,-92.288016,(314) 664-6411/(800)301-5468 some AR coverage,,Little Rock,AK,,Publications,checked,,,,7/21/2024 9:27am,Taylor Marks
233,Triangle Rising,1998,General Coordinates Used,34.744462,-92.288016,568-4606,,Little Rock,AK,,Publications,checked,,,,7/21/2024 9:28am,Taylor Marks
97,Sauerdough Lodging,1998,Found,60.102145,-149.440887,224-8946,,Seward,AK,(GF),Accommodations,checked,,,,10/5/2024 5:03pm,Amanda Regan
101,Community Real Estate Referrals,1998,General Coordinates Used,35.198284,-111.651302," (800) 346-5592 gay realtor at your service, no rentals",,Flagstaff,AZ,,Info Lines & Services,checked,,,,7/21/2024 9:35am,Taylor Marks
108,The Cottage Inn Jerome,1998,Found,34.748422,-112.110041,634-0701 ,,Jerome,AZ,(GF),Accommodations,checked,,,,7/21/2024 9:37am,Taylor Marks
3324,Arizona Office of Tourism,1998,General Coordinates Used,33.448377,-112.074037,230-7733/(800) 842-8257,,Phoenix,AZ,,Info Lines & Services,checked,,,,7/21/2024 9:38am,Taylor Marks
3331,Arrowzona 'Private' Casitas,1998,General Coordinates Used,33.538652,-112.185987,561-1200/(800) 266-7829 hot tub,,Phoenix,AZ,"(MW),(TA)",Accommodations,checked,,,,7/21/2024 9:40am,Taylor Marks
3332,Bed & Breakfast Inn Arizona,1998,General Coordinates Used,33.538652,-112.185987,561-0335/(800) 266-7829,,Phoenix,AZ,(GF),Accommodations,checked,,,,7/21/2024 9:42am,Taylor Marks
3325,Community Real Estate Referrals,1998,General Coordinates Used,33.538652,-112.185987,"(800) 346-5592 gay realtor at your service, no rentals",,Phoenix,AZ,,Info Lines & Services,checked,,,,7/21/2024 9:42am,Taylor Marks
117,Echo Magazine,1998,General Coordinates Used,33.448377,-112.074037,266-0550,,Phoenix,AZ,,Publications,checked,,,,7/21/2024 9:44am,Taylor Marks
125,Gentle Shepherd MCC,1998,Found,33.391835,-112.064346,2nd & Osborne 285-9020 10am Sun,,Phoenix,AZ,,Spiritual Groups,checked,,,,7/21/2024 9:48am,Taylor Marks
129,Phoenix Confidential Connection,1998,General Coordinates Used,33.448377,-112.074037,"252-3333 Meet hot local guys! Record, listen, respond to free ads. Use code 9966.",,Phoenix,AZ,,Men's Services,checked,,,,7/21/2024 9:54am,Taylor Marks
3336,Westways Resort,1998,General Coordinates Used,33.650181,-112.100108,488-1110,,Phoenix,AZ,"(GF),(SW),(TA)",Accommodations,checked,,,,7/21/2024 9:56am,Taylor Marks
