"description","streetaddress","city","state","amenityfeatures","type","status","lat","lon","Year","notes","title","unclear_address","full.address","geoAddress"
"KPFT-FM 90.1 713/526-4000 midnight-4am Sat, lesbigay radio, also 'Lesbian/Gay Vioces', 6pm Fri","","Houston","TX","","Entertainment & Recreation","General Coordinates Used",29.760427,"-95.369803",1999,"",NA,NA,NA,NA
"E bank of the Mississippi btwn the Franklin Ave & I-94 bridges, Minneapolis esp summer afternoons ","","Minneapolis","MN","Cruisy Area,(AYOR)","Cruisy Areas","Found",44.965539,"-93.223122",1999,"",NA,NA,NA,NA
"412/521-2327","","Pittsburgh","PA","","Info Lines & Services","General Coordinates Used",40.440625,"-79.995886",1999,"",NA,NA,NA,NA
"pier at end of Reynolds St late","","Key West","FL","Cruisy Area,(AYOR)","Cruisy Areas","Found",24.547154,"-81.788282",1999,"",NA,NA,NA,NA
"WXPN-FM 88.5 215/898-6677 8pm Sun, lesbigay radio","","Philadelphia","PA","","Entertainment & Recreation","General Coordinates Used",39.946719,"-75.168902",1999,"",NA,NA,NA,NA
"415/441-5141, 800/258-4458 kitchens","","San Francisco","CA","","Cafes","General Coordinates Used",37.77493,"-122.419415",1999,"Listed under ""SF--Polk Street Area.""",NA,NA,NA,NA
"617/471-8454 full brkfst, Euro-American B&B","","Boston","MA","(MW),NS","Accommodations","General Coordinates Used",42.360083,"-71.05888",1999,"",NA,NA,NA,NA
"Ice Harbor area ","","Dubuque","IA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",42.495735,"-90.665043",1999,"",NA,NA,NA,NA
"by the boat house","","Clifton","NJ","Cruisy Area,(AYOR)","Cruisy Areas","Found",40.849558,"-74.137958",1999,"",NA,NA,NA,NA
"213/650-7772 club listings","","Los Angeles","CA","","Publications","General Coordinates Used",34.052234,"-118.243685",1999,"Listed under ""LA--Overview.""",NA,NA,NA,NA
"S to boardwalk ","","Jacksonville Beach","FL","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",30.282958,"-81.394154",1999,"",NA,NA,NA,NA
"btwn Shipley & Tetnell ","","Wilmington","DE","Cruisy Area,(AYOR)","Cruisy Areas","Found",39.743921,"-75.550549",1999,"",NA,NA,NA,NA
"11th & Washington 305/534-6373 till midnight, 24hrs on wknds, full bar","","Miami Beach","FL","","Restaurants","Found",25.781799,"-80.13226",1999,"",NA,NA,NA,NA
"from 'A' St to State Capitol ","","Lincoln","NE","Cruisy Area,(AYOR)","Cruisy Areas","Found",40.796693,"-96.699676",1999,"",NA,NA,NA,NA
"btwn N & M Sts ","","Washington","DC","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",38.906185,"-77.053301",1999,"",NA,NA,NA,NA
"east side of Lake Calhoun Minneapolis gay beach","","Minneapolis","MN","","Entertainment & Recreation","Found",44.944633,"-93.304758",1999,"",NA,NA,NA,NA
"Rosecrans Rd ","","Zion","IL","","Erotica","General Coordinates Used",42.464658,"-87.876479",1999,"",NA,NA,NA,NA
"501/253-8281 jacuzzis, kitchens","","Eureka Springs","AR","(MW),NS","Accommodations","Found",36.398887,"-93.73742",1999,"",NA,NA,NA,NA
"late","","Ocean City","NJ","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",39.220872,"-74.63838",1999,"",NA,NA,NA,NA
"601/346-4379 social/support group for gay & bisexual men 21-30 yrs","","Jackson","MS","","Info Lines & Services","General Coordinates Used",32.298757,"-90.18481",1999,"",NA,NA,NA,NA
"740/353-1856","","Portsmouth","OH","(MW),(SW),NS","Accommodations","General Coordinates Used",38.731743,"-82.997674",1999,"",NA,NA,NA,NA
"Kapalama Park Gazebo 808/874-3589 7:30am Sun","","Kihei, Maui","HI","","Info Lines & Services","General Coordinates Used",20.739941,"-156.454187",1999,"Listed under ""Maui""",NA,NA,NA,NA
"415/621-1326","","San Francisco","CA","","Info Lines & Services","General Coordinates Used",37.77493,"-122.419415",1999,"Listed under ""SF--Overview.""",NA,NA,NA,NA
"303/322-4440 many mtgs","","Denver","CO","","Info Lines & Services","General Coordinates Used",39.739236,"-104.990251",1999,"",NA,NA,NA,NA
"541/773-4848","","Medford","OR","","Info Lines & Services","General Coordinates Used",42.326515,"-122.875595",1999,"",NA,NA,NA,NA
"716/232-6720 (AA#) call for mtg schedule","","Rochester","NY","","Info Lines & Services","Found",43.154541,"-77.614187",1999,"",NA,NA,NA,NA
"501/443-6366","","Fayetteville","AR","","Info Lines & Services","General Coordinates Used",36.066242,"-94.157853",1999,"",NA,NA,NA,NA
