"Year","status","lat","lon","description","streetaddress","city","state","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
2002,"Found",32.375649,-86.303046,"334/242-4169, 800/252-2262","","","AL","","Info Lines & Services","Statewide",NA,NA,NA,NA
2002,"General Coordinates Used",32.379223,-86.307737,"205/328-9228 lgbt newspaper","","","AL","","Info Lines & Services","Statewide",NA,NA,NA,NA
2002,"General Coordinates Used",32.379223,-86.307737,"404/876-1819 weekly lgbt newspaper for AL, FL (panhandle), GA, LA, MS, TN w/ resource listings","","","AL","","Info Lines & Services","Statewide",NA,NA,NA,NA
2002,"General Coordinates Used",32.318231,-86.902298,"727/526-0585 bi-weekly magazine for gay men","","","AL","","Info Lines & Services","Statewide",NA,NA,NA,NA
2002,"Found",33.692824,-85.823789,"(nr Fort McClellan) head towards the walking trail","Quintard Dr & Hwy 431","Anniston","AL","Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.518589,-86.810357,"205/326-8600 7pm-10pm Mon-Sat","","Birmingham","AL","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",33.38376,-87.122124,"800/346-5592 gay realtor at your service, no rentals","","Birmingham","AL","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",33.511439,-86.652554,"SE of I-459 (at the Cahaba River) ","","Birmingham","AL","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.518589,-86.810357,"205/595-3388 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050.","","Birmingham","AL","","Men's Services","",NA,NA,NA,NA
2002,"Found",33.506402,-86.780064,"Highland Park area hustlers ","","Birmingham","AL","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.518589,-86.810357,"","","Birmingham","AL","(L)","","Location from another entry's description.",NA,NA,NA,NA
2002,"General Coordinates Used",30.695366,-88.039891,"800/289-1489 Call for the local # nearest you! Hot men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050.","","Mobile","AL","","Men's Services","",NA,NA,NA,NA
2002,"Found",30.684659,-88.057654,"at Cornerstone MCC  334/438-1679 (AA#) 7pm Th & Sat ","","Mobile","AL","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",33.218149,-87.557662,"along Black Warrior River also check out the nature trails on the other side of the park","","Tuscaloosa","AL","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",61.217363,-149.872483,"907/929-2200","","","AK","","Info Lines & Services","Statewide",NA,NA,NA,NA
2002,"Found",61.214906,-149.899314,"907/561-7737 alternative paper","","Anchorage","AK","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",61.217576,-149.899678,"907/274-2262 ","","Anchorage","AK","(GS),(NS),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",61.199372,-149.918675,"907/258-4777, 888/901-9876 6pm-11pm","","Anchorage","AK","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",61.218923,-149.850373,"907/258-4777 also sponsors Fourth Fri Potluck","","Anchorage","AK","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",61.218923,-149.850373,"800/289-1489 Call for the local # nearest you! Hot men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050.","","Anchorage","AK","","Men's Services","",NA,NA,NA,NA
2002,"General Coordinates Used",61.218923,-149.850373,"907/563-6338 Meet locals for fun times. 18+ Record & Listen FREE! Use access code 499.","","Anchorage","AK","","Men's Services","",NA,NA,NA,NA
2002,"General Coordinates Used",64.840051,-147.719976,"","","Fairbanks","AK","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",59.648086,-151.529924,"800/478-7777 deluxe cabin cruiser for big-game fishing (halibut), $159 (per person) ","","Homer","AK","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"General Coordinates Used",58.300493,-134.420131,"PO Box 21542 99802  907/586-4297 also publishes newsletter","","Juneau","AK","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",60.102145,-149.440887,"907/224-8946, 877/224-8946 some shared baths","","Seward","AK","(GF),(NS),(WC)","Accommodations","",NA,NA,NA,NA
2002,"Found",35.030474,-114.59748,"Hwy 95 (nr Mohave Jct, S of town) ","","Bullhead City","AZ","","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",35.094679,-111.691247,"PO Box 25640 Munds Park 86017 520/286-2417 ","","Flagstaff","AZ","(M)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",35.198284,-111.651302,"800/346-5592 gay realtor at your service, no rentals","","Flagstaff","AZ","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",34.748422,-112.110041,"520/634-0701 full brkfst","","Jerome","AZ","(GF)","Accommodations","",NA,NA,NA,NA
2002,"Found",37.059747,-111.644157,"PO Box 5114 Page 86040 435/675-5828, 888/479-9419 8-person spa on deck ","","Lake Powell","AZ","(GS)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",33.538652,-112.185987,"623/561-1200 condos, hot tub","","Phoenix","AZ","(MW),(SW)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",33.538652,-112.185987,"602/244-9341 meets 8pm 3rd Sat at Nu-Towne Saloon ","","Phoenix","AZ","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",33.538652,-112.185987,"800/346-5592 gay realtor at your service, no rentals","","Phoenix","AZ","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",33.564211,-112.028863,"Squaw Peak Pkwy  (off Northern) go E along the driveway to the back–popular w/ 9-5ers ","","Phoenix","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.448377,-112.074037,"602/266-0550 biweekly lgbt newsmagazine","","Phoenix","AZ","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",33.650181,-112.100108,"602/264-3646 biweekly lgbt newspaper ","","Phoenix","AZ","","Publications","",NA,NA,NA,NA
2002,"Found",33.536494,-112.145026,"39th Ave (at Glendale), Glendale ","","Phoenix","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.448377,-112.074037,"KZZP 104.7FM  602/279-5577 lgbt radio show 7pm-11pm Sun ","","Phoenix","AZ","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"General Coordinates Used",33.448377,-112.074037,"602/993-4567 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050. ","","Phoenix","AZ","","Men's Services","",NA,NA,NA,NA
2002,"Found",33.453632,-111.948693,"Galvin Pkwy (btwn McDowell Rd & Van Buren St)","","Phoenix","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.448377,-112.074037,"602/252-4900 Meet locals for fun times. 18+ Record & Listen FREE! Use access code 499. ","","Phoenix","AZ","","Men's Services","",NA,NA,NA,NA
2002,"Found",33.694342,-112.187975,"I-17 N to Bell Rd (then W to 59th Ave), Glendale popular w/ 9-5ers","","Phoenix","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.448377,-112.074037,"602/265-7283, 602/234-2752 (also TDD) 10am-10pm (volunteers permitting) ","","Phoenix","AZ","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",33.533435,-112.106293,"21st Ave (N of Bethany Home) nights","","Phoenix","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.548429,-112.468248,"","","Prescott","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.613737,-112.44085,"Willow Creek Rd (3 miles S of Hwy 89)","","Prescott","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.544582,-112.492234,"520/445-8800 1:30pm-5:50pm Tue, Th & Sat, call for special activities ","","Prescott","AZ","(WC)","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",34.824424,-111.805914,"PO Box 510 Cornville 86325 928/634-4842 rustic cottages along Oak Creek on working ranch nr Sedona ","","Sedona","AZ","(MW)","Accommodations","",NA,NA,NA,NA
