"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"Arcade","Found","4th Ave at 'C' St.","","Anchorage","AK","(M),(RT)","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA
"Arcade","Found","4th Ave at 'C' St.","","Anchorage","AK","(M),(RT)","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA
"Arcade","Found","4th Ave at 'C' St.","","Anchorage","AK","(B),(M),(RT)","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA
"Bently & Gaviota Malls","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"Big I","General City Coordinates","(Cruisy) (Inquire locally)","","Fairbanks","AK","(M)","Bars/Clubs,Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"Big I","General City Coordinates","(Cruisy) (Inquire locally)","","Fairbanks","AK","(M)","Bars/Clubs,Cruising Areas",1979,NA,NA,NA,NA,NA,NA
"Cinema II","General City Coordinates","(Books & arcade) 1/2 mi. from town on Steece Hwy.","","Fairbanks","AK","","Book Store,Theatre",1980,NA,NA,NA,NA,NA,NA
"Cinema II","General City Coordinates","(Books & arcade) 1/2 mi. from town on Steece Hwy.","","Fairbanks","AK","","Book Store,Theatre",1979,NA,NA,NA,NA,NA,NA
"Cinema II","General City Coordinates","(Books & arcade) 1/2 mi. from town on Steece Hwy.","","Fairbanks","AK","","Book Store,Theatre",1978,NA,NA,NA,NA,NA,NA
"Cinema Two","General City Coordinates","(Books & arcade) 1/2 mi. from town on Steece Hwy.","","Fairbanks","AK","","Book Store,Theatre",1977,NA,NA,NA,NA,NA,NA
"Cinema Two","General City Coordinates","(Books & arcade) 1/2 mi. from town on Steece Hwy.","","Fairbanks","AK","","Book Store,Theatre",1976,NA,NA,NA,NA,NA,NA
"Federal & State Office Bldgs.","Found","","","Juneau","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"Fred Myers Dept. Store T-Room","Found","(Look for Dino in the first booth)","","Anchorage","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"Frontier Bar","Found","Main St.","","Ketchikan","AK","(M)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"M.C.C.","General City Coordinates","","10th Ave.","Anchorage","AK","(MCC)","Church",1979,NA,NA,NA,NA,NA,NA
"M.C.C.","General City Coordinates","","10th Ave.","Anchorage","AK","(MCC)","Church",1978,NA,NA,NA,NA,NA,NA
"M.C.C.","General City Coordinates","","10th Ave.","Anchorage","AK","(MCC)","Church",1977,NA,NA,NA,NA,NA,NA
"Merchants Wharf - T-Rooms","Found","","","Juneau","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"Movie arcades & book stores on 4th Ave. nr. 'C' St.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA
"Movie arcades & book stores on 4th Ave. nr. 'C' St.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA
"Movie arcades & book stores on 4th Ave. nr. 'C' St.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA
"Movie Arcades & News stands on 4th Ave.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA
"Movie Arcades & News stands on 4th Ave.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA
"Movie arcades on 4th nr. 'C' St.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
