"title","status","description","streetaddress","city","Year","state","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"Other Side","Found","","Washington & San Diego","Culver City",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"St. Michael's Alley","General City Coordinates Used","","University Av","Palo Alto",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Pine Ridge Lodge","General City Coordinates Used","(D-H)","12 mi S of Ft Bragg Calif","Mendocino",1965,"CA","(D) - Dancing_,""(H) - Hotel - motel, lodgings or other over night accommodations_""","Hotels","",NA,NA,NA,NA,NA
"Reef","Found","","Pacific Coast Hwy & Chanel Rd","Santa Monica",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Red Derby","General City Coordinates Used","Inquire Locally","","Santa Rosa",1965,"CA","""(M) - Mixed, and/or tourists_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Dante's ","General City Coordinates Used","","","Cathedral City",1965,"CA","","Bars/Clubs","No address listed",NA,NA,NA,NA,NA
"Vieux Carre","General City Coordinates Used","","Guerneville","Russian River",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Dante's","General City Coordinates Used","","Cathedral City","Palm Springs",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Rendezvous","Found","(see Club Rendezvous)","567 Sutter St","San Francisco",1965,"CA","(*) - Very popular_","Bars/Clubs","",NA,NA,NA,NA,NA
"Club Seven","Found","","14th St & 2nd Av","Oakland",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Do-Nut Wagon","Found","(Caboose)","Turk nr Jones","San Francisco",1965,"CA","""(C) - Coffee - sometimes food too, usually open late when bars close_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Oak Room","Found","St. Francis Hotel"," Powell & Geary Sts","San Francisco",1965,"CA","(PE) - Pretty elegant - usually jacket and tie required_","Hotels","",NA,NA,NA,NA,NA
"Rancho Dandy","General City Coordinates Used","","Hwy 111 Rancho Mirage","Palm Springs",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Union Point Resort Bar","General City Coordinates Used","(weekends primarily)","12 mi W on Borden Hwy","Stockton",1965,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Pearle's","Found","(rear Gilded Cage enter off O'Farrell St via Alley","","San Francisco",1965,"CA","""(C) - Coffee - sometimes food too, usually open late when bars close_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Samson & Delilah Baths","General City Coordinates Used","(inquire locally) ","","El Monte",1966,"CA","","Baths","",NA,NA,NA,NA,NA
"Do-Nut Wagon","Found","","Turk Nr Jones St","San Francisco",1966,"CA","""(C) - Coffee, soft drinks and sometimes snacks""","Bars/Clubs","",NA,NA,NA,NA,NA
"Club Seven","Found","","14th St at 2nd Ave","Oakland",1966,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Mr. B's South","General City Coordinates Used","(inquire locally)","","Los Angeles ",1966,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(S) - Shows - impersonators or record pantomime acts - often touristy,(M) - Mixed Crowds","Bars/Clubs","",NA,NA,NA,NA,NA
"Pine Ridge Lodge","General City Coordinates Used","12 mi S Ft Bragg","","Mendocino",1966,"CA","(M) - Mixed Crowds","Hotels","",NA,NA,NA,NA,NA
"No-Hu-Hu-Hut-Tower","General City Coordinates Used","Ct & W Capitol St","","Sacramento ",1966,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Fran's Pine Lake Lodge","Found","Old Hwy 99 at  Ashland","","Fresno",1966,"CA","(*) - Very popular","Hotels","",NA,NA,NA,NA,NA
"The Strand","Found","(On the boardwalk)","","Manhattan Beach ",1966,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Vieux Carre","General City Coordinates Used","(Guerneville)","","Russian River",1966,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Rendezvous","Found","(see Club Rendezvous)","567 Sutter St","San Francisco",1966,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Pearle's ","Found","(behind Gilded Cage via alley off O'Farrell St nr Mason","","San Francisco",1966,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Union Point Resort Bar","General City Coordinates Used","(weekends)","Borden Hwy","Stockton",1966,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Oak Room","Found","","St Francis Hotel Powell at Geary St","San Francisco",1966,"CA","(PE) - Pretty elegant - jacket & tie may be required","Hotels","",NA,NA,NA,NA,NA
"Happy Hour","General City Coordinates Used","","Garden Grove near Harbor","Garden Grove",1968,"CA","""(G) - Girls, but rarely exclusively_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Palmer House ","Found","900 Blk on Valencia ","","San Francisco",1968,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Ship of Fools","Found","","W Chanel Rd near Pacific Coast Hwy","Los Angeles ",1968,"CA","(M) - Mixed crowd and/or tourists_","Bars/Clubs","",NA,NA,NA,NA,NA
"GIlded Cage ","Found","Tyler nr. Franklin (behind Stage Theatre)","","Monterey",1968,"CA","(*) - Very popular_","Bars/Clubs","",NA,NA,NA,NA,NA
"Orlando Baths","Found","","W 3rd St at La Cienega","Los Angeles ",1968,"CA","","Baths","",NA,NA,NA,NA,NA
"Kelley's ","Found","E 12th St. at 10th Ave. ","","Oakland",1968,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Wel-Com Inn","Found","","Pacific Coast Hwy near El Segundo","Long Beach",1968,"CA","""(G) - Girls, but rarely exclusively_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Patch Warehouse Borinquin","Found","Previous location crossed out","Anaheim & Pioneer Ave","Manhattan Beach ",1968,"CA","","Bars/Clubs","Previous location crossed out",NA,NA,NA,NA,NA
"CC Club","General City Coordinates Used","","Washington Blvd","Los Angeles ",1968,"CA","","Bars/Clubs","No address listed",NA,NA,NA,NA,NA
"Pearle's ","Found","(behind Gilded Cage off O'Farrell St. via alley bet Mason and Powell) ","","San Francisco",1968,"CA","""(C) - Coffee - sometimes food too, usually open late when bars close_"",(*) - Very popular_","Bars/Clubs","",NA,NA,NA,NA,NA
"Club Seven ","Found","14th St. at 2nd Ave.","","Oakland",1968,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Reef","Found","","Pacific Coast Hwy & Chanel Rd","Santa Monica",1968,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Oak Room ","Found","St. Francis Hotel, Powell at Geary","","San Francisco",1968,"CA","(PE) - Pretty elegant - usually jacket and tie advised if not required_","Bars/Clubs","",NA,NA,NA,NA,NA
