ID,Title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
531,Ship's Tavern,Found,Brown Palace Hotel,17th & Tremont,"39.744099,-104.988361",Denver,CO,"(M),(PE)","Bars/Clubs,Hotels",checked,,1965,,4/9/2020 1:38am,7/14/2020 9:32am
518,Pirate's Den,Found,(via back door),17th & Federal,"39.743952,-105.02524",Denver,CO,,Bars/Clubs,checked,,1966,,4/9/2020 1:33am,4/9/2020 1:39am
506,Pirate's Den ,Found,(via back door),17th & Federal,"39.743952,-105.02524",Denver,CO,,Bars/Clubs,checked,,1968,,4/9/2020 1:23am,4/9/2020 1:29am
483,Red Ram Lounge,Found,Alamo Hotel Tejon & Cucharras,,"38.831331,-104.824167",Colorado Springs,CO,(M),"Bars/Clubs,Hotels",checked,,1969,,4/9/2020 1:10am,7/14/2020 9:32am
493,Pirates Den,Found,(use back door),17th & Federal,"39.743952,-105.02524",Denver,CO,,Bars/Clubs,checked,,1969,,4/9/2020 1:14am,4/9/2020 1:19am
439,Red Ram Lounge,Found,,Tejon & Cucharras,"38.831331,-104.824167",Colorado Springs,CO,(M),Bars/Clubs,checked,,1971,,4/9/2020 12:45am,4/9/2020 1:26am
431,Washington Park ,Found,Pavilion by North Lake,,"39.700242,-104.964044",Denver,CO,Cruisy Area,Cruising Areas,checked,,1972,,4/9/2020 12:41am,4/9/2020 12:42am
430,State Capitol grounds ,Found,('Sodomy Circle'),,"39.739325,-104.984807",Denver,CO,Cruisy Area,Cruising Areas,checked,,1972,,4/9/2020 12:41am,4/9/2020 12:42am
425,Rocky Mountain Bar,Found,,7th & Water,"39.75199,-105.014748",Denver,CO,,Bars/Clubs,checked,,1972,,4/9/2020 12:40am,4/9/2020 12:42am
428,Cheeseman Park,Found,,,"39.733468,-104.964417",Denver,CO,Cruisy Area,Cruising Areas,checked,,1972,,4/9/2020 12:41am,4/9/2020 12:42am
427,Turk's,Found,,42nd & Fox,"39.774226,-104.994828 ",Denver,CO,"(G),(M),(RT)",Bars/Clubs,checked,,1972,,4/9/2020 12:40am,4/9/2020 12:42am
429,City Park,Found,East end off Colorado,,"39.747635,-104.940835",Denver,CO,Cruisy Area,Cruising Areas,checked,,1972,,4/9/2020 12:41am,4/9/2020 12:42am
405,Washington Park ,Found,Pavilion by North Lake,,"39.700242,-104.964044",Denver,CO,Cruisy Area,Cruising Areas,checked,,1973,,4/9/2020 12:28am,4/9/2020 12:29am
377,Denny's,Found,(after hours),Bijou at I-25,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1973,,4/8/2020 11:53pm,4/9/2020 1:26am
