"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","General Coordinates Used","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","General Coordinates Used","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","General Coordinates Used","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Boat House","Found","(Disco) (some L) (2 bars)","Bellvue & Bayard - on the bay at Dewey Beach","Rehoboth Beach","DE","(YC),(D),(G),(R)","Bars/Clubs",1978,NA,NA,NA,NA,NA,NA
"Boat House","Found","(Disco) (Some G) (2 bars) ","Bellevue & Bayard - on the Bay at Dewey Beach","Rehoboth Beach","DE","(YC),(*),(D),(G),(R)","Bars/Clubs",1979,NA,NA,NA,NA,NA,NA
"Boat House","Found","(Disco) (some L) (2 bars)","Bellevue & Bayard - on the Bay at Dewey Beach","Rehoboth Beach","DE","(YC),(*),(D),(L),(R)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Carpenters Beach","General Coordinates Used","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Cork 'n' Bottle","General Coordinates Used","","Route 14, 1 mile south of town","Rehoboth Beach","DE","(M),(R)","Restaurant",1976,NA,NA,NA,NA,NA,NA
"Cork 'n' Bottle","General Coordinates Used","","Route 14, 1 mile south of town","Rehoboth Beach","DE","(M),(R)","Restaurant",1977,NA,NA,NA,NA,NA,NA
"Henlopen Hotel Bar","Found","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Bars/Clubs,Hotels",1972,NA,NA,NA,NA,NA,NA
"Henlopen Hotel Bar","Found","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Hotels,Bars/Clubs",1973,NA,NA,NA,NA,NA,NA
"Henlopen Hotel Bar","Found","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA,NA
"Market & King Sts betw. 8th & 10th","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1975,NA,NA,NA,NA,NA,NA
"Market & King Sts betw. 8th & 10th","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1976,NA,NA,NA,NA,NA,NA
"Market & King Sts betw. 8th & 10th","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1977,NA,NA,NA,NA,NA,NA
"Market & King Sts betw. 8th & 10th","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Market & King Sts., betw. 8th & 10th","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Market & King Sts., betw. 8th & 10th","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Nomad","General Coordinates Used","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1971,NA,NA,NA,NA,NA,NA
"Nomad Village Motel","General Coordinates Used","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels",1974,NA,NA,NA,NA,NA,NA
"Nomad Village Motel","General Coordinates Used","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels",1975,NA,NA,NA,NA,NA,NA
"Nomad Village Motel ","General Coordinates Used","(Bar (H))","P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Bars/Clubs,Hotels",1972,NA,NA,NA,NA,NA,NA
"Nomad Village Motel ","General Coordinates Used","(Bar (H))","P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Bars/Clubs,Hotels",1973,NA,NA,NA,NA,NA,NA
"Nomad Village Motel & Other Room Bar","General Coordinates Used","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1976,NA,NA,NA,NA,NA,NA
