"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"Chicken Lips","Found","(Disco) (Basement) (Guam Hilton Hotel San Vitores Rd.",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(B) - Blacks frequent","Bars/Clubs,Hotels",1979,NA,NA,NA,NA,NA,NA
"Chicken Lips","Found","(Disco) (Some B) (Basement) Guam Hilton Hotel San Vitores Rd.",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing,(B) - Blacks frequent","Bars/Clubs,Hotels",1980,NA,NA,NA,NA,NA,NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1974,NA,NA,NA,NA,NA,NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1975,NA,NA,NA,NA,NA,NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1978,NA,NA,NA,NA,NA,NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1976,NA,NA,NA,NA,NA,NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1977,NA,NA,NA,NA,NA,NA
"DJ's","General Coordinates Used","(Disco) Hotel Row Pale San Vitores Rd.",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular","Bars/Clubs,Hotels",1979,NA,NA,NA,NA,NA,NA
"Guam Hilton Hotel Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1976,NA,NA,NA,NA,NA,NA
"Guam Hilton Hotel Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1975,NA,NA,NA,NA,NA,NA
"Guam Hilton Hotel Lounge","General Coordinates Used","Hotel Strip",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1974,NA,NA,NA,NA,NA,NA
"Hilton Hotel Beach","Found","",NA,"Tumon Bay","GU","Cruisy Area","Cruising Areas,Hotels",1980,NA,NA,NA,NA,NA,NA
"Mi Elena Club","General Coordinates Used","(Inquire locally) (Agana)",NA,"Agana","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender') Hotel o Kura",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs,Hotels",1978,NA,NA,NA,NA,NA,NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender - ask for Angel') (Cl. 12 midnight) Hotel Okura Pale San Vitores Rd.",NA,"Tumon Bay","GU","(*) - Very popular,(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations"",(E) - Entertainment,(OC) - Older/More Mature Crowd","Bars/Clubs,Hotels",1980,NA,NA,NA,NA,NA,NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender - ask for Angel') (Cl. 12 midnight) Hotel Okura Pale San Vitores Rd.",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(*) - Very popular,""(H) - Hotel, motel, or other overnight accomodations"",(E) - Entertainment,(OC) - Older/More Mature Crowd","Bars/Clubs,Hotels",1979,NA,NA,NA,NA,NA,NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender') Hotel o Kura",NA,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs,Hotels",1977,NA,NA,NA,NA,NA,NA
"Star Cafe & Bar","General Coordinates Used","Downtown, opp. Agana Loop",NA,"Agana","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA
"Star Cafe & Bar","General Coordinates Used","Downtown, opp. Agana Loop",NA,"Agana","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA
"Teraque 'BA' Beach","Found","",NA,"Tumon Bay","GU","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA
"Teraque 'BA' Beach","Found","",NA,"Tumon Bay","GU","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA
