ID,title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified,lastmodified 2
290,Alibi Lounge,General Coordinates Used,,,"43.615019,-116.202314",Boise,ID,,Bars/Clubs,1974,checked,,,,,
352,Alpine Villa Townhouse,Found,,"Box 456, Ketchum Id., 83340","43.697129,-114.351717 ",Sun Valley,ID,"(H),(M)",Hotels,1980,checked,,,,,
354,Alpine Villa Townhouses,Found,,"Box 456, Ketchum, Idaho 83340","43.697129,-114.351717 ",Sun Valley,ID,(H),Hotels,1977,checked,,,,,
351,Alpine Villa Townhouses,Found,,"Box 456, Ketchum Id. 83340","43.697129,-114.351717 ",Sun Valley,ID,(H),Hotels,1978,checked,,,,,
353,Apline Villa Townhouses ,Found,,"Box 456, Ketchum, Id. 83340","43.697129,-114.351717 ",Sun Valley,ID,(H),Hotels,1979,checked,,,,,
315,Block surrounding Idanha Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1980,checked,,,,,
308,Block surrounding the Idanha Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1979,checked,,,,,
288,Block Surrounding the Idanho Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1973,checked,,,,,
289,Block Surrounding the Idanho Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1974,checked,,,,,
291,Block Surrounding the Idanho Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1975,checked,,,,,
296,Block Surrounding the Idanho Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1976,checked,,,,,
298,Block Surrounding the Idanho Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1977,checked,,,,,
303,Block Surrounding the Idanho Hotel,Found,,,"43.617211,-116.205511",Boise,ID,Cruisy Areas,Crusing Areas,1978,checked,,,,,
300,Classroom Center - T-Rooms/University of Idaho,Found,,,"46.728812,-117.012608",Moscow,ID,Cruisy Areas,Crusing Areas,1977,checked,,,,,
287,Coach Lantern,General Coordinates Used,Out of downtown area - inquire locally,,"43.615019,-116.202314",Boise,ID,,Bars/Clubs,1972,checked,,,,,
342,Idanha Hotel,Found,(downstairs) ,10th & Main Sts.,"43.616794,-116.205854",Boise,ID,(M),"Hotels,Bars/Clubs",1966,checked,,,,,
343,Idanha Hotel,Found,(downstairs bar) ,10th & Main Sts.,"43.616794,-116.205854",Boise,ID,(M),"Hotels,Bars/Clubs",1968,checked,,,,,
344,Idanha Hotel,Found,(downstairs bar) ,10th & Main Sts.,"43.616794,-116.205854",Boise,ID,(M),"Hotels,Bars/Clubs",1969,checked,,,,,
345,Idanha Hotel,Found,(downstairs) ,10th & Main Sts.,"43.616794,-116.205854",Boise,ID,(M),"Hotels,Bars/Clubs",1970,checked,,,,,
346,Idanha Hotel,Found,(downstairs) ,10th & Main Sts.,"43.616794,-116.205854",Boise,ID,(M),"Hotels,Bars/Clubs",1971,checked,,,,,
347,Idanho Hotel Weeds Bar,Found,(downstairs),10th & Main Sts.,"43.616794,-116.205854",Boise,ID,(M),"Bars/Clubs,Hotels",1972,checked,,,,,
355,Kopper Kitchen,General Coordinates Used,,I-80 at Vista,"43.615019,-116.202314",Boise,ID,"(M),(R),(C),(AH)",Restaurant,1980,checked,,Vista Ave Seems to no longer exist - replaced by an airport maybe?,,,
327,Lewis & Clark Motel,Found,,2nd & Main,"46.421548,-117.030526",Lewiston,ID,"(M),(H)",Hotels,1979,checked,,approximate.,,,
328,Lewis & Clark Motel,Found,,2nd & Main,"46.421548,-117.030526",Lewiston,ID,"(M),(H)",Hotels,1980,checked,,approximate.,,,
325,Lewis & Clark Motor Inn,Found,,2nd & Main,"46.421548,-117.030526",Lewiston,ID,"(M),(H)",Hotels,1977,checked,,approximate.,,,
326,Lewis & Clarke Motel,Found,,2nd & Main,"46.421548,-117.030526",Lewiston,ID,"(M),(H)",Hotels,1978,checked,,approximate.,,,
331,Little Mac's,Found,,9th & Main St.,"43.61622,-116.204679",Boise,ID,(M),Bars/Clubs,1966,checked,,,,,
332,Little Mac's,Found,,9th & Main St.,"43.61622,-116.204679",Boise,ID,(M),Bars/Clubs,1968,checked,,,,,
333,Little Mac's,Found,,9th & Main St.,"43.61622,-116.204679",Boise,ID,(M),Bars/Clubs,1969,checked,,,,,
334,Little Mac's,Found,,9th & Main St.,"43.61622,-116.204679",Boise,ID,(M),Bars/Clubs,1970,checked,,,,,
335,Little Mac's,Found,,9th & Main St.,"43.61622,-116.204679",Boise,ID,(M),Bars/Clubs,1971,checked,,,,,
348,Moscow Hotel - T-Room,Found,,313 S. Main,"46.731985,-117.001911",Moscow,ID,Cruisy Areas,Crusing Areas,1979,checked,,,,,
317,Moscow Hotel - T-Room,Found,,,"46.731985,-117.001911",Moscow,ID,Cruisy Areas,Crusing Areas,1980,checked,,,,,
361,Northwest Gay Alliance ,General Coordinates Used,,"P.O. Box 8758, Moscow, Idaho, 83843","46.732387,-117.000165",Moscow,ID,,Organizations,1980,checked,,,,,
329,Pioneer Park,Found,(HOT -WE) ,5th St. at 3rd Ave.," 46.419486,-117.025451",Lewiston,ID,"(WE),(AYOR),(HOT),Cruisy Areas",Crusing Areas,1979,checked,,,,,
330,Pioneer Park,Found,(HOT -WE) ,5th St. at 3rd Ave.," 46.419486,-117.025451",Lewiston,ID,"(WE),(AYOR),Cruisy Areas",Crusing Areas,1980,checked,,,,,
336,Riley's Bar,Found,(downstairs in basement of Idanho Hotel),10 & Main Sts.,"43.616794,-116.205854",Boise,ID,(M),"Bars/Clubs,Hotels",1973,checked,,,,,
337,Riley's Bars,Found,(downstairs in basement of Idanho Hotel),10th & Main,"43.616794,-116.205854",Boise,ID,(M),"Bars/Clubs,Hotels",1974,checked,,,,,
338,Riley's Bars,Found,(downstairs in basement of Idanho Hotel),10th & Main,"43.616794,-116.205854",Boise,ID,(M),"Bars/Clubs,Hotels",1975,checked,,,,,
339,Riley's Bars,Found,(downstairs in basement of Idanho Hotel),10th & Main,"43.616794,-116.205854",Boise,ID,(M),"Bars/Clubs,Hotels",1976,checked,,,,,
340,Riley's Bars,Found,(downstairs in basement of Idanho Hotel),10th & Main,"43.616794,-116.205854",Boise,ID,(M),"Bars/Clubs,Hotels",1977,checked,,,,,
292,Riverside Drive,Found,,,"43.500985,-112.042787",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1975,checked,,,,,
295,Riverside Drive,Found,,,"43.500985,-112.042787",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1976,checked,,,,,
299,Riverside Drive,Found,,,"43.500985,-112.042787",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1977,checked,,,,,
307,Riverside Drive,Found,,,"43.500985,-112.042787",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1978,checked,,,,,
310,Riverside Drive,Found,,,"43.500985,-112.042787",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1979,checked,,,,,
313,Riverside Drive,Found,,,"43.500985,-112.042787",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1980,checked,,,,,
293,Snake River Falls,Found,,,"43.496607,-112.043772",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1975,checked,,approximate,,,
294,Snake River Falls,Found,,,"43.496607,-112.043772",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1976,checked,,approximate,,,
301,Snake River Falls,Found,,,"43.496607,-112.043772",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1977,checked,,approximate,,,
304,Snake River Falls,Found,,,"43.496607,-112.043772",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1978,checked,,approximate,,,
309,Snake River Falls,Found,,,"43.496607,-112.043772",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1979,checked,,approximate,,,
316,Snake River Falls,Found,,,"43.496607,-112.043772",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1980,checked,,approximate,,,
357,Stables,General Coordinates Used,,On Hatwai (North-South Hwy.) 3 mi N.E. of town,"46.400409,-117.001189",Lewiston,ID,(M),Bars/Clubs,1974,checked,,,,,
358,Stables,General Coordinates Used,,On Hatwai (North-South Hwy.) 3 mi N.E. of town,"46.400409,-117.001189",Lewiston,ID,(M),Bars/Clubs,1975,checked,,,,,
359,Stables,General Coordinates Used,,On Hatwai (North-South Hwy.) 3 mi N.E. of town,"46.400409,-117.001189",Lewiston,ID,(M),Bars/Clubs,1976,checked,,,,,
360,Stables,General Coordinates Used,,On Hatwai (North-South Hwy.) 3 mi N.E. of town,"46.400409,-117.001189",Lewiston,ID,(M),Bars/Clubs,1977,checked,,,,,
319,Starlight Lounge,Found,Bonneville Hotel ,'C' Street,"43.49467,-112.039465",Idaho Falls,ID,(M),"Bars/Clubs,Hotels",1975,checked,,,,,
320,Starlight Lounge,Found,Bonneville Hotel ,'C' Street,"43.49467,-112.039465",Idaho Falls,ID,(M),"Bars/Clubs,Hotels",1976,checked,,,,,
321,Starlight Lounge,Found,Bonneville Hotel ,'C' Street,"43.49467,-112.039465",Idaho Falls,ID,(M),"Bars/Clubs,Hotels",1977,checked,,,,,
322,Starlight Lounge,Found,Bonneville Hotel ,'C' Street,"43.49467,-112.039465",Idaho Falls,ID,(M),"Bars/Clubs,Hotels",1978,checked,,,,,
323,Starlight Lounge,Found,Bonneville Hotel ,'C' Street,"43.49467,-112.039465",Idaho Falls,ID,(M),"Bars/Clubs,Hotels",1979,checked,,,,,
324,Starlight Lounge,Found,Bonneville Hotel ,'C' Street,"43.49467,-112.039465",Idaho Falls,ID,(M),"Bars/Clubs,Hotels",1980,checked,,,,,
297,Tautfus Park Zoo,Found,,,"43.472089,-112.04211",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1976,checked,,,,,
302,Tautfus Park Zoo,Found,,,"43.472089,-112.04211",Idaho Falls,ID,Cruisy Areas,Crusing Areas,1977,checked,,,,,
