"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","(Cruisy late)","2865 N. Clark","Chicago","IL","(YC),(D)","Bars/Clubs,Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Cottage Grove & E. 73rd St.","Chicago","IL","(B)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Cottage Grove & E. 73rd St.","Chicago","IL","(B)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","Ridgeland at 111th St.","Chicago","IL","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Hubbard","Chicago","IL","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","430 N. Clark at Hubbard ","Chicago","IL","(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","South of Belmont Avenue","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","So. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","S. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","S. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","S. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(see Dugan's Bistro)","","Chicago","IL","(*)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"Found","","Ontario at Fairbanks","Chicago","IL","(D),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","bet. Belmont & Diversey","Chicago","IL","Cruisy Area","Cruisy Area",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Belmont & Diversey","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","between Belmont & Diversey","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Belmont & Diversey ","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","(Drags)","betw. Belmont & Diversey","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","('Drags')","betw. Belmont & Diversey","Chicago","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","('Drags')","betw. Belmont & Diversey","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","Drake Hotel ","Michigan Av & Lake Shore Dr","Chicago","IL","(M),(PE)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","(Cruisy Sunday afternoons)","2519 N. Halsted","Chicago","IL","(D),(*)","Bars/Clubs,Cruisy Area",1977,"",NA,NA,NA,NA,NA,NA
"Found","(Leather shop)","3510 No. Broadway","Chicago","IL","(D)","Bars/Clubs,Cruisy Area",1978,"",NA,NA,NA,NA,NA,NA
"Found","","4210 N. Lincoln at Broadway","Chicago","IL","(G)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Broadway & Surf","Chicago","IL","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
