"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Evansville","IN","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","(Hustlers) (HOT)","","Indianapolis","IN","Cruisy Area,(AYOR),(HOT)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","('Hustlers') (HOT)","","Indianapolis","IN","Cruisy Area,(AYOR),(HOT)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","(hot)","","Indianapolis","IN","Cruisy Area,(HOT)","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","400 blck Massachusetts ","Indianapolis","IN","","Baths",1966,"",NA,NA,NA,NA,NA,NA
"Found","","400 blck Massachusetts ","Indianapolis","IN","","Baths",1965,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","8 mi E on U.S. 12","Gary","IN","(*)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","8 mi E on U.S. 12","Gary","IN","(*)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","3 miles E. of Gary","Gary","IN","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","8 mi E on U.S. 12","Gary","IN","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","8 mi E on U.S. 12","Gary","IN","(*)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","","from Harrison to Ewing","Ft. Wayne","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
