"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","on Gay Loop- Keo betw. 4th & 6th Sts. (AH*)",NA,"Des Moines","IA","Cruisy Area,(AH),(*)","Cruisy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Des Moines","IA","Cruisy Area","Cruisy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Des Moines","IA","(AYOR),Cruisy Area","Cruisy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)",NA,"Des Moines","IA","Cruisy Area,(HOT)","Cruisy Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","(HOT!)",NA,"Des Moines","IA","Cruisy Area,(HOT)","Cruisy Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Des Moines","IA","Cruisy Area","Cruisy Areas",1974,NA,NA,NA,NA,NA,NA,NA
"Found","5th & Grand",NA,"Des Moines","IA","","Book Store",1977,NA,NA,NA,NA,NA,NA,NA
"Found","5th & Grand",NA,"Des Moines","IA","","Book Store",1978,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Des Moines","IA","Cruisy Area","Cruisy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Des Moines","IA","Cruisy Area,(AYOR)","Cruisy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","& block around 5th & Sycamore",NA,"Waterloo","IA","Cruisy Area","Cruisy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","& block around 5th & Sycamore",NA,"Waterloo","IA","Cruisy Area","Cruisy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","& block around 5th & Sycamore",NA,"Waterloo","IA","Cruisy Area","Cruisy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","around 4th & Court",NA,"Des Moines","IA","Cruisy Area","Cruisy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","T-Rooms",NA,"Mason City","IA","Cruisy Area","Cruisy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","T-Rooms",NA,"Mason City","IA","Cruisy Area","Cruisy Areas",1978,NA,NA,NA,NA,NA,NA,NA
