"title","status","description","streetaddress","city","state","Year","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"'Rest Stop' 1 mi. E. on US 56","General Coordinates Used","","","Great Bend","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' 3 mi. W. on US 56","General Coordinates Used","","","Lyons","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on Hwy 50 E.","General Coordinates Used","","","Walton","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on Hwy 50 E.","General Coordinates Used","","","Walton","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on Hwy 50 E.","General Coordinates Used","","","Walton","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-35","General Coordinates Used","4 mi. W. ","","Olathe","KS",1980,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-35","General Coordinates Used","4 mi. W. ","","Olathe","KS",1979,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-35","General Coordinates Used","4 mi. W. ","","Olathe","KS",1978,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70","General Coordinates Used","","","Maple Hill","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70","General Coordinates Used","","","Maple Hill","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70","General Coordinates Used","","","Maple Hill","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70 ","General Coordinates Used","2 mi. W. of town","","Junction City","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70 ","General Coordinates Used","10 mi. E. of Junction City","","Manhattan","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70 ","General Coordinates Used","2 mi. W. of town","","Junction City","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70 ","General Coordinates Used","10 mi. E. of Junction City","","Manhattan","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70 ","General Coordinates Used","2 mi. W. of town","","Junction City","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on I-70 ","General Coordinates Used","10 mi. E. of Junction City","","Manhattan","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on Old Hwy. 75","General Coordinates Used","","","Wakarusa","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on Old Hwy. 75","General Coordinates Used","","","Wakarusa","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on Old Hwy. 75","General Coordinates Used","","","Wakarusa","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on old US Hwy. 50","General Coordinates Used","14 mi. E. (Days & nights)","","Emporia","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on old US Hwy. 50","General Coordinates Used","14 mi. E. (good days & nights)","","Emporia","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on US 54","General Coordinates Used","7 mi. E. (Watch out for Highway Patrol)","","Augusta","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on US 54","General Coordinates Used","7 mi. E. (Watch out for Highway Patrol)","","Augusta","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop' on US 54","General Coordinates Used","7 mi. E. (Watch out for Highway Patrol)","","Augusta","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Alley","Found","Across from bowling alley","","Pittsburgh","KS",1976,"(M),(YC)","Bars/Clubs","",NA,NA,NA,NA,NA
"Alley","Found","Across from bowling alley","","Pittsburgh","KS",1975,"(M),(YC)","Bars/Clubs","",NA,NA,NA,NA,NA
"Alley","Found","Across from bowling alley","","Pittsburgh","KS",1974,"(M),(YC)","Bars/Clubs","",NA,NA,NA,NA,NA
"Alley","Found","Across fr. bowling alley","","Pittsburgh","KS",1973,"(M),(YC)","Bars/Clubs","",NA,NA,NA,NA,NA
"Alternate","Found","(May be re-opening - Inqurie locally)","2550 W. 47th St.","Kansas City","KS",1975,"","Bars/Clubs","address is 2550 W. 47th St. (same as Pete's pub-- Gonzaba note)",NA,NA,NA,NA,NA
"Circle Cinema","Found","","","Wichita","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Copper Lounge","Found","William St, bet. Broadway & Market","","Wichita","KS",1969,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Copper Lounge","Found","William St, bet. Broadway & Market","","Wichita","KS",1968,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Gage Park","Found","","","Topeka","KS",1980,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA,NA
"Gage Park","Found","(HOT)","","Topeka","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Gage Park","Found","(HOT)","","Topeka","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Gage Park","Found","HOT","","Topeka","KS",1977,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Gage Park","Found","(HOT)","","Topeka","KS",1976,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Herman HIll Park","Found","","","Wichita","KS",1977,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Herman HIll Park","Found","","","Wichita","KS",1976,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Herman HIll Park","Found","","","Wichita","KS",1975,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Herman HIll Park","Found","","","Wichita","KS",1974,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Herman HIll Park","Found","","","Wichita","KS",1973,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Herman Hill Park","Found","(HOT)","","Wichita","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Island Park","Found","(days)","","Winfield","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Island Park","Found","(days)","","Winfield","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Island Park ","Found","(Days)","","Winfield","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Jack's","General Coordinates Used","","W Douglas St.","Wichita","KS",1968,"(RT)","Bars/Clubs","",NA,NA,NA,NA,NA
"K.U. Student Union","Found","T-Rooms on all floors","","Lawrence","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"K.U. Student Union","Found","T-Rooms on all floors","","Lawrence","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"K.U. Student Union","Found","T-Rooms on all floors","","Lawrence","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Kansas Ave.","General Coordinates Used","(Downtown) by automobile","","Topeka","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Kenny's","General Coordinates Used","S. Topeka","","Topeka","KS",1980,"(M),(R),(C),(AH)","Restaurant","",NA,NA,NA,NA,NA
"Kenny's","General Coordinates Used","S. Topeka
","","Topeka","KS",1979,"(M),(R),(C),(AH)","Restaurant","",NA,NA,NA,NA,NA
"Metcalf Shopping Center","Found","T-Rooms","","Overland Park","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Metcalf Shopping Center","Found","T-Rooms","","Overland Park","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Oak Park","Found","(Riverside Area) (Closes at 12 midnight)","","Wichita","KS",1978,"(YC),Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Oak Park- Riverside area","Found","","","Wichita","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Oak Park-Riverside area","Found","(Cl. 12 midnight)","","Wichita","KS",1979,"(YC),Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Poor Richard's","Found","","9th & Quincy","Topeka","KS",1980,"(M),(R),(C),(AH)","Restaurant","",NA,NA,NA,NA,NA
"Poor Richard's","Found","","9th & Quincy","Topeka","KS",1979,"(M),(R),(C),(AH)","Restaurant","",NA,NA,NA,NA,NA
"Poor Richard's","Found","","9th & Quincy","Topeka","KS",1978,"(M),(R),(C),(AH)","Restaurant","",NA,NA,NA,NA,NA
"R&R Club","Found","(Looks promising)","31st and South Broadway","Wichita","KS",1977,"(P),(D),(PT)","Bars/Clubs","",NA,NA,NA,NA,NA
"Roadside Park","General Coordinates Used","2 mi. N.","","Hamilton","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Roadside Park","General Coordinates Used","2 mi. N.","","Hamilton","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Roadside Park","General Coordinates Used","7 mi. from town on US 40-toward Topeka","","Lawrence","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Roadside Park","General Coordinates Used","2 mi. N.","","Hamilton","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Roadside Park","General Coordinates Used","7 mi. from town on US Hwy 40 toward Topeka","","Lawrence","KS",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Sambo's","Found","","5th & Topeka","Topeka","KS",1978,"(M),(R),(C),(AH)","Bars/Clubs","",NA,NA,NA,NA,NA
"Trailways Bus Depot ","General Coordinates Used","('Hustlers')","","Wichita","KS",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Trailways Bus Depot & Vicinity","General Coordinates Used","","","Wichita","KS",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
