"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","on I-95 at Sidney (southbound) & August (northbound) also wooded area in back ","","Augusta","ME","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on US 1 betw. Bath & Brunswick (southbound)","","Brunswick","ME","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 at Sidney (Southbound) & August (Northbound) - also woods in back","","Augusta","ME","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 S. & US 1 - S.","","Ogunquit","ME","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Summers)","","Freeport","ME","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(summers)","","Freeport","ME","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Freeport","ME","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Brunswick","ME","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Brunswick","ME","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on U.S. 1 bet. Ogunquit & York","","Ogunquit","ME","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 South","","Ogunquit","ME","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 at Sidney (southbound) & Augusta (northbound) - also woods in back","","Augusta","ME","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 S. & US I-S.","","Ogunquit","ME","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 at Sidney (Southbound) & Augusta (Northbound) - also woods in back","","Augusta","ME","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 - Southbound at Herman & Northbound at Carmel ","","Bangor","ME","(AYOR),Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 Southbound at Herman & Northbound at Carmel","","Bangor","ME","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 N. & S. of Ogunquit","","Ogunquit","ME","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-95 - southbound at Herman","","Bangor","ME","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","off Park Ave. (HOT)","","Portland","ME","(AYOR),Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Portland","ME","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Southside)","","Brunswick","ME","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
