"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","","","Annapolis","MD","Cruisy Area","Cruisy Areas",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Annapolis","MD","Cruisy Area","Cruisy Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","Church Circle & Main","","Annapolis","MD","(M),(R),(HIP),(YC)","Restaurant",1978,"",NA,NA,NA,NA,NA,NA
"Found","Church Circle and Maine","","Annapolis","MD","(M),(HIP),(YC)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","Church Circle & Main","","Annapolis","MD","(M),(R),(HIP),(YC)","Restaurant",1979,"",NA,NA,NA,NA,NA,NA
"Found","Church Circle and Main","","Annapolis","MD","(R),(M),(HIP),(YC)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","Chirch Circle & Main","","Annapolis","MD","(R),(M),(HIP),(YC)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"Found","Church Circle & Main","","Annapolis","MD","(M),(R),(HIP),(YC)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","Church Circle & Main","","Annapolis","MD","(M),(HIP),(YC)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Annapolis","MD","Cruisy Area","Cruisy Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","7th Ave. & 3rd St.","","Freeport","MD","(M)","Bars/Clubs",1980,"City designation likely a typo for ""Eastport""",NA,NA,NA,NA,NA,NA
"Found","7th Ave. & 3rd St.","","Freeport","MD","(M)","Bars/Clubs",1978,"City designation likely a typo for ""Eastport""",NA,NA,NA,NA,NA,NA
"Found","7th Ave. & 3rd St.","","Freeport","MD","(M)","Bars/Clubs",1979,"City designation likely a typo for ""Eastport""",NA,NA,NA,NA,NA,NA
"Found","Holiday & Fayette","","Baltimore","MD","(M),(RT)","Bars/Clubs,Hotels",1969,"",NA,NA,NA,NA,NA,NA
"Found","Holiday & Fayette","","Baltimore","MD","(M),(RT)","Bars/Clubs,Hotels",1971,"",NA,NA,NA,NA,NA,NA
"Found","Holiday & Fayette","","Baltimore","MD","(M),(RT)","Bars/Clubs,Hotels",1970,"",NA,NA,NA,NA,NA,NA
"Found","Holiday & Fayette","","Baltimore","MD","(M),(RT)","Bars/Clubs,Hotels",1968,"",NA,NA,NA,NA,NA,NA
"Found","Holliday & Fayette","","Baltimore","MD","(M),(RT)","Bars/Clubs,Hotels",1966,"",NA,NA,NA,NA,NA,NA
"Found","Holiday & Fayette","","Baltimore","MD","(M),(RT)","Bars/Clubs,Hotels",1973,"",NA,NA,NA,NA,NA,NA
"Found","Holiday & Fayette","","Baltimore","MD","(M),(D)","Bars/Clubs,Hotels",1974,"",NA,NA,NA,NA,NA,NA
"Found","Holiday & Fayette","","Baltimore","MD","(M),(RT)","Bars/Clubs,Hotels",1972,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Broadway & E Sts.","","Baltimore","MD","(M),(R)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Broadway & E Sts.","","Baltimore","MD","(M),(R)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Tel: 235-HELP","","Baltimore","MD","","Organizations",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Tel: 235-HELP","","Baltimore","MD","","Organizations",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Baltimore","MD","Cruisy Area","Cruisy Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Baltimore","MD","Cruisy Area","Cruisy Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Baltimore","MD","Cruisy Area","Cruisy Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Baltimore","MD","Cruisy Area","Cruisy Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Baltimore","MD","Cruisy Area","Cruisy Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","in Mt. Vernon Sq.","","Baltimore","MD","Cruisy Area","Cruisy Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","at Mt. Vernon Square","","Baltimore","MD","Cruisy Area","Cruisy Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","at Mt. Vernon Square","","Baltimore","MD","Cruisy Area","Cruisy Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","in Mt. Vernon Sq.","","Baltimore","MD","Cruisy Area","Cruisy Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","(caution)","","Baltimore","MD","Cruisy Area","Cruisy Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Baltimore","MD","(AYOR),Cruisy Area","Cruisy Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(D),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(D),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(D)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(*)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(D),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(*)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(D)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(D)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","Castle & Monument","Baltimore","MD","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","","Chase & Cathedral","Baltimore","MD","","Baths",1970,"",NA,NA,NA,NA,NA,NA
"Found","","Gay & Forrest","Baltimore","MD","(G),(RT)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","","Gay & Forrest","Baltimore","MD","(G),(RT)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"Found","","Gay & Forrest Sts.","Baltimore","MD","(G),(RT)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","(Theatre) ","Howard & North Ave.","Baltimore","MD","(P),(PT),(*),(BYOB)","Theatre",1978,"",NA,NA,NA,NA,NA,NA
"Found","","1105 Cathedral","Baltimore","MD","(*)","Baths",1972,"",NA,NA,NA,NA,NA,NA
"Found","Lord Baltmore Hotel","","Baltimore","MD","(M),(PE)","Bars/Clubs,Hotels",1965,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Park & Reid Sts.","Baltimore","MD","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Best days) ","Park & Reid Sts.","Baltimore","MD","(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Park & Reid Sts.","Baltimore","MD","(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Disco) ","Park & Reid Sts.","Baltimore","MD","(M),(D)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","(Water is an alley bet. Redwood & Lombard)","Water & Light","Baltimore","MD","(D),(RT),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","(Water is an alley bet. Redwood & Lombard)","Water & Light","Baltimore","MD","(P),(D),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","(Water is an alley bet. Redwood & Lombard","Water & Light","Baltimore","MD","(P),(D),(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","(Water is an alley bet. Redwood & Lombard)","","Baltimore","MD","(D),(RT),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","Water & Light Sts.","Baltimore","MD","","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"Found","(Water is an alley bet. Redwood & Lombard)","Water & Light Sts","Baltimore","MD","(RT),(*)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","(Water is an alley between Redwood & Lombard)","Water & Light Sts","Baltimore","MD","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","(Water is an alley betw. Redwood & Lombard)","Water & Light","Baltimore","MD","(P),(D)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Pratt & Light","Baltimore","MD","(M),(RT),(SM)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","","Pratt & Light","Baltimore","MD","(M),(RT),(SM)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","(The Flam) ","Lombard & Eutaw","Baltimore","MD","(G)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Some G) ","Thames Street","Baltimore","MD","(M),(YC),(G)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Boston & Aliceanna","Baltimore","MD","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","(Unisex) ($3 min. at front door, or enter free from 'Body Shop'. Far out! Don't miss it!)","Charles & Eager Sts.","Baltimore","MD","(M),(HIP),(YC),(D),(R),(*)","Restaurant,Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","(Unisex) (Far Out! Don't miss it. Enter thry Body Shop) ","Charles and Eager Sts.","Baltimore","MD","(HIP),(YC),(D),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
