"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"Found","on I-95 N. at Attleboro, & Southbound at N. Attleboro","","Attleboro","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","on I-95 N. at Attleboro, & Southbound at N. Attleboro","","Attleboro","Cruisy Area,(AYOR)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Downstairs T-room","","Attleboro","Cruisy Area","Cruising Areas,Organizations",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(OC)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(OC)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(OC)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(OC)","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(OC)","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","Commenwealth & Marlborough betw. Arlington & Berkeley","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1980,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","Commonwealth & Marlborough betw. Arlington & Berkeley","","Boston","Cruisy Area","Cruising Areas",1979,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","Park Square","","Boston","Cruisy Area","Cruising Areas",1977,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","Park Square","","Boston","Cruisy Area","Cruising Areas",1976,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","Park Square","","Boston","Cruisy Area","Cruising Areas",1973,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","Commonwealth & Marlborough betw. Arlington & Berkeley","","Boston","Cruisy Area","Cruising Areas",1978,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","Park Square","","Boston","Cruisy Area","Cruising Areas",1774,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","Park Square","","Boston","Cruisy Area","Cruising Areas",1975,"approximate.",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(caution)","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Milton)","","Boston","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Milton)","","Boston","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Milton)","","Boston","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Milton)","","Boston","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Milton)","","Boston","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Milton)","","Boston","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","basement","","Boston","Cruisy Area","Cruising Areas,Organizations",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","Basement T-Room","","Boston","Cruisy Area","Cruising Areas,Organizations",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","basement T-Room","","Boston","Cruisy Area","Cruising Areas,Organizations",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","Basement T-Room","","Boston","Cruisy Area","Cruising Areas,Organizations",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Basement T-room (Sure suicide) (Massive arrests)","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Hotel Madison North Station","","Boston","(M)","Bars/Clubs,Hotels",1969,"See https://en.wikipedia.org/wiki/Hotel_Manger for a history of the hotel.",NA,NA,NA,NA,NA,NA,NA
"Found","Hotel Madison N Sta","","Boston","(M)","Bars/Clubs,Hotels",1968,"See https://en.wikipedia.org/wiki/Hotel_Manger for a history of the hotel.",NA,NA,NA,NA,NA,NA,NA
"Found","Hotel Madison North Station","","Boston","(M)","Bars/Clubs,Hotels",1971,"See https://en.wikipedia.org/wiki/Hotel_Manger for a history of the hotel.",NA,NA,NA,NA,NA,NA,NA
"Found","Hotel Madison North Sta","","Boston","(M)","Bars/Clubs,Hotels",1966,"See https://en.wikipedia.org/wiki/Hotel_Manger for a history of the hotel.",NA,NA,NA,NA,NA,NA,NA
"Found","Hotel Madison North Station","","Boston","(M)","Bars/Clubs,Hotels",1970,"See https://en.wikipedia.org/wiki/Hotel_Manger for a history of the hotel.",NA,NA,NA,NA,NA,NA,NA
"Found","","Boylston near Washington","Boston","(RT),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some W, SM)","4 La Grange betw. Stuart & Washington","Boston","(*),(W),(S)","Baths",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some W)","4 La Grange betw. Stuart & Washington","Boston","(*),(W)","Baths",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Station","Boston","(M)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Sta","Boston","(M)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Sta","Boston","(M)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Sta","Boston","(M)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Station","Boston","(M)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Station","Boston","(M)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Station","Boston","(M),(RT)","Bars/Clubs",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Station","Boston","(M)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Station","Boston","(M),(RT)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","South Station","Boston","(M),(RT)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found"," near Washington & Stewart","4 La Grange St.","Boston","","Baths",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","near Washington & Stewart","4 La Grange St. ","Boston","(*)","Baths",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","near Washington & Stewart","4 La Grange St. ","Boston","","Baths",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","near Washington & Stuart","4 La Grange St. ","Boston","(*)","Baths",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found"," near Washington & Stewart","4 La Grange St.","Boston","(*)","Baths",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(See Regency Club Baths)","","Boston","(*)","Baths",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","between Arlington and Clarendon","","Boston","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Arlington & Clarendon","","Boston","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Arlington & Clarendon","","Boston","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Arlington & Clarendon","","Boston","Cruisy Area","Cruising Areas",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Arlington & Clarendon","","Boston","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Arlington & Clarendon","","Boston","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","Opp. Boston Common-In alley off Boylston, bet. Tremont and Carver Sts.","","Boston","(D)","Bars/Clubs",1975,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","(Bar at The House) (Some L) (Boston's most unusual bar)","12 Wilton (Allston)","Boston","(L)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Next door to The Other Side","90 Broadway","Boston","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Upstairs at 12 Carver) ","","Boston","(*)","Bars/Clubs",1975,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found"," (Upstairs at 12 Carver) ","","Boston","(*)","Bars/Clubs",1973,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","(Upstairs at 12 Carver) (see ad, page 88)","","Boston","(SM),(*)","Bars/Clubs",1976,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","(soon SM) (Upstairs at 12 Carver) ","","Boston","(SM)","Bars/Clubs",1774,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","(Upstairs at 12 Carver)","","Boston","(SM),(*)","Bars/Clubs",1977,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","(Upstairs at 12 Carver)","","Boston","(SM),(*)","Bars/Clubs",1979,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","(Upstairs at 12 Carver)","","Boston","(SM),(*)","Bars/Clubs",1978,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(M),(RT)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(at your own risk)","Washington St.","Boston","(M),(RT)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(M),(RT)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(M),(RT)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(M),(RT)","Bars/Clubs",1774,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(RT)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(RT)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(RT)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(RT)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Sq area","","Boston","","",1966,"",NA,NA,NA,NA,NA,NA,NA
"Found","(called the Cave) In alley off Boylston bet. Tremont and Carver Pl-opposite Boston Common","","Boston","(D),(*)","Baths,Bars/Clubs",1970,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","(Called 'The Cave' on-again-off-again now, since earlier trouble. In alley Boylston bet. Tremont & Carver Pl opposite Boston Common","","Boston","(D),(*)","Bars/Clubs",1971,"Carver Street was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","20 Carver Pl","Boston","","Baths",1969,"Carver was renamed Charles Street South sometime in late 1970s.",NA,NA,NA,NA,NA,NA,NA
"Found","Piedmont & Church","","Boston","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Very M)","","Boston","Cruisy Area,(M)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Little 'action')","","Boston","Cruisy Area,(M)","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area,(M)","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Very M)","","Boston","Cruisy Area,(M)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","(M) (Little 'action')","","Boston","Cruisy Area,(M)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","Mugar Hall","","Boston","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","Mugar Hall","","Boston","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
