"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General City Coordinates Found","","S. Side of I-94, W. of Ann Arbor","Ann Arbor","MI","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","","So. side of I-94 W","Ann Arbor","MI","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","","S. Side of I-94 W. ","Ann Arbor","MI","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","","So. Side of I-94W","Ann Arbor","MI","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","","south side of I-94 W","Ann Arbor","MI","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","Mason Hall & Student Union","","Ann Arbor","MI","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","Mason Hall & Student Union T-Rooms","","Ann Arbor","MI","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","Mason Hall & Student Union T-Rooms","","Ann Arbor","MI","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","Mason Hall & Student Union T-Rooms","","Ann Arbor","MI","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Mason hall & Student Union ","","Ann Arbor","MI","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","Mason Hall & Student Union","","Ann Arbor","MI","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","Clarkson 'Rest Area'- S on. I-75","","Detroit","MI","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Hitchhikers along Woodward nr. 6 mi. Rd.","","Detroit","MI","Cruisy Area","Cruising Areas",1973,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Hitch hikers along Woodward betw. 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","hitch-hikers along Woodward betw. 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Hitchhikers on Woodward at 6 Mile Rd. ","","Detroit","MI","Cruisy Area","Cruising Areas",1972,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1972,NA,NA,NA,NA,NA,NA,NA
"Found","Parking lots at Milwaukee & Woodward","","Detroit","MI","Cruisy Area","Cruising Areas",1973,NA,NA,NA,NA,NA,NA,NA
"Found","Parking lots at Milwaukee & Woodward ","","Detroit","MI","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","hitch-hiking along Woodward between 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Woodward at 6 Mile Road ","","Detroit","MI","(R),(C),(AH)","Restaurant",1977,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Woodward at 6 Mile Rd.","","Detroit","MI","(R),(C),(AH)","Restaurant",1978,NA,NA,NA,NA,NA,NA,NA
"Found","","7530 E. 7 Mile Rd. ","Detroit","MI","","Baths",1979,NA,NA,NA,NA,NA,NA,NA
"Found","(Disco) ","19326 Conant betw. 7 & 8 Mile Roads","Detroit","MI","(L),(D)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA,NA
"Found","E. Grand Blvd. & Jefferson","","Detroit","MI","Cruisy Area","Cruising Areas",1972,NA,NA,NA,NA,NA,NA,NA
"Found","E. Grand Blvd. & Jefferson","","Detroit","MI","Cruisy Area","Cruising Areas",1973,NA,NA,NA,NA,NA,NA,NA
"Found","E. Grand Blvd & Jefferson","","Detroit","MI","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA,NA
"Found","E. Grand Blvd. & Jefferson ","","Detroit","MI","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","E. Grand Blvd. & Jefferson ","","Detroit","MI","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","","6307 E. Jefferson","Detroit","MI","","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA,NA
"Found","","5474 Cass","Detroit","MI","","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA,NA
"Found","Plymouth & Hubble ","","Detroit","MI","(G)","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA,NA
"Found","Plymouth & Hubble ","","Detroit","MI","(G),(*)","Bars/Clubs",1976,NA,NA,NA,NA,NA,NA,NA
"Found","Warren near Southfield","","Detroit","MI","(G),(D),(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA,NA,NA
"Found","Warren near Southfield","","Detroit","MI","(G),(D)","Bars/Clubs",1971,NA,NA,NA,NA,NA,NA,NA
