"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"Adult Bookstore on E. Main","Found","","","Missoula","MT","Cruisy Areas","Crusing Areas,book store",1980,"",NA,NA,NA,NA,NA
"Adult Shop ","Found","","3rd & Central","Great Falls","MT","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Adult Shop ","Found","","3rd & Central","Great Falls","MT","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Crystal Lounge","Found","","Broadway at 1st Ave. N.","Billings","MT","(M),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA
"Crystal Lounge","Found","","Broadway & 1st Ave N.","Billings","MT","(M)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA
"Crystal Lounge","Found","","Broadway & 1st Ave. N.","Billings","MT","(M),(*)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA
"Crystal Lounge","Found","","Broadway and 1st Ave No.","Billings","MT","(M),(*)","Hotels,Bars/Clubs",1978,"",NA,NA,NA,NA,NA
"Crystal Lounge","Found","","Broadway & 1st Ave N.","Billings","MT","(M)","Bars/Clubs,Hotels",1979,"",NA,NA,NA,NA,NA
"Dave's Health Club Baths","General Coordinates Used","","(inquire locally)","Billings","MT","","Baths",1971,"",NA,NA,NA,NA,NA
"Diamond S Ranch & Hot Springs - Spteambath can be interesting","Found","","","Boulder","MT","(M),(H)","Hotels",1980,"See https://boulderhotsprings.com/about-the-inn/history-of-boulder-hot-springs/ for a history of the location",NA,NA,NA,NA,NA
"Diamond S. Ranch & Hot Springs","Found","Steambath can be interesting","","Boulder","MT","(M),(H)","Hotels",1979,"See https://boulderhotsprings.com/about-the-inn/history-of-boulder-hot-springs/ for a history of the location",NA,NA,NA,NA,NA
"Gibson Park","Found","","","Great Falls","MT","Cruisy Areas,(AYOR)","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Gibson Park","Found","","","Great Falls","MT","(AYOR),Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Gibson Park","Found","","","Great Falls","MT","Cruisy Areas","",1980,"",NA,NA,NA,NA,NA
"Harrington's","General Coordinates Used","","On Broadway nr. Bus Depot","Butte","MT","(M),(YC)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA
"Harrington's","General Coordinates Used","","Broadway nr. Bus Depot","Butte","MT","(M)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA
"Harrington's ","General Coordinates Used","","on Broadway nr. Bus Depot","Butte","MT","(M),(YC)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA
"Import Depot","Found","","Old Milwaukee Road R.R. Depot","Great Falls","MT","(M),(YC),(R),(D)","Restaurant",1979,"",NA,NA,NA,NA,NA
"Import Depot","Found","","Old Milwaukee Road","Great Falls","MT","(M),(YC),(R),(D)","Restaurant,Bars/Clubs",1980,"",NA,NA,NA,NA,NA
"Intermountain Bus Depot","General Coordinates Used","","","Great Falls","MT","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Northern Hotel Bar","Found","","28th & 1st Ave","Billings","MT","(M),(PE)","Bars/Clubs,Hotels",1966,"",NA,NA,NA,NA,NA
"Northern Hotel Bar","Found","","Broadway & 1st Ave No. ","Billings","MT","(M)","Hotels,Bars/Clubs",1978,"",NA,NA,NA,NA,NA
"Northern Hotel Bar","Found","","Broadway & 1st Ave N.","Billings","MT","(M)","Bars/Clubs,Hotels",1979,"",NA,NA,NA,NA,NA
"Placer Hotel - Basement T-Room","Found","","","Helena","MT","Cruisy Areas","Hotels,Cruisy Areas",1980,"See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.",NA,NA,NA,NA,NA
"Placer Hotel Basement T-Room","Found","","","Helena","MT","Cruisy Areas","Crusing Areas,Hotels",1977,"See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.",NA,NA,NA,NA,NA
"Placer Hotel Basement T-Room","Found","","","Helena","MT","Cruisy Areas","Crusing Areas",1978,"See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.",NA,NA,NA,NA,NA
"Placer Hotel Basement T-Room","Found","","","Helena","MT","Cruisy Areas","Crusing Areas",1979,"See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.",NA,NA,NA,NA,NA
"Red Lion Motor Inn Lodge","Found","(Very M)(Disco)","Hwy 2. W.","Kalispell","MT","(M),(YC),(D)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA
