"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"'The Mall' - Crossroads Shopping Center","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"Antelope Park","Found","(T-Rooms)","","Lincoln","NE","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Antelope Park","Found","(T-Rooms)","","Lincoln","NE","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Apartment","Found","Cornhusker Hotel","13th & M Sts.","Lincoln","NE","(M)","Hotels,Bars/Clubs",1976,"",NA,NA,NA,NA,NA
"Apartment","Found","(Downstairs ""john"") Cornhusker Hotel","13th & 'M' Streets","Lincoln","NE","(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA
"Apartment","Found","(Cruisy T-Room downstairs) Cornhusker Hotel","13th & 'M' Sts","Lincoln","NE","(M)","Hotels,Bars/Clubs,Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Apartment","Found","(Cruisy T-Rooms)Cornhusker Hotel","13th & 'M' Sts","Lincoln","NE","(M)","Crusing Areas,Bars/Clubs,Hotels",1979,"",NA,NA,NA,NA,NA
"Apartment ","Found","(Cruisy - T-Rooms) Cornhusker Hotel","13th & 'M' Sts","Lincoln","NE","(M)","Bars/Clubs,Hotels",1980,"",NA,NA,NA,NA,NA
"Blackstone Hotel Bar","Found","","36th & Farnum","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1965,"",NA,NA,NA,NA,NA
"Blackstone Hotel Bar","Found","","36th & Farnum","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1966,"",NA,NA,NA,NA,NA
"Blackstone Hotel Bar","Found","(downstairs)","36th & Farnum","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1968,"",NA,NA,NA,NA,NA
"Blackstone Hotel Bar","Found","(downstairs)","36th & Farnum","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1969,"",NA,NA,NA,NA,NA
"Blackstone Hotel Bar","Found","(downstairs)","36th & Farnum","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1970,"",NA,NA,NA,NA,NA
"Blackstone Hotel Bar","Found","(downstairs)","36th & Farnum","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1971,"",NA,NA,NA,NA,NA
"Bus & RR Depots","General Coordinates Used","","","Lincoln","NE","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Bus & RR Depots","General Coordinates Used","","","Lincoln","NE","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Carter Lake","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Carter Lake","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Carter Lake","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Continental Bus Station - opp. Diamond Bar","General Coordinates Used","","","Omaha","NE","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Den","Found","(adjoins Cave Club) Hill Hotel","16th & Howard","Omaha","NE","(P),(D)","Bars/Clubs,Hotels",1974,"",NA,NA,NA,NA,NA
"Elmwood Park","Found","weekends","","Omaha","NE","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Elmwood Park","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Elmwood Park - T-Room N. end","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Elmwood Park - West End","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1972,"",NA,NA,NA,NA,NA
"Elmwood Park - West End","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1973,"",NA,NA,NA,NA,NA
"Elmwood Park - West End","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1974,"",NA,NA,NA,NA,NA
"Elmwood Park - West End","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"Elmwood Park - West End","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"Elmwood Park -T-Room, N.end","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Gateway Shopping Mall","Found","Lower concourse T-Rooms","","Lincoln","NE","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
