ID,Title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
30,Back Door ,Found,(Best late) Roundhill Village Shopping Center South Lake Tahoe,,"38.985396,-119.943543",Lake Tahoe,NV,"(M),(R),(D)",Restaurant,1977,checked,,,4/24/2020 12:14am,4/26/2020 2:10am
53,Back Door ,Found,(Best late) Roundhill Village Shopping Center- So. Lake Tahoe,,"38.985396,-119.943543",Lake Tahoe,NV,"(M),(R),(D)",Restaurant,1978,checked,,,4/24/2020 12:14am,4/26/2020 2:31am
74,Back Door ,Found,(best late) Roundhill Village Shopping Center- S. Lake Tahoe,,"38.985396,-119.943543",Lake Tahoe,NV,"(M),(R),(D)",Restaurant,1979,checked,,,4/24/2020 12:14am,4/26/2020 2:56am
96,Back Door ,Found,"Round Hill Village, Zephyr Cove",,"38.985396,-119.943543",Lake Tahoe,NV,,Bars/Clubs,1980,checked,,,4/24/2020 12:14am,4/26/2020 3:22am
8,Centurion Club ,General Coordinates Used,(inquire locally) ,,"36.169941,-115.13983",Las Vegas,NV,(P),Bars/Clubs,1969,checked,,,4/24/2020 12:14am,4/26/2020 12:43am
27,Fantasy Park,Found,,on Washington betw. Bruce & Las Vegas Blvd.,"36.182345,-115.129069",Las Vegas,NV,,Cruising Areas,1976,checked,,,4/24/2020 12:14am,4/26/2020 2:03am
191,Fantasy Park,Found,,Washington betw. Bruce & Las Vegas,"36.182345,-115.129069",Las Vegas,NV,,Cruising Areas,1980,checked,,,4/26/2020 3:27am,4/26/2020 3:38am
42,Fantasy Park ,Found,,Washington between Bruce & Las Vegas Blvd. ,"36.182345,-115.129069",Las Vegas,NV,,Cruising Areas,1977,checked,,,4/24/2020 12:14am,4/26/2020 2:19am
61,Fantasy Park ,Found,,Washington betw. Bruce & Las Vegas Blvd. ,"36.182345,-115.129069",Las Vegas,NV,,Cruising Areas,1978,checked,,,4/24/2020 12:14am,4/26/2020 2:40am
179,Fantasy Park ,Found,,Washington betw. Bruce & Las Vegas Blvd.,"36.182345,-115.129069",Las Vegas,NV,,Cruising Areas,1979,checked,,,4/26/2020 3:06am,4/26/2020 3:07am
95,Forum ,General Coordinates Used,(Disco)(nr. MGM Hotel),B St. at Kietzke Lane ," 39.534911,-119.752689",Sparks,NV,"(YC),(D),(*)","Bars/Clubs,Hotels",1979,checked,,,4/24/2020 12:14am,7/20/2020 10:41am
28,Fremont St. ,Found,McDonald's to Union Plaza,McDonald's to Union Plaza,"36.171248,-115.146163",Las Vegas,NV,,Cruising Areas,1976,checked,,,4/24/2020 12:14am,4/26/2020 2:04am
62,Fremont St. ,Found,,McDonald's to Union Plaza ,"36.171248,-115.146163",Las Vegas,NV,,Cruising Areas,1978,checked,,,4/24/2020 12:14am,4/26/2020 2:41am
87,Fremont St. ,Found,,McDonald's to Union Plaza ,"36.171248,-115.146163",Las Vegas,NV,,Cruising Areas,1979,checked,,,4/24/2020 12:14am,4/26/2020 3:06am
192,Fremont St. ,Found,,McDonald's to Union Plaza,"36.171248,-115.146163",Las Vegas,NV,,Cruising Areas,1980,checked,,,4/26/2020 3:27am,4/26/2020 3:38am
43,Fremont Street ,Found,,McDonalds to Union Plaza,"36.171248,-115.146163",Las Vegas,NV,,Cruising Areas,1977,checked,,,4/24/2020 12:14am,4/26/2020 2:19am
72,Idlewild Park ,Found,,,"39.521841,-119.83298",Reno,NV,,Cruising Areas,1978,checked,,,4/24/2020 12:14am,4/26/2020 2:49am
94,Idlewild Park ,Found,,,"39.521841,-119.83298",Reno,NV,,Cruising Areas,1979,checked,,,4/24/2020 12:14am,4/26/2020 3:20am
204,Idlewild Park ,Found,,,"39.521841,-119.83298",Reno,NV,,Cruising Areas,1980,checked,,,4/26/2020 3:43am,4/26/2020 3:47am
73,J.J.W.'s ,Found,(a 'first' for this city- looks promising),4750 Hwy. 50 E.," 39.185224,-119.713962",Carson City,NV,"(M),(W),(D),(PT)",Bars/Clubs,1979,checked,,,4/24/2020 12:14am,4/26/2020 2:56am
68,Knights of Malta,General Coordinates Used,"Box 7726 Reno, Nevada 89502",,"39.529633,-119.813803",Reno,NV,"(P),(SM)",Bars/Clubs,1978,checked,,,4/24/2020 12:14am,4/26/2020 2:46am
50,Knights of Malta ,General Coordinates Used,"Box 7726 Reno, Nevada 89502",,"39.529633,-119.813803",Reno,NV,"(P),(SM)",Bars/Clubs,1977,checked,,,4/24/2020 12:14am,4/26/2020 2:25am
198,Knights of Malta ,General Coordinates Used,"Box 7726 Reno, Nevada 89502",,"39.529633,-119.813803",Reno,NV,"(P),(SM)",Bars/Clubs,1980,checked,,,4/26/2020 3:38am,4/26/2020 3:43am
132,Le Cafe,Found,Some (G),Tropicana & Paradise ,"36.101119,-115.149773",Las Vegas,NV,"(YC),(R),(D),(G),(*)",Restaurant,1972,checked,,,4/26/2020 1:16am,4/26/2020 1:17am
100,Le Cafe ,Found,"(Vegas 'top' disco burned, but should be re-locating & opening by summer '79)",,"36.101119,-115.149773",Las Vegas,NV,"(*),(YC)",Bars/Clubs,1980,checked,,,4/24/2020 12:14am,4/26/2020 3:27am
11,Le Cafe/ Le Bistro ,Found,,Tropicana & Paradise ,"36.101119,-115.149773",Las Vegas,NV,"(G),(M),(D)",Bars/Clubs,1971,checked,,,4/24/2020 12:14am,4/26/2020 1:08am
193,Luck Lady Casino ,Found,Slots ,3rd & Ogden,"36.171372,-115.142149 ",Las Vegas,NV,,Cruising Areas,1980,checked,,,4/26/2020 3:27am,4/26/2020 3:39am
88,Lucky Lady Casino ,Found,Slots ,3rd & Ogden,"36.171372,-115.142149 ",Las Vegas,NV,,Cruising Areas,1979,checked,,,4/24/2020 12:14am,4/26/2020 3:07am
