"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"'Rest Stop' on I-81","General Coordinates Used","","","Charlestown","NH","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Arabian Lounge","General Coordinates Used","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1977,NA,NA,NA,NA,NA,NA
"Arabian Lounge","General Coordinates Used","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1978,NA,NA,NA,NA,NA,NA
"Arabian Lounge","General Coordinates Used","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1979,NA,NA,NA,NA,NA,NA
"Arabian Lounge ","General Coordinates Used","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Athletic Room","General Coordinates Used","","Merrimack St.","Manchester","NH","(P),(D),(E)","Bars/Clubs",1976,NA,NA,NA,NA,NA,NA
"Block around Carpenter Hotel","Found","","","Manchester","NH","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Brick Yard Mtn. Inn Rte 3 - Weiss Beach","General Coordinates Used","","","Laconia","NH","","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Cafe Muse & Capt. Quig's Bar","General Coordinates Used","","Main St.","North Conway","NH","(M)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Dartmouth College - Baker Library","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Dartmouth College - Hopkins Center","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1977,NA,NA,NA,NA,NA,NA
"Dartmouth College - Hopkins Center","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Dartmouth College - Hopkins Center","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Dartmouth College - Hopkins Center","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Elbo Room","General Coordinates Used","","Maple St.","Manchester","NH","(D)","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA
"Elbo Room ","General Coordinates Used","","Maple St.","Manchester","NH","(D)","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA
"Goniff Inn","General Coordinates Used","","Box 31, Sunapee, N.H. 03782","Sunapee","NH","(H)","Hotels",1976,NA,NA,NA,NA,NA,NA
"Goniff Inn","General Coordinates Used","Box 31, Sunapee, NH 03782","","Sunapee","NH","(H)","Hotels",1977,NA,NA,NA,NA,NA,NA
"Hampton Beach - Summers","General Coordinates Used","","","Hampton","NH","","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Hilton Park - Dover Point Rd.","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1975,NA,NA,NA,NA,NA,NA
"Hilton Park - Dover Point Rd.","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1976,NA,NA,NA,NA,NA,NA
"Hilton Park - Dover Point Rd.","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1977,NA,NA,NA,NA,NA,NA
"Hilton Park - Dover Point Rd.","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Hilton Park - Dover Point Rd.","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Hilton Park - Dover Point Rd.","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Hopkins Center - Dartmouth College","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1973,NA,NA,NA,NA,NA,NA
"Hopkins Center - Dartmouth College ","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1974,NA,NA,NA,NA,NA,NA
"Hopkins Center - Dartmouth College ","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1975,NA,NA,NA,NA,NA,NA
"Hopkins Center - Dartmouth College ","Found","","","Hanover","NH","Cruisy Areas","Crusing Areas",1976,NA,NA,NA,NA,NA,NA
"Main & W. Hollis","Found","","","Nashua","NH","Cruisy Areas","Crusing Areas",1975,NA,NA,NA,NA,NA,NA
"Main & W. Hollis","Found","","","Nashua","NH","Cruisy Areas","Crusing Areas",1976,NA,NA,NA,NA,NA,NA
"Main & W. Hollis","Found","","","Nashua","NH","Cruisy Areas","Crusing Areas",1977,NA,NA,NA,NA,NA,NA
"Main & W. Hollis","Found","","","Nashua","NH","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Main & W. Hollis","Found","","","Nashua","NH","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Main & W. Hollis","Found","","","Nashua","NH","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Main & W. Hollis St.","Found","","","Nashua","NH","Cruisy Areas","Crusing Areas",1974,NA,NA,NA,NA,NA,NA
"Manchester Civic Club","General Coordinates Used","(Disco) (Some L)","","Manchester","NH","(P),(D),(L),(*)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Piece Island - Dock Area","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Pierce Island - Dock Area","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1977,NA,NA,NA,NA,NA,NA
"Pierce Island - Dock Area","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Pierce Island - Dock Area","Found","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Sagimore","General Coordinates Used","","Inquire locally","Portsmouth","NH","(*),(P),(D)","Bars/Clubs",1968,NA,NA,NA,NA,NA,NA
"Sagimore","General Coordinates Used","","Inquire locally","Portsmouth","NH","(*),(P),(D)","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA
"Sagimore","General Coordinates Used","","Inquire locally","Portsmouth","NH","(*),(P),(D)","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA
"Seaport Club","General Coordinates Used","(Disco - D- WE)","Rte 1 Bypass - E. side, just S. of rotary","Portsmouth","NH","(P),(YC),(D),(WE),(*)","Bars/Clubs",1979,NA,NA,NA,NA,NA,NA
"Seaport Club","General Coordinates Used","(Disco)","Rte. 1 Bypass - E. side, just S. of rotary","Portsmouth","NH","(P),(YC),(D),(WE),(*)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Strawberry Bank Point - Dock Area","General Coordinates Used","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1975,NA,NA,NA,NA,NA,NA
"Strawberry Bank Point - Dock Area","General Coordinates Used","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1976,NA,NA,NA,NA,NA,NA
"White Cliffs","General Coordinates Used","","Inquire locally","Laconia","NH","","",1973,NA,NA,NA,NA,NA,NA
"White Cliffs","General Coordinates Used","","Inquire locally","Laconia","NH","","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA
"Wyn's Cafe","General Coordinates Used","","Inquire Locally","Manchester","NH","","Bars/Clubs",1968,NA,NA,NA,NA,NA,NA
"Wyn's Cafe","General Coordinates Used","","Inquire Locally","Manchester","NH","","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA
"Wyn's Cafe","General Coordinates Used","","Inquire Locally","Manchester","NH","","Restaurant",1970,NA,NA,NA,NA,NA,NA
"Wyn's Cafe","General Coordinates Used","","Inquire Locally","Manchester","NH","","Restaurant",1971,NA,NA,NA,NA,NA,NA
