"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General City Coordinates Used","","on Hwy. 80 W.","Dover","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","Seminary Place, George, & Somerset Sts. nr. Rutgers U.","","New Brunswick","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Rte. 31","","Phillipsburg","NJ","","Book Store",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rte. 31","Phillipsburg","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rte. 29","Lambertville","NJ","","Book Store",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rte. 29","Lambertville","NJ","","Book Store",1980,"",NA,NA,NA,NA,NA,NA
"Found","","Fairmount District ","Camden","NJ","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Princeton","NJ","","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","Robert Alan Hotel","2nd & Kingsley","Asbury Park","NJ","(YC),(D)","Bars/Clubs,Hotels",1975,"",NA,NA,NA,NA,NA,NA
"Found","","opp. Claridge Hotel","Atlantic City","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","end of 2nd Ave.","Asbury Park","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","End of 5th Ave.","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","end of 5th Avenue","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","end of 5th Ave.","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","End of 5th Ave.","Asbury Park","NJ","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","end of 5th Ave.","Asbury Park","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Paramus","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","above & below","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","above & below","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Above & Below","Atlantic City","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","at Ocean Ave.","Asbury Park","NJ","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","at Ocean Ave.","Asbury Park","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","at 3rd Ave. & Sunset Ave.","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","Above & below","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Bond St.","Asbury Park","NJ","(L),(PT)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Inquire locally","","Lambertville","NJ","(M),(R)","Restaurant",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Inquire locally","","Lambertville","NJ","(M),(R)","Restaurant",1980,"",NA,NA,NA,NA,NA,NA
"Found","at 3rd & Sunset Avenues ","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","at 3rd & Sunset Aves.","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Inquire locally)","","Paterson","NJ","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Inquire locally)","","Paterson","NJ","","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Inquire locally)","","Patterson","NJ","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","","","Jersey City","NJ","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Jersey City","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Jersey City","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Jersey City","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Jersey City","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Jersey City","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Jersey City","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","New York Ave.","Atlantic City","NJ","(S)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Trenton","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Trenton","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(looks promising)","Park Ave. at W. 7th ","Plainfield","NJ","(M),(R),(D)","Restaurant,Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","Park Avenue at W. 7th Street","","Plainfield","NJ","(R),(D),(WE),(*)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Park Ave. at W. 7th St.","Plainfield","NJ","(R),(*),(WE),(D)","Bars/Clubs,Restaurant",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Camden","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Camden","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Camden","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Camden","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Camden","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Camden","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Hanover St.","Trenton","NJ","(M)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Hanover St.","Trenton","NJ","(M)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Walker Street","Ft. Lee","NJ","(YC),(D),(*)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Hanover St. off of Main","Trenton","NJ","(YC),(D),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Hanover St. off Main","","Trenton","NJ","(YC),(D),(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rt. 1 at Rt. 9 ","Elizabeth","NJ","(D),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(next door to above & across from Palisades Amust. Pk.)","","Cliffside Park","NJ","(SM)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(next door to above & across from Palisades Amusement Park)","","Cliffside Park","NJ","(YC),(C)","Restaurant",1972,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(across from M & K by Bus Depot)","","Asbury Park","NJ","(*)","Restaurant",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","US 202, 1 block E. of bridge ","Lambertville","NJ","(M),(YC),(R),(C),(AH)","Bars/Clubs,Restaurant",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","U.S. 202, 1 block E. of bridge","Lambertville","NJ","(M),(R),(YC),(H)","Hotels,Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","1 blk. E. of bridge","U.S. 202","Lambertville","NJ","(M),(YC),(R),(AH)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","1 block east of bridge","U.S. 202","Lambertville","NJ","(M),(YC),(R),(C),(AH)","Bars/Clubs,Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"Found","(burned - but supposedly reopening Summer '75) ","2nd & Kingsley","Asbury Park","NJ","(M),(YC),(RT),(B),(D),(E)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Disco) Inquire locally","","Pasaic","NJ","(YC),(D)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA
"Found","","Kentucky Ave. at the Boardwalk","Atlantic City","NJ","(D),(YC)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Kentucky Ave. at Boardwalk","Atlantic City","NJ","(D),(YC)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rt. 1 at Rt. 9","Elizabeth","NJ","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","T-Rooms","","Eatontown","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","T-Rooms","","Eatontown","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Cookman Ave.","Asbury Park","NJ","(R),(C)","Restaurant",1972,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Cookman Ave.","Asbury Park","NJ","(R),(C)","Restaurant",1973,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Union Avenue","Paterson","NJ","(G),(D)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Union Ave.","Paterson","NJ","(G),(D)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27 ","Kingston","NJ","(M)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rte. 27","Kingston","NJ","(M)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rte. 27","Kingston","NJ","(M)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Route 27","Kingston","NJ","(M)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","","nr. Lighthouse off Atlantic Ave.","Barnegat Light","NJ","","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","","Old Route 202","Lambertville","NJ","(M),(H),(R)","Restaurant,Hotels",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Old Rte. 202","Lambertville","NJ","(M),(H),(R)","Restaurant",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Old Rte. 202","Lambertville","NJ","(M),(H),(R)","Restaurant,Hotels",1980,"",NA,NA,NA,NA,NA,NA
"Found","","New York Ave. at Boardwalk","Atlantic City","NJ","(YC)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","New York Ave. at Boardwalk","","Atlantic City","NJ","(YC)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","","New York Avenue at Boardwalk","Atlantic City","NJ","(*),(YC)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St.","Asbury Park","NJ","(YC),(M)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St. ","Asbury Park","NJ","(YC),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Pacific Avenue","Atlantic City","NJ","(R)","Restaurant",1969,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Pacific Avenue","Atlantic City","NJ","(R)","Restaurant",1970,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Pacific Ave.","Atlantic City","NJ","(R)","Restaurant",1968,"",NA,NA,NA,NA,NA,NA
"Found","","Randolph Avenue","Dover","NJ","(G),(D)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Randolph Ave.","Dover","NJ","(G),(D)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Randolph Ave.","Dover","NJ","(G),(D)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA
"Found","","Randolph Ave.","Dover","NJ","(L),(D)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","Shopping Center","","Eatontown","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","Shopping Center","","Eatontown","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(woud you believe?) and adjacent parking lots","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Atlantic City","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(some G)","Journey Mill Rd.","Sayreville","NJ","(G)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","3rd & Kingsley ","Asbury Park","NJ","(HIP),(YC),(D),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","3rd & Kingsley","Asbury Park","NJ","(HIP),(YC),(D),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","(Latins)","Grove St. Station","Jersey City","NJ","(RT),(B)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Trenton","NJ","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Trenton","NJ","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Trenton","NJ","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Trenton","NJ","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Princeton","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Princeton","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Trenton","NJ","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Italian R)","Main nr. Bridge St.","Lambertville","NJ","(M)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Main near Bridge Street","","Lambertville","NJ","(M),(R)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Main nr. Bridge St.","Lambertville","NJ","(M),(R)","Restaurant",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Main nr. Bridge St.","Lambertville","NJ","(M),(R)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Main nr. Bridge St.","","Lambertville","NJ","(M),(R)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"Found","Library - Basement T-Room","","Princeton","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Princeton","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Trenton","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Trenton","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(Summers only) Upstairs above the Lark/New York Avenue at the Boardwalk","","Atlantic City","NJ","(W),(SM),(*)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Kingsley","Asbury Park","NJ","(H)","Hotels",1974,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Kingsley","Asbury Park","NJ","(H)","Hotels",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Marlton Pike","Cherry Hill","NJ","","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Marlton Pike in Cherry Hill)","","Cherry Hill","NJ","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Marlton Pike","Cherry Hill","NJ","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Cherry Hill","NJ","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Cherry Hill","NJ","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St.","Asbury Park","NJ","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St.","Asbury Park","NJ","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St.","Asbury Park","NJ","","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St.","Asbury Park","NJ","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St.","Asbury Park","NJ","","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Off Main St.","Asbury Park","NJ","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","1 blk. N. of Bridge","","Lambertville","NJ","(M),(PE),(R)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","1 block of north of Bridge","","Lambertville","NJ","(M),(PE),(R)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"Found","(sign says Garden State Club - may be closed)","65 Mill St. at Ward","Patterson","NJ","","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","(sign says Garden St. Club)","65 Mill St. at Ward","Patterson","NJ","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","(sign says Garden State Club)","65 Mill St. at Ward","Patterson","NJ","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","(sign says Garden State Club)","65 Mill St. at Ward","Patterson","NJ","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","(sign says Garden St. Club)","65 Mill St. at Ward","Patterson","NJ","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","T-Rooms","","Asbury Park","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(May be closing)","41 Rte. 4 - opp. Bloomingdale's - 4 mi. W. of Geo Washington Bridge ","Hackensack","NJ","(S)","Bars/Clubs",1978,"Location is near this pin",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Some G, B)","Water St.","South River","NJ","(D),(G),(B),(S)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Long Branch","NJ","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Long Branch","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","T-Rooms","","Wayne","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","T-Room","","Woodbridge","NJ","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
