"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","around La Fonda Hotel",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","around La Fonda Hotel- also infamous 'john'",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","around La Fonda Hotel- also infamous T-Room",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","around La Fonda Hotel",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1974,NA,NA,NA,NA,NA,NA,NA
"Found","around La Fonda Hotel- also infamous ""john'",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","4200 Block on Central N.E.",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","behind Height's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","behind Heights",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","Hitchhiking or by car betw. U. of N.M. & Mildred's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","hitch-hiking or by car from U. of N.M. to Height's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","""Hitch-hiking"" or by car from University of New Mexico to area near The Loon",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hiking or by car from U. of N.m. to Height's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","'HItch-hikers' or by car from U. of N.M. to Heights",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hiker' or by car from U. of N.M. to Heights",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","S Main & Poe",NA,"Roswell","NM","(M)","Bars/Clubs",1965,NA,NA,NA,NA,NA,NA,NA
"Found","S Main & Poe St.",NA,"Roswell","NM","(M)","Bars/Clubs",1966,NA,NA,NA,NA,NA,NA,NA
"Found","S Main & Poe Sts.",NA,"Roswell","NM","(M)","Bars/Clubs",1968,NA,NA,NA,NA,NA,NA,NA
"Found","S Main at Poe",NA,"Roswell","NM","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","15 mi. N.E. on Hwy. 10 ",NA,"Cedar Crest","NM","(G)","Bars/Clubs",1972,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","15 mi. N.E. on Hwy. 10 (Cedar Creek)",NA,"Albuquerque","NM","(M),(S)","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","",NA,"Bernalillo","NM","(YC),(D),(M),(*)","Bars/Clubs",1971,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on Main Plaza",NA,"Santa Fe","NM","","Bars/Clubs",1968,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On Main Plaza",NA,"Santa Fe","NM","","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on Lincoln across from the Plaza",NA,"Santa Fe","NM","(RT),(M)","Bars/Clubs",1972,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On Main Plaza",NA,"Santa Fe","NM","","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","",NA,"Santa Fe","NM","Cruisy Area,(RT)","Crusiy Areas",1976,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-10 E.",NA,"Lordsburg","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
