"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","Rt. 2, 2 mi. E. of Troy","","Troy","NY","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","2 mi. E. on Rte. 2","","Troy","NY","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","2 mi. E. on Rtw. 2","","Troy","NY","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","2 mi. E. on Rte. 2","","Troy","NY","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Rt. 2- 2mi. E. of Troy","","Troy","NY","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","on Elmwood betw. North & Bryant","","Buffalo","NY","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Rest Stop on Rte. 81 Northbound","","Binghamton","NY","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Thur. thru Sun. Niagara Falls Blvd.","","Amherst","NY","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-87 nr. Exit 20","","Lake George","NY","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-87, nr. exit 28","","Lake George","NY","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-87, nr. exit 28","","Lake George","NY","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","on Montauk Hwy. -both sides- just W. of Shinnecock Canal","","East Hampton","NY","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","at E. end of Main & block from 1st to 2nd betw. Main & Catherine (by car)","","Utica","NY","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","at end of Main & block from 1st to 2nd betw. Main & Catherine","","Utica","NY","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","at end of Main, & block from 1st to 2nd betw. Main & Catherine","","Utica","NY","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","by car or walking- 37th Rd. (Hot!)","","Queens","NY","Cruisy Area,(HOT)","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","by car or foot 37th Rd. (HOT!)","","Queens","NY","Cruisy Area,(HOT)","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","37th Rd.- by car or foot (HOT)","","Queens","NY","Cruisy Area,(HOT)","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","37th Rd. by foot or car (HOT)","","Queens","NY","Cruisy Area,(HOT)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
