"title","status","description","streetaddress","city","state","Year","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"Broadway","General Coordinates Used","(nights)","","Fargo","ND",1980,"Cruisy Area","Cruising Areas","General coordinates used for Broadway N",NA,NA,NA,NA,NA
"Broadway","General Coordinates Used","(nights)","","Fargo","ND",1979,"Cruisy Area","Cruising Areas","General coordinates used for Broadway N",NA,NA,NA,NA,NA
"Broadway","General Coordinates Used","(nights)","","Fargo","ND",1978,"Cruisy Area","Cruising Areas","General coordinates used for Broadway N",NA,NA,NA,NA,NA
"Chateau Guest Ranch","General Coordinates Used","(May to Sept. only) Box 177-A, Leonard, N.D. 58052","","Leonard","ND",1978,"(H)","Hotels","",NA,NA,NA,NA,NA
"Chateau Guest Ranch","General Coordinates Used","(Looks promising - open May - Spet. only) Write: Box 177-A Leonard, N.D. 58052","","Leonard","ND",1977,"(H)","Hotels","",NA,NA,NA,NA,NA
"Embers Lounge","Found","Town House Motor Inn","","Bismarck","ND",1980,"(M)","Bars/Clubs,Hotels","",NA,NA,NA,NA,NA
"Embers Lounge","Found","Town House Motor Inn","","Bismarck","ND",1979,"(M)","Bars/Clubs,Hotels","",NA,NA,NA,NA,NA
"Embers Lounge","Found","Town House Motor Inn","","Bismarck","ND",1978,"(M)","Bars/Clubs,Hotels","",NA,NA,NA,NA,NA
"Embers Lounge","Found","Town House Motor Inn","","Bismarck","ND",1977,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Red Ram","Found","","Broadway & 2nd Ave","Fargo","ND",1978,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1976,"","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1975,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1974,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1973,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1972,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1971,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1970,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1969,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Spur","Found","","13th & Villard","Dickenson","ND",1968,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1979,"(M),(W)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1978,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1977,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1976,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1975,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1974,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1973,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1972,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1971,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1970,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1969,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Stockman's","Found","","1st & Villard","Dickenson","ND",1968,"(M)","Bars/Clubs","",NA,NA,NA,NA,NA
"Torchlight","General Coordinates Used","(Some W, YC) (Inquire locally)","","Fargo","ND",1980,"(M),(YC),(W),(E),(AYOR)","Bars/Clubs","",NA,NA,NA,NA,NA
