"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"'Rest area' - 1st one N. on I-35 (both sides)","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"'Rest Stop' - just N. of I-35 (both sides)","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"'Rest Stop' - just N. of I-35 (both sides)","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"'Rest Stop' - just N. of I-35 (both sides)","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"'Rest Stops' - just N. on I-35 (both sides)","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"'The Strip' - 'Hitch-hikers' on Ft. Sill Blvd. from Cache Rd to Main Gate","Found","","","Lawton","OK","Cruisy Areas","Crusing Areas",1980,"Middle of road between Cache and Ft. Sill Visitor center.",NA,NA,NA,NA,NA
"'The Strip' - 'Hitch-hikers' on Ft. Sill Blvd. from Cache Rd. to Main Gate","Found","","","Lawton","OK","Cruisy Areas","Crusing Areas",1979,"Middle of road between Cache and Ft. Sill Visitor center.",NA,NA,NA,NA,NA
"About the 1500 block of So. Main","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1972,"",NA,NA,NA,NA,NA
"Bamboo Room","Found","","Lewis & Independence","Tulsa","OK","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA
"Boulder & Boston - betw. 10th & 14th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1979,"approximate",NA,NA,NA,NA,NA
"Boulder & Boston - betw. 10th & 14th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1980,"approximate",NA,NA,NA,NA,NA
"Campus Inn","General Coordinates Used","","Inquire Locally","Stillwater","OK","(YC),(M)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA
"Campus Inn","General Coordinates Used","","Inquire Locally","Stillwater","OK","(M),(YC)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA
"Campus Inn","General Coordinates Used","","Inquire Locally","Stillwater","OK","(M),(YC)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA
"Campus Inn","General Coordinates Used","","Inquire Locally","Stillwater","OK","(M),(YC)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA
"Campus Inn","General Coordinates Used","","Inquire Locally","Stillwater","OK","(M),(YC)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA
"Campus Inn","General Coordinates Used","","Inquire Locally","Stillwater","OK","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA
"Campus Inn","General Coordinates Used","","Inquire locally","Stillwater","OK","","Bars/Clubs",1976,"",NA,NA,NA,NA,NA
"Club","Found","","11th & Memorial","Tulsa","OK","(P),(G),(D),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA
"Club","Found","","11th & Memorial","Tulsa","OK","(P),(G),(D)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA
"Colorado's Tavern","Found","","32nd & N. May","Oklahoma City","OK","(YC)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA
"Continental ","General Coordinates Used","","inquire locally","Oklahoma City","OK","(P),(D)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA
"Continental Country Club","General Coordinates Used","","Hwy 74 N.","Oklahoma City","OK","(P)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA
"Crews Inn","Found","(Beer) (Some B)","27th & Walker","Oklahoma City","OK","(B),(PT)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA
"Gala","Found","","11th & Lewis Sts.","Tulsa","OK","(D),(P)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA
"Gala","Found","","11th & Lewis Sts","Tulsa","OK","(D),(P),(*)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA
"Gala","Found","","11th & Lewis Sts.","Tulsa","OK","(D),(P),(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA
"Gala","Found","","11th & Lewis Sts.","Tulsa","OK","(P),(D),(*)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA
"Gala","Found","(can enter via back door of Eight Day)","Lewis nr. 11th ","Tulsa","OK","(P),(D),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA
"Gala","Found","(Can enter thru back door of Eight Day)","Lewis nr. 11th","Tulsa","OK","(P),(B),(BYOB),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA
"Gala","Found","(Can enter thru back door of Eight Day)","Lewis nr. 11th","Tulsa","OK","(P),(BYOB),(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA
"Gene's ","Found","","63rd & Classen","Oklahoma City","OK","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove","Found","","","Tulsa","OK","(B),(RT),Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove","Found","","","Tulsa","OK","Cruisy Areas,(B),(RT)","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove","Found","","","Tulsa","OK","Cruisy Areas,(B),(RT)","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove North & Keystone Ramp","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1973,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove, North & Keystone Ramps","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1974,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove, North & Keystone Ramps","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"Keystone Lake - Washington Irving Cove, North & Keystone Ramps","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1973,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1974,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Lake Heffner","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Lido ","General Coordinates Used","","May Ave","Oklahoma City","OK","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA
"Lilo","General Coordinates Used","","May Ave","Oklahoma City","OK","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA
"M.C.C.","Found","","3rd & Elgin","Tulsa","OK","","Church",1976,"",NA,NA,NA,NA,NA
"Main St. - betw. 4th & 9th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Main St. bet. 4th & 10th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1973,"",NA,NA,NA,NA,NA
