"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","5 mi. S. (late nights) ","","Medford","OR","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","3 mi. N. (Both sides) ","","Grants Pass","OR","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","3 mi. N (both sides)","","Grants Pass","OR","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","between Salem & Portland- also betw. Salem & Albany(both sides- discretion)","","Salem","OR","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","betw. Salem & Portland - also betw. Salem & Albany (both sides- discretion)","","Salem","OR","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","rest area & campground","","Grants Pass","OR","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","campground & rest area","","Grants Pass","OR","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","(Cocktail hour only) ","","Portland","OR","(M),(PE)","Bars/Clubs,Hotels",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Portland","OR","Cruisy Area","Cruising Areas,Theatre",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Portland","OR","Cruisy Area","Cruising Areas,Theatre",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Portland","OR","Cruisy Area","Cruising Areas,Theatre",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Portland","OR","Cruisy Area","Cruising Areas,Theatre",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Portland","OR","Cruisy Area","Cruising Areas,Theatre",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Portland","OR","Cruisy Area","Cruising Areas,Theatre",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Salem","OR","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Salem","OR","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Salem","OR","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Salem","OR","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Salem","OR","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Salem","OR","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(summers)","","Portland","OR","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","(summers)","","Portland","OR","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","10 mi. S. (Summers only)","","Seaside","OR","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Ankeny ","Portland","OR","(PE),(R)","Restaurant",1974,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Ankeny","Portland","OR","(PE),(R)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Ankeny ","Portland","OR","(M),(PE),(R)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"Found","","Everette at N.W. 4th ","Portland","OR","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","(best after 1am)","NW 4th at Everett","Portland","OR","(*)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","","Everett at N.W. 4th","Portland","OR","(D),(G),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","(Liquor)","Alder & 2nd Ave. S.W.","Portland","OR","(M),(RT),(W)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
