"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","(PO Box 4281 - Tel 832-7002)","Km 2 Rd. 105 Limon Rd.","Mayaguez","(H)","Hotels",1968,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(P.O. Box 4281 - Tel: 832-7002) Km 2, Road 105, Limon Rd.","","Mayaguez","(H)","Hotels",1969,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(PO Box 4281, Tel: 832-7002) KM. 2, Road 105, Limon Rd.","","Mayaguez","(H)","Hotels",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(P.O. Box 4281 - Tel: 832-7002) Km. 2, Rd. 105, Limon Rd.","","Mayaguez","(H)","Hotels",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(P.O. Box 428, tel: 832-7002) Km 2, Rd. 105, Limon Rd.","","Mayaguez","(H)","Hotels",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Near Plaza Hotel","","Mayaguez","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","nr. Plaza Hotel","","Mayaguez","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","Mayaguez","(D)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","5 blocks from Plaza Colon","","Mayaguez","","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","5 blocks from Plaza Colon","Mayaguez","","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Post Rd.","Mayaguez","(D),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","by City Hall","","Mayaguez","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","by City Hall","","Mayaguez","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","by City Hall","","Mayaguez","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","by City Hall","","Mayaguez","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","balcony","","Mayaguez","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","balcony","","Mayaguez","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","balcony","","Mayaguez","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","balcony","","Mayaguez","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Ponce","Cruisy Area","Cruising Areas",1979,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","","","Ponce","Cruisy Area","Cruising Areas",1980,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","","","Ponce","Cruisy Area","Cruising Areas",1977,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","","","Ponce","Cruisy Area","Cruising Areas",1976,"approximate location",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire locally","","Ponce","(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire locally","","Ponce","(M)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Natives only)","","Hato Ray","(G)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Natives only) ","","Hato Ray","(L)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Natives only)","","Hato Ray","(G),(*)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(G & natives only)","","Hato Ray","(G),(*)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","('Hustlers')","","San Juan","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","('Hustlers')","","San Juan","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","('Hustlers')","","San Juan","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hustlers'","","San Juan","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
