"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","in front of concession stands ","","Newport","RI","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","(AYOR),Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Smith St.","Providence","RI","(G),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","($1.00 admission)","Route 7","Smithfield","RI","(*),(D)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","($1.00 admission)","Route 7 ","Smithfield","RI","(D),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Smithfield ","Woonsocket","RI","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","(summers only)","First Beach","Newport","RI","(M)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","","Newport","RI","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Newport","RI","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Bernon St.","Woonsocket","RI","(G)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"Found","","Dorrence & Westminster ","Providence","RI","","Restaurant",1966,"",NA,NA,NA,NA,NA,NA
"Found","40 mi. S.W. near Waverly ","","Providence","RI","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","40 mi. S.W. nr. Waverly ","","Providence","RI","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","40 mi. S.W. nr. Waverly ","","Providence","RI","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","40 mi. S.W. nr. Waverly ","","Providence","RI","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","40 mi. S.W. near Westerly","","Providence","RI","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
