"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"'Hitch-hikers' on Minnesota Ave","General Coordinates Used","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"'Hitch-hikers' on Minnesota Ave","General Coordinates Used","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"'Hitch-hikers' on Minnesota Ave.","General Coordinates Used","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Ahab's Imports","Found","Brookings Mall","","Brookings","SD","Cruisy Areas,(HIP),(YC)","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Ahab's Imports -Brookings Mall","Found","","","Brookings","SD","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Bull & Lion","Found","Cataract Hotel","9th St & Phillips","Sioux Falls","SD","(M),(R),(PE)","Restaurant",1971,NA,NA,NA,NA,NA,NA
"Bull & Lion","Found","Sheraton-Cataract Hotel","Phillips at 9th St.","Sioux Falls","SD","(M),(R),(PE)","Restaurant",1972,NA,NA,NA,NA,NA,NA
"Hitchhikers on Minnesota Ave","General Coordinates Used","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1975,NA,NA,NA,NA,NA,NA
"Hitchhikers on Minnesota Ave","General Coordinates Used","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1976,NA,NA,NA,NA,NA,NA
"Hitchhikers on Minnesota Ave","General Coordinates Used","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1977,NA,NA,NA,NA,NA,NA
"Holiday Inn & Sheraton Bars","General Coordinates Used","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Holiday Inn & Sheraton Bars","General Coordinates Used","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Holiday Inn T-Room","General Coordinates Used","","","Pierre","SD","Cruisy Areas","Crusing Areas,Hotels",1979,NA,NA,NA,NA,NA,NA
"Holiday Inn T-Room","General Coordinates Used","","","Pierre","SD","Cruisy Areas","Crusing Areas,Hotels",1980,NA,NA,NA,NA,NA,NA
"Kings Inn","General Coordinates Used","Best Western Motel","Inquire Locally","Pierre","SD","(M)","Hotels,Bars/Clubs",1979,NA,NA,NA,NA,NA,NA
"Kings Inn","General Coordinates Used","Best Western Motel","Inquire Locally","Pierre","SD","(M)","Hotels,Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Living Room","Found","","Sioux Empire Plaza","Sioux Falls","SD","(M),(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA,NA
"Living Room","Found","Empire Plaza","41st & I-20","Sioux Falls","SD","(M)","Bars/Clubs",1979,NA,NA,NA,NA,NA,NA
"Main & St. Joe Sts. - betwn. 6th & 8th","Found","","","Rapid City","SD","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Main & St. Joe Sts. - betwn. 6th & 8th","Found","","","Rapid City","SD","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Safari Lounge","Found","Staurolite Inn","1 3/4 mi. E. at Jct. 14, I-29","Brookings","SD","(M)","Hotels,Bars/Clubs",1979,NA,NA,NA,NA,NA,NA
"Safari Lounge","Found","Staurolite Inn","1 3/4 mi. E. at Jct. 14, I-29","Brookings","SD","(M)","Hotels,Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Sherman Park","Found","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Sherman Park","Found","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Sioux Empire Gay Coalition ","General Coordinates Used","","P.O. Box 220, Sioux Falls, 57101","Sioux Falls","SD","","Organizations",1980,NA,NA,NA,NA,NA,NA
"Ward Hotel - basememnt T-Room","Found","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Ward Hotel - basememnt T-Room","Found","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
