"title","status","description","streetaddress","city","state","Year","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"'B.A.' Beach near Salt-Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1973,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'B.A.' Beach nr. Salt Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'B.A.' Beach nr. Salt Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'B.A.' Beach nr. Salt Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'B.A.' Beach nr. Salt Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'B.A.' Beach nr. Salt Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'B.A.' Beach nr. Salt-Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1974,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'BA' Beach near Salt Air Beach","General Cooordinates Used","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",NA,NA,NA,NA,NA
"'Rest Stop' 8 mi. N. on Hwy. 15","General Cooordinates Used","","","Provo","UT",1980,"Cruisy Area","Cruising Areas","Approx coordinates based on description",NA,NA,NA,NA,NA
"'Rest Stop' 8 mi. N. on Hwy. 15","General Cooordinates Used","","","Provo","UT",1979,"Cruisy Area","Cruising Areas","Approx coordinates based on description",NA,NA,NA,NA,NA
"'Rest Stop' 8 mi. N. on Hwy. 15","General Cooordinates Used","","","Provo","UT",1978,"Cruisy Area","Cruising Areas","Approx coordinates based on description",NA,NA,NA,NA,NA
"""Rest Stop"" - 2 miles north on I-15","General Cooordinates Used","","","Provo","UT",1977,"Cruisy Area","Cruising Areas","Approx coordinates based on description",NA,NA,NA,NA,NA
"First 76 Truck Stop on I-80 W. ","General Cooordinates Used","T-Rooms","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Imperial Court of Utah","General Cooordinates Used","(Social organization) ","P.O. Box 11813, S.L.C. 84147","Salt Lake City","UT",1980,"","Organizations","",NA,NA,NA,NA,NA
"Jordan Park","Found","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Jordan Park","Found","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Jordan Park","Found","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1974,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Liberty Park","Found","","","Salt Lake City","UT",1973,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lorin Farr Park","Found","","","Ogden","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lorin Farr Park","Found","","","Ogden","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lorin Farr Park","Found","","","Ogden","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Mount Odgen Park","Found","","","Ogden","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Mount Odgen Park","Found","","","Ogden","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Mount Odgen Park","Found","","","Ogden","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pine View Reservoir","Found","Cemetary Point","","Ogden","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pine View Reservoir","Found","Cemetary Point","","Ogden","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pine View Reservoir","Found","Cemetary Point","","Ogden","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pioneer Park","Found","","","Provo","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pioneer Park","Found","5th W. & Center","","Provo","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pioneer Park","Found","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pioneer Park","Found","5th W. at Center St.
","","Provo","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Pioneer Park","Found","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
