"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","nr. Evergreen Floating Bridge","","Seattle","WA","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Seattle","WA","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Seattle","WA","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","2nd Ave. Betw. Pike & Union","Seattle","WA","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Seattle","WA","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(HOT)","","Seattle","WA","(HOT),Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(HOT)","","Seattle","WA","(HOT),Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Seattle","WA","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Seattle","WA","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Seattle","WA","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Seattle","WA","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Seattle","WA","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Near Greyhound Bus Depot ","","Seattle","WA","","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","(Disco)(Unisex)(Very M)","2015 Boren at Virginia ","Seattle","WA","(YC),(D),(M)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","(Unisex)(Disco)","2015 Boren at Virgina ","Seattle","WA","(YC),(D)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA
"Found","(Disco)(Seattle's 'top' disco)","2015 Boren St. at Virginia","Seattle","WA","(YC),(D),(*)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","(Capitol Hill)","","Seattle","WA","Cruisy Area","Cruising Areas",1978,"Now Cal Anderson Park. See https://www.flickr.com/photos/seattlemunicipalarchives/5105258038",NA,NA,NA,NA,NA,NA
"Found"," (Capitol Hill)","","Seattle","WA","Cruisy Area","Cruising Areas",1977,"Now Cal Anderson Park. See https://www.flickr.com/photos/seattlemunicipalarchives/5105258038",NA,NA,NA,NA,NA,NA
"Found","","","Seattle","WA","Cruisy Area","Cruising Areas",1980,"Now Cal Anderson Park. See https://www.flickr.com/photos/seattlemunicipalarchives/5105258038",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Liquor) 2nd Av, S of Yesler Way ","","Seattle","WA","(R)","Restaurant",1966,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Liquor)(Moving-inquire locally)","","Seattle","WA","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Yessler (Also known as The Dance or Mrs.P's. Very popular after bars close on Fri & Sat. Admission charge. Bring your own booze)","Seattle","WA","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","","Occidental & Yessler ","Seattle","WA","(D),(S)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","119 Yessler Way at Occidental ","Seattle","WA","(D),(S)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(after hours) ","","Seattle","WA","(M),(C),(R)","Restaurant",1973,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Suppoedly re-opening soon- Inquire locally)","","Seattle","WA","","Baths",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Seattle","WA","Cruisy Area","Cruising Areas,Theatre",1973,"See http://cinematreasures.org/theaters/15355",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(closed but may be re-opening- Inquire locally)","","Seattle","WA","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","","Seattle","WA","(AYOR),Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Seattle","WA","(HOT),Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Seattle","WA","(HOT),Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Seattle","WA","(HOT),Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Yessler","Seattle","WA","(M),(RT)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Yessler ","Seattle","WA","(M),(RT)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Yesler","Seattle","WA","(RT)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","","2nd & Yessler","Seattle","WA","(M),(RT)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
