"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","","16th & Market Sts.","Wheeling","WV","","Book Store",1978,NA,NA,NA,NA,NA,NA,NA
"Found","","16th & Market Sts.","Wheeling","WV","","Book Store",1977,NA,NA,NA,NA,NA,NA,NA
"Found","","betw. Market & Chapline","Wheeling","WV","(RT),(AYOR),Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","betw. Market & Chapline","Wheeling","WV","Cruisy Area,(RT),(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1965,NA,NA,NA,NA,NA,NA,NA
"Found","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1968,NA,NA,NA,NA,NA,NA,NA
"Found","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA,NA
"Found","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA,NA
"Found","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1966,NA,NA,NA,NA,NA,NA,NA
"Found","","7th Ave. at 1st St.","Huntington","WV","","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Lee St.","Charlestown","WV","","Bars/Clubs",1971,NA,NA,NA,NA,NA,NA,NA
"Found","","6th & Green","Parkersburg","WV","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","","6th & Green","Parkersburg","WV","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","","6th & Green","Parkersburg","WV","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","near bus depot between Lee & Quarrier","Huntington","WV","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","","nr. Bus Depot betw. Lee & Quarrier","Charlestown","WV","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","","betw. Lee & Quarrier","Charlestown","WV","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","betw. Lee & Quarrier","Charlestown","WV","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","betw. Lee & Quarrier ","Huntington","WV","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","","near Bus Depot between Lee and Quarrier","Charlestown","WV","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Ave. at 16th St.","Huntington","WV","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Ave. at 16th St.","Huntington","WV","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Ave. at 16th St.","Huntington","WV","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Ave. at 16th ","Huntington","WV","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Ave. at 16th St.","Huntington","WV","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Ave. at 16th St.","Huntington","WV","Cruisy Area","Cruising Areas",1973,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Ave. at 16th St.","Huntington","WV","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","","3rd Avenue at 16th St.","Huntington","WV","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","Downtown","Basement T-Room","Wheeling","WV","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","Downtown","Basement T-Rooms","Wheeling","WV","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Dudley Ave.","Parkersburg","WV","","Bars/Clubs",1968,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Dudley Av.","Parkersburg","WV","","Bars/Clubs",1966,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Dudley Ave.","Parkersburg","WV","","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Dudley Ave.","Parkersburg","WV","","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA,NA
"Found","","12th & Main","Wheeling","WV","","Bars/Clubs",1971,NA,NA,NA,NA,NA,NA,NA
"Found","","12th & Main","Wheeling","WV","","Bars/Clubs",1972,NA,NA,NA,NA,NA,NA,NA
"Found","","12th & Main","Wheeling","WV","","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA,NA
"Found","","Capitol & Quarrier","Charlestown","WV","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","","Capitol & Quarrier","Charlestown","WV","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","Huntington","WV","","Bars/Clubs",1966,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","Huntington","WV","","Bars/Clubs",1968,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","Huntington","WV","","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA,NA
"Found","","4th Ave. at 1st St.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA,NA
"Found","(Some G) ","4th Ave. at 1st St.","Huntington","WV","(P),(G),(D),(YC),(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA,NA,NA
"Found","W.V.U. Library","","Morgantown","WV","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Daniel Boone Hotel & Diamond Dept. Store (5-9 pm - known locally as the 'rush hour')","","Charlestown","WV","Cruisy Area","Cruising Areas,Hotels",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Route 2 North","Parkersburg","WV","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Rte. 2 No.","Parkersburg","WV","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Rte. 2 N.","Parkersburg","WV","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Rte. 2 N.","","Parkersburg","WV","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","very active when closed after dark ","I-77 No. & So.","Parkersburg","WV","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","both North & South on I-77","Parkersburg","WV","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Very active when closed after dark ","I-77 N. & S.","Parkersburg","WV","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Very active when closed after dark ","I-77 N. & S.","Parkersburg","WV","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
