"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","on US hwy. 41, betw Appleton & Green Bay","","Appleton","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on US hwy. 41, betw Appleton & Green Bay","","Appleton","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","campus","","Appleton","Cruisy Area","Cruising Areas,Organizations",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","campus","","Appleton","Cruisy Area","Cruising Areas,Organizations",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire locally","","Appleton","","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire locally","","Appleton","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","3 mi. S. on US 151","","Beaver Dam","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I- 41-So. of De Pere","","Green Bay","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on Wisc. 141-eastside nr. city limits","","Green Bay","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on US 41-So. of DePere","","Green Bay","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on Wisc. 141-eastside nr. city limits","","Green Bay","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on US 41-S. of DePere","","Green Bay","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on US 41-S. of DePere","","Green Bay","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on Wisc. 141-eastside nr. city limits","","Green Bay","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Summers)","","Green Bay","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","on I-94-4 mi. W","","Kenosha","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","La Crosse","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Ripped me off)","","La Crosse","Cruisy Area","Cruising Areas,Book Store",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Cruisy lobby & john)","State Street at 4th","La Crosse","(M)","Hotels,Bars/Clubs,Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Cruisy lobby & T-room)","State Street at 4th","La Crosse","(M)","Hotels,Bars/Clubs,Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(no sign-just 4 blinking lights-use rear entrance )","46 N. Park at Regent","Madison","(*),(YC),(D)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","(no sign-just four blinking lights-use rear entrance )","46 N. Park at Regent","Madison","(*),(YC),(D)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some G) (no sign-just four blinking lights-use rear entrance to one of the friendliest bars anywhere)","46 N. Park at Regent","Madison","(*),(YC),(D),(G)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some G) (Snacks) (Tough to locate, but worth it-use rear door) ","46 N. Park at Regent","Madison","(*),(YC),(D),(G)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(SomeG) (Tough to locate, but worth it-use rear door) ","46 N. Park at Regent","Madison","(*),(YC),(D),(G)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","(SomeG) (Tough to locate, but worth it-use rear door)","46 N. Park at Spring","Madison","(*),(YC),(D),(G)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Madison","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Madison","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Madison","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some G) ","418 E. Wilson at Franklin","Madison","(YC),(D),(G),(*)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some G) ","418 E. Wilson at Franklin","Madison","(M),(D),(G),(YC),(*)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some G) ","418 E. Wilson at Franklin","Madison","(M),(D),(G),(YC)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some G) ","418 E. Wilson at Franklin","Madison","(M),(D),(G)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
