ID,title,status,description,streetaddress,lat.lon,city,state,Year,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1071,Airport,Found,,,"41.153163,-104.81098",Cheyenne,WY,1980,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:31am,3/28/2020 3:14pm
1085,Airport,Found,,,"41.153163,-104.81098",Cheyenne,WY,1979,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:38am,3/28/2020 3:17pm
1098,Airport,Found,,,"41.153163,-104.81098",Cheyenne,WY,1978,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:17pm
1116,Airport,Found,,,"41.153163,-104.81098",Cheyenne,WY,1977,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:17pm
1146,Al's,General Coordinates Used,,E. 16th,"41.137341,-104.800342",Cheyenne,WY,1971,(M),Bars/Clubs,checked,,2/14/2020 11:46am,3/28/2020 3:17pm
1143,Al's,General Coordinates Used,,E. 16th,"41.137341,-104.800342",Cheyenne,WY,1972,(M),Bars/Clubs,checked,,2/14/2020 11:46am,3/28/2020 3:17pm
1142,Albany Hotel Bar,Found,,15th & Capital,"41.131862,-104.814734",Cheyenne,WY,1972,"(M),(RT)","Bars/Clubs,Hotels",checked,,2/14/2020 11:46am,3/28/2020 3:18pm
1145,Albany Hotel Bar,Found,,15th & Capital,"41.131862,-104.814734",Cheyenne,WY,1971,"(M),(RT)","Bars/Clubs,Hotels",checked,,2/14/2020 11:46am,3/28/2020 3:18pm
1148,Albany Hotel Bar,Found,,15th & Capital,"41.131862,-104.814734",Cheyenne,WY,1970,"(M),(RT)","Bars/Clubs,Hotels",checked,,2/14/2020 11:46am,3/28/2020 3:18pm
1111,Area Around Holiday Inn,Found,,300 W. F Street,"42.858143,-106.328904",Casper,WY,1977,Cruisy Area,"Hotels,Cruising Areas",checked,,2/14/2020 11:46am,3/28/2020 3:18pm
1065,Conwell Park,Found,(Summers),,"42.849432,-106.308105",Casper,WY,1980,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:29am,3/28/2020 3:13pm
1079,Conwell Park,Found,(Summers),,"42.849432,-106.308105",Casper,WY,1979,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:38am,3/28/2020 3:17pm
1094,Conwell Park,Found,(Summers),,"42.849432,-106.308105",Casper,WY,1978,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:18pm
1074,Cowboy Bar,General Coordinates Used,(Very M) (Try front bar area) On the Square,,"43.479956,-110.761779",Jackson,WY,1980,"(M),(W),(YC),(PT)",Bars/Clubs,checked,coordinates for Jackson Sq,2/14/2020 11:31am,3/29/2020 9:58am
1088,Cowboy Bar,General Coordinates Used,(Very M) (Try front bar area) On the Square,,"43.479956,-110.761779",Jackson,WY,1979,"(M),(W),(YC),(PT)",Bars/Clubs,checked,coordinates for Jackson Sq,2/14/2020 11:38am,3/29/2020 9:58am
1101,Cowboy Bar,General Coordinates Used,On the square. Best at bar near front door,,"43.479956,-110.761779",Jackson,WY,1978,"(M),(W),(YC),(R),(PT),(*)","Bars/Clubs,Restaurant",checked,coordinates for Jackson Sq,2/14/2020 11:46am,3/29/2020 9:58am
1107,Dotsie's,General Coordinates Used,Inquire locally,,"41.587464,-109.202904",Rock Springs,WY,1978,"(M),(C),(AH)",Bars/Clubs,checked,,2/14/2020 11:46am,3/28/2020 3:18pm
1106,Everybody's,General Coordinates Used,Inquire locally,,"41.311367,-105.591101",Laramie,WY,1978,"(P),(M),(AH)",Bars/Clubs,checked,,2/14/2020 11:46am,3/28/2020 3:19pm
1072,Holiday Park,Found,,,"41.138812,-104.799258",Cheyenne,WY,1980,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:31am,3/28/2020 3:15pm
1086,Holiday Park,Found,,,"41.138812,-104.799258",Cheyenne,WY,1979,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:38am,3/28/2020 3:19pm
1099,Holiday Park,Found,,,"41.138812,-104.799258",Cheyenne,WY,1978,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:19pm
1117,Holiday Park,Found,,,"41.138812,-104.799258",Cheyenne,WY,1977,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:19pm
1127,Holiday Park,Found,,,"41.138812,-104.799258",Cheyenne,WY,1976,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:19pm
1070,Poor Richard's,Found,E. Lincoln Way at Converse,,"41.138426,-104.79007 ",Cheyenne,WY,1980,(M),Bars/Clubs,checked,,2/14/2020 11:31am,3/28/2020 3:14pm
1084,Poor Richard's,Found,E. Lincoln Way at Converse,,"41.138426,-104.79007 ",Cheyenne,WY,1979,(M),Bars/Clubs,checked,,2/14/2020 11:38am,3/28/2020 3:19pm
1102,Rancher Bar,General Coordinates Used,on the square,,"43.479956,-110.761779",Jackson,WY,1978,"(M),(W),(OC)",Bars/Clubs,checked,coordinates for Jackson Sq,2/14/2020 11:46am,3/29/2020 9:58am
1073,Trailways Bus Depot,General Coordinates Used,,," 41.130652,-104.837364",Cheyenne,WY,1980,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:31am,3/28/2020 3:15pm
1087,Trailways Bus Depot,General Coordinates Used,,," 41.130652,-104.837364",Cheyenne,WY,1979,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:38am,3/28/2020 3:19pm
1100,Trailways Bus Depot,General Coordinates Used,,," 41.130652,-104.837364",Cheyenne,WY,1978,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:19pm
1066,Vicinity of Holiday Inn,Found,,300 W. F Street,"42.858143,-106.328904",Casper,WY,1980,Cruisy Area,"Cruising Areas,Hotels",checked,,2/14/2020 11:29am,3/28/2020 3:13pm
1080,Vicinity of Holiday Inn,Found,,300 W. F Street,"42.858143,-106.328904",Casper,WY,1979,Cruisy Area,"Cruising Areas,Hotels",checked,,2/14/2020 11:38am,3/28/2020 3:19pm
1095,Vicinity of Holiday Inn,Found,,300 W. F Street,"42.858143,-106.328904",Casper,WY,1978,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:19pm
1118,Vicinity of Trailways Bus Depot,General Coordinates Used,,," 41.130652,-104.837364",Cheyenne,WY,1977,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:20pm
1128,Vicinity of Trailways Bus Depot,General Coordinates Used,,," 41.130652,-104.837364",Cheyenne,WY,1976,Cruisy Area,Cruising Areas,checked,,2/14/2020 11:46am,3/28/2020 3:20pm
