ID2,title,description,streetaddress,type,amenityfeatures,city,state,Year,unclear_address,unclear type or question,notes,Last Modified
2,All-Star Joint ,(Should be a winner) ,2850 29th St.,Bars/Clubs,,Boulder,CO,1981,,,,3/17/2022 3:10pm
3,The News Stand ,(Books & cruisy arcade),1720 15th St.,"Book Store,Cruising Areas",,Boulder,CO,1981,,,,3/17/2022 3:10pm
7,Exit Lounge ,(Cocktail hour & Sun. brunch*),2028 Sheldon Ave.,"Restaurant,Bars/Clubs",(*),Colorado Springs,CO,1981,,,,3/22/2022 7:57am
8,First Amendment Adult Book Store ,(Cruisy),216 W. Colorado,"Cruising Areas,Book Store",(M),Colorado Springs,CO,1981,,,,3/17/2022 3:10pm
9,Hide & Seek Complex ,(2 bars)(Disco),512 W. Colorado,"Restaurant,Bars/Clubs","(D),(R),(*),(PT),(YC)",Colorado Springs,CO,1981,,,,3/17/2022 3:10pm
10,Monarch Magazines ,(Books) ,232 N. Tejon,Book Store,(*),Colorado Springs,CO,1981,,,,3/17/2022 3:10pm
11,"New Box Car, Ltd. ",(Disco),5939 N. Nevada,Bars/Clubs,"(*),(D)",Colorado Springs,CO,1981,,,,3/17/2022 3:10pm
12,Now Women ,(Adj. to Hide & Seek),512 W. Colorado,Bars/Clubs,(L),Colorado Springs,CO,1981,,,,3/17/2022 3:10pm
13,R edcliff Lodge ,,3512 W. Pines Peak,Hotel,(H),Colorado Springs,CO,1981,,,,3/17/2022 3:10pm
16,Act III ,(Male movies) ,3480 W. Colfax,Erotic Shop,,Denver,CO,1981,,,,3/17/2022 3:10pm
17,Alfie 's ,(Disco)(Humpy jocks)(Cruisy)(AH-Fri-Sat-Sun) betw. 32nd & 33rd Sts.,3240 Larimer ,"Bars/Clubs,Cruising Areas","(*),(YC),(D),(AH)",Denver,CO,1981,,,,3/17/2022 3:10pm
18,Alicia's,(Mexican R) ,278 S. Downing,Restaurant,"(M),(R)",Denver,CO,1981,,,,3/17/2022 3:10pm
19,Ball Park Health Club ,"(Baths)(Some W, SM, YC, FFA)(Use rear entrance thru alley off Bayaud) at Bayaud",107 S. Broadway,"Bathhouses,Gym","(*),(W),(SM),(YC),(FFA),(P)",Denver,CO,1981,,,,3/17/2022 3:10pm
20,Bellevue ,(Also H & Bar) ,1953 Lincoln,"Hotel,Bars/Clubs,Restaurant","(*),(R),(H)",Denver,CO,1981,,,,3/17/2022 3:10pm
21,B.J.'s Carousel,(Cruisy)(Lunch & dinner),1380 S. Broadway,"Restaurant,Bars/Clubs,Cruising Areas","(*),(R),(E),(PT)",Denver,CO,1981,,,,3/17/2022 3:10pm
22,Broadway Cabaret ,(Disco-D in rear) ,1260 Broadway,"Bars/Clubs,Restaurant","(M),(YC),(R),(PT),(D)",Denver,CO,1981,,,,3/17/2022 3:10pm
