ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclear_address,uncleartype,notes,lastmodified
2922,Flame ,,115 W. Washington,Ann Arbor,,,Bars/Clubs,1984,,,,12/5/2021 12:17pm
5343,Holiday Inn Bar,,300 W. 'F' St.,Casper,WY,(M),Bars/Clubs,1984,,,,12/10/2021 11:07am
5346,Holdings' Little America Lodge,(jet. of 1-25 & 1-80),2200 W. Lincoln Way,Cheyenne,WY,(M),Bars/Clubs,1984,,,,12/10/2021 11:07am
5347,O.P. Taylor's Liquor Locker,(Some L) (E-WE) ,100 Central,Cheyenne,WY,"(M),(L),(PT),(E),(WE)",Bars/Clubs,1984,,,,12/10/2021 11:07am
5352,Buckhorn,('Best bet') ,114 Ivinson,Laramie,WY,"(M),(W)",Bars/Clubs,1984,,,,12/10/2021 11:07am
5353,Holiday Inn Bar,,1801 E. Cedar,Rawlins,WY,(M),Bars/Clubs,1984,,,,12/10/2021 11:07am
4,Harry's Bar,(Best Late),1106 Opelika Hwy.,Auburn,AL,"(M),(PT),(AYOR)",Bars/Clubs,1984,,,,12/5/2021 12:17pm
9,Basics ,"(Wed-Sun, AH-WE) (Some L)","912 N. 19th St.
",Birmingham,AL,"(*),(P),(L)",Bars/Clubs,1984,,checked,,1/14/2022 3:33am
11,Bill's Club,(Many L) ,208 N. 23rd St.,Birmingham,AL,"(D),(S),(*),(L)",Bars/Clubs,1984,,,,1/14/2022 4:24am
14,Gizmo,,909 S. 22nd St.,Birmingham,AL,"(D),(WE),(AH)",Bars/Clubs,1984,,,,12/5/2021 12:17pm
15,Mamma's Kitchen,,1107 S. 20th St.,Birmingham,AL,"(M),(R),(C),(AH)",Restaurant,1984,,,,12/5/2021 12:17pm
16,M.C.C.,,1019 23rd St. S.,Birmingham,AL,(MCC),Religious Institution,1984,,,,1/14/2022 6:00pm
17,Pleasure Books,,7606 1st Ave. N,Birmingham,AL,,Book Store,1984,,,,12/5/2021 12:17pm
18,Pussycat Adult Books,,7610 1st Ave. N.,Birmingham,AL,,Book Store,1984,,,,12/5/2021 12:17pm
20,Steak 'n' Egg,,1717 10th Ave. S,Birmingham,AL,"(M),(R),(C),(AH)",Restaurant,1984,,,,12/5/2021 12:17pm
