ID2,title,amenityfeatures,description,streetaddress,type,city,state,Year,unclear_address,unclear type or question,notes,Last Modified
10,Alabama Adult Books ,,,901 5th Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,1987,,,,1/28/2022 10:43pm
12,Basics,"(P),(L),(AH),(WE)",(Some L)(AH-WE*)(Cl. Mon-Tue),912 N. 19th St.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:41pm
13,Bill's Club ,"(*),(L),(D),(S)",(Many L),208 N. 23rd St.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:41pm
14,Birmingham Adult Books ,,,7610 1st Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,1987,,,,1/28/2022 10:43pm
15,Bootsie's Bohemia ,,(Deli & Coffee House),2921 Highland,Restaurant,Birmingham,AL,1987,,,,1/28/2022 2:41pm
16,Casbah ,"(*),(D),(M),(S)",(Disco) ,117 1/2 21st St. N.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:43pm
17,Downunder,(D),(Cruise bar) ,2105 2nd Ave. N.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:45pm
19,Gizmo,"(D),(WE),(AH)",(WE-AH*) ,909 S. 22nd St.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:46pm
20,Lodestar Books ,(L),(Some L) ,2020 11th Ave. S.,Book Store,Birmingham,AL,1987,,,,1/28/2022 2:47pm
21,M.C.C. ,(MCC),,2024 8th Ct. S.,Religious Institution,Birmingham,AL,1987,,,,1/28/2022 2:47pm
23,Neon's,,(Cards & gifts) ,2835 Highland Ave.,Business,Birmingham,AL,1987,,,,1/28/2022 2:48pm
24,Pleasure Books ,,,7606 1st Ave. N.,Book Store,Birmingham,AL,1987,,,,1/28/2022 2:48pm
