ID,title,amenityfeatures,description,streetaddress,type,city,state,Year,unclear_address,uncleartype,notes,lastmodified
1,Bill's Club,"(*),(L),(D),(S)","(Many L)
","208 N. 23rd St.
",Bars/Clubs,Birmingham,AL,1988,,,,1/24/2022 2:11pm
10,Alabama Adult Books,,,901 5th Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,1988,,,,6/8/2022 10:50am
12,Birmingham Adult Books,,,7610 1st Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,1988,,,,6/8/2022 10:50am
13,Club 21,"(YC),(D),(S)",(Looks promising) (Disco),117 1/2 21st St. N.,Bars/Clubs,Birmingham,AL,1988,,,,1/27/2022 8:53pm
14,Gizmo,"(D),(W),(SM)",,909 S. 22nd St.,Bars/Clubs,Birmingham,AL,1988,,,,1/31/2022 11:21pm
15,Lodestar Books,(L),(Some L),2020 11th Ave. S.,Book Store,Birmingham,AL,1988,,,,1/25/2022 8:35pm
16,M.C.C,(MCC),,2024 8th Ct. S.,Religious Institution,Birmingham,AL,1988,,,,2/10/2022 8:51pm
17,Mabel's Beauty Shop & Chain Saw Repair,"(C&W),(*)",(Bar),318 S. 14th St.,Bars/Clubs,Birmingham,AL,1988,,,,1/25/2022 8:50pm
18,Neon's ,,(Cards & Gifts),2835 Highland Ave,Business,Birmingham,AL,1988,,,,1/25/2022 8:51pm
19,Pleasure Books,,,7606 1st Ave. N.,Book Store,Birmingham,AL,1988,,,,1/25/2022 8:52pm
20,Steak 'n' Egg ,"(M),(R),(C),(AH)",,1717 10th Ave. S.,Restaurant,Birmingham,AL,1988,,,,1/25/2022 8:53pm
22,The Rage,"(P),(D),(*)",(Disco) (Quiet Bar),620 29th St. S.,Bars/Clubs,Birmingham,AL,1988,,,,1/25/2022 8:57pm
24,Western Super Market ,Cruisy Area,(Late Sat. nights),2230 Highland Ave,Cruising Areas,Birmingham,AL,1988,,,,1/25/2022 9:00pm
39,Electric Cowboy,(R),,111 E. Limestone,Restaurant,Florence,AL,1988,,,,1/29/2022 6:02pm
43,Fat's,"(P),(M),(YC),(WE),(*),(S)","(Some M, YC) (S-WE)",315 S. 2nd St.,Bars/Clubs,Gadsden,AL,1988,,,,1/29/2022 6:02pm
44,Atlantis ,"(YC),(L),(D),(S),(*)","(Some YC,L)",2572 Sparkman Dr.,Bars/Clubs,Huntsville,AL,1988,,,,1/29/2022 6:03pm
51,Club Park Avenue,"(YC),(D),(P),(*)","(Video downstairs, Disco-D-upstairs) (Patio)",7 S. Joachim,Bars/Clubs,Mobile,AL,1988,,,,1/28/2022 3:35pm
52,Corral,"(W),(OC),(L),Cruisy Area,(*)","(Some W, OC, L) (Late*)",54 S. Conception,Bars/Clubs,Mobile,AL,1988,,,,2/10/2022 8:54pm
55,Society Lounge ,"(L),(B)","(L, B)",53 Conception,Bars/Clubs,Mobile,AL,1988,,,,2/10/2022 8:55pm
56,Troopers ,(D),(Disco),215 Conti St.,Bars/Clubs,Mobile,AL,1988,,,,1/28/2022 3:43pm
64,RGee's ,"(P),(D),(PT),(AH)",(Also AH),211 Lee St.,Bars/Clubs,Montgomery,AL,1988,,,,1/28/2022 3:58pm
65,Rumors,"(D),(AH),(*)",(Disco),207 Dexter Ave.,Bars/Clubs,Montgomery,AL,1988,,,,1/28/2022 3:59pm
66,Skeeters ,"(D),(L),(AH),(*)",(Some L) (AH-Weekdays*),150 Lee St.,Bars/Clubs,Montgomery,AL,1988,,,,1/28/2022 4:00pm
73,Chucker's,"(YC),(M),(PT),(*)",,2121 6th St.,Bars/Clubs,Tuscaloosa,AL,1988,,,,1/28/2022 4:09pm
79,French Quarter,,(Books),4028 Mountain View,Book Store,Anchorage,AK,1988,,,,1/28/2022 4:37pm
