ID2,title,description,amenityfeatures,streetaddress,type,city,state,unclear_address,Year,unclear type or question,notes,Last Modified
11,Alabama Adult Books,,,901 5th Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,,1989,,,7/19/2022 12:53pm
13,Bill's Club,,"(*),(L),(D),(S)",208 N. 23rd St.,Bars/Clubs,Birmingham,AL,,1989,,,6/8/2022 12:52pm
14,Birmingham Adult Books,,,7610 1st Ave. N. ,Book Store,Birmingham,AL,,1989,,,6/8/2022 12:52pm
15,Club 21,(Disco) ,"(YC),(D),(S)",117 1/2 21st St. N.,Bars/Clubs,Birmingham,AL,,1989,,,6/8/2022 12:52pm
16,Fantasies ,(Some L),"(L),(S)",3201 3rd Ave. S.,Bars/Clubs,Birmingham,AL,,1989,,,6/8/2022 12:52pm
17,Lodestar Books ,(Some L) ,(L),2020 11th Ave. S.,Book Store,Birmingham,AL,,1989,,,6/8/2022 12:52pm
18,M.C.C.,,(MCC),2024 8th St. S.,Religious Institution,Birmingham,AL,,1989,,,7/25/2022 1:37pm
19,Mabel's Beauty Shop,,,318 14th St. S.,Bars/Clubs,Birmingham,AL,,1989,,,6/8/2022 12:52pm
20,Chain Saw Repair,(Bar) ,"(C&W),(*)",318 14th St. S.,Bars/Clubs,Birmingham,AL,,1989,,,6/8/2022 12:52pm
21,Neon's ,(Cards & gifts),,2835 Highland Ave.,Book Store,Birmingham,AL,,1989,,,6/8/2022 12:52pm
22,Pleasure Books,,,7606 1st Ave. N.,Book Store,Birmingham,AL,,1989,,,6/8/2022 12:52pm
23,Quest ,(Levi) (Cruisy) ,"(C&W),(*)",416 24th St. S,"Bars/Clubs,Cruising Areas",Birmingham,AL,,1989,,at 5th Ave. S.,6/8/2022 12:53pm
24,Steak 'n' Egg,,"(M),(R),(C),(AH)",1717 10th Ave. S.,Restaurant,Birmingham,AL,,1989,,,6/8/2022 12:52pm
26,The Rage ,(Disco & Quiet Bar) ,"(P),(*)",620 29th St. S.,Bars/Clubs,Birmingham,AL,,1989,,,6/8/2022 12:52pm
37,St. Andrews Alley ,,"(*),(D),(S)",134-A N. Foster St.,Bars/Clubs,Dothan,AL,,1989,,,6/8/2022 12:52pm
38,Electric Cowboy ,,(R),111 E. Limestone,Restaurant,Florence,AL,,1989,,,6/8/2022 12:52pm
42,Fat's ,"(Some M, YC) (WE*) (S-WE) ","(P),(M),(YC),(WE),(*),(S)",315 S. 2nd St.,Bars/Clubs,Gadsden,AL,,1989,,,6/8/2022 12:52pm
43,Head Quarters ,,(S),217 S. 4th St.,Bars/Clubs,Gadsden,AL,,1989,,,6/8/2022 12:52pm
44,Vieux Carre,,(N),1204 Posey ,Bars/Clubs,Gadsden,AL,,1989,,,6/8/2022 12:52pm
45,Atlantis ,"(Some YC, L) (T-Sun) ","(YC),(L),(D),(S),(*)",2572 Sparkman,Bars/Clubs,Huntsville,AL,,1989,,,6/8/2022 12:52pm
53,Club Park Ave,(V-Downstairs) (Disco-Upstrs) (Patio),"(*),(YC),(V),(P)",7 S. Joachim,Bars/Clubs,Mobile,AL,,1989,,,7/25/2022 1:37pm
54,Corral ,"(Some W, OC, L) (Cruisy) (Late*)","(W),(OC),(L),(*)",54 S. Conception,"Bars/Clubs,Cruising Areas",Mobile,AL,,1989,,,6/8/2022 12:53pm
56,Golden Rod,(Cruisy) ,(P),135 Joachin,"Bars/Clubs,Cruising Areas",Mobile,AL,,1989,,,6/8/2022 12:54pm
57,Society Lounge ,,"(L),(B)",53 Conception ,Bars/Clubs,Mobile,AL,,1989,,,6/8/2022 12:52pm
58,Troopers ,(Disco) ,,215 Court St.,Bars/Clubs,Mobile,AL,,1989,,,6/8/2022 12:52pm
64,RGee's,,"(P),(D),(PT),(AH)",211 Lee St.,Bars/Clubs,Montgomery,AL,,1989,,,6/8/2022 12:52pm
65,Rumors ,(Disco),"(AH),(*)",207 Dexter Ave.,Bars/Clubs,Montgomery,AL,,1989,,,6/8/2022 12:52pm
66,Skeeters,(Some L) (AH-Weekdays*),"(D),(L),(AH),(*)",150 Lee St.,Bars/Clubs,Montgomery,AL,,1989,,,6/8/2022 12:52pm
73,Chucker's ,,"(YC),(M),(PT),(*)",2121 6th St.,Bars/Clubs,Tuscaloosa,AL,,1989,,,6/8/2022 12:52pm
79,Adults Only Bookstore,(Cruisy),,3956 Spenard Rd.,"Book Store,Cruising Areas,Erotic Shop",Anchorage,AK,,1989,,,7/19/2022 12:52pm
80,Anchorage Book Mart,(Cruisy) ,,137 E. 5th St.,"Book Store,Cruising Areas",Anchorage,AK,,1989,,,6/8/2022 12:54pm
81,French Quarter ,(Books),,4028 Mountain View ,Book Store,Anchorage,AK,,1989,,,6/8/2022 12:52pm
83,M.C.C.,,(MCC),602 W. 10th Ave.,Religious Institution,Anchorage,AK,,1989,,,7/25/2022 1:58pm
85,Raven ,(Enter through parking lot on 6th),"(*),(YC),(W),(SM),(D),(PT)",618 Gambell ,Bars/Clubs,Anchorage,AK,,1989,,,6/8/2022 12:52pm
86,Swinger Book Store,,,710 W. Northern Lights Blvd.,Book Store,Anchorage,AK,,1989,,,6/8/2022 12:52pm
87,The Village ,(Disco) (Some L),"(YC),(L),(*)",225 E. 5th Ave.,Bars/Clubs,Anchorage,AK,,1989,,,6/8/2022 12:52pm
88,Women's Resource Center Books,,,111 W. 9th St.,"Organization,Book Store",Anchorage,AK,,1989,,,7/25/2022 1:58pm
95,International Bookstore,(Cruisy),(F&S),106 Old Richardson Hwy.,"Book Store,Cruising Areas",Fairbanks,AK,,1989,,,6/8/2022 12:54pm
100,Red Dog Saloon,,"(M),(*)",175 S. Franklin St.,Bars/Clubs,Juneau,AK,,1989,,,6/8/2022 12:52pm
101,Summit Hotel Bar,(rear),(M),455 S. Franklin St.,"Bars/Clubs,Hotel",Juneau,AK,,1989,,,1/18/2023 9:26am
109,St. Johns Disco,(Disco) ,"(*),(YC)",214 N.W. Ave.,Bars/Clubs,Fayetteville,AR,,1989,,,6/8/2022 12:52pm
113,Court Garden,,"(D),(P)",305 Garrison Ave.,Bars/Clubs,Ft. Smith,AR,,1989,,,6/8/2022 12:52pm
114,M.C.C.,,(MCC),1007 S. 25th St.,Religious Institution,Ft. Smith,AR,,1989,,,7/25/2022 1:58pm
115,Village Landing ,(Disco) (Some L),"(*),(YC),(L)",3028 N. 6th St.,Bars/Clubs,Ft. Smith,AR,,1989,,,6/8/2022 12:52pm
122,Our House Lounge,(Disco-upstairs) ,(*),336 Central Ave.,Bars/Clubs,Hot Springs,AR,,1989,,,6/8/2022 12:52pm
125,American Arcade ,,,4524 Asher,Business,Little Rock,AR,,1989,,,7/25/2022 1:58pm
128,Books-n-Looks,"(Peeps, Movies, Mags.)",,4000 Asher Ave.,"Book Store,Erotic Shop",Little Rock,AR,,1989,,,7/25/2022 1:59pm
129,Chaps ,,"(P),(C&W)",1701 University ,Bars/Clubs,Little Rock,AR,,1989,,,6/8/2022 12:52pm
130,Christopher's,,"(R),(D)",601 Center St.,"Bars/Clubs,Restaurant",Little Rock,AR,,1989,,,1/18/2023 10:01am
132,Discovery II,(Disco) (Riverfront Dr. off Cantrell Rd.),"(*),(YC),(S),(P),(AH)",1020 Jessie Rd.,Bars/Clubs,Little Rock,AR,,1989,,,6/8/2022 12:52pm
133,Fifth Gear,(Some L) (Side entrance),"(*),(L),(D),(S),(PT),(V)",3519 Old Cantrell Rd.,Bars/Clubs,Little Rock,AR,,1989,,,7/25/2022 2:00pm
134,Little Rock Inn,,(H),601 Center St.,Hotel,Little Rock,AR,,1989,,,6/8/2022 12:52pm
136,Preston's ,(Disco),"(P),(YC),(PT),(R)",5618 Asher ,Restaurant,Little Rock,AR,,1989,,nr. University,6/8/2022 12:52pm
137,Silver Dollar,,(L),2710 Asher Ave.,Bars/Clubs,Little Rock,AR,,1989,,,6/8/2022 12:52pm
139,Twisted Entertainment ,(Gift shop),,7201-B Asher Ave.,Book Store,Little Rock,AR,,1989,,,6/8/2022 12:52pm
148,Adult Book Store,,(P),414 State Line Ave.,"Book Store,Erotic Shop",Texarkana,AR,,1989,,,7/19/2022 12:51pm
151,St. Elmo's,(E-WE),"(M),(W),(PT),(E),(WE)",36 Brewery Gulch Ave,Bars/Clubs,Bisbee,AZ,,1989,,,6/8/2022 12:52pm
157,Kings Inn Best Western,,"(H),(M)",2930 E. Andy Devine,Hotel,Kingman,AZ,,1989,,,6/8/2022 12:52pm
162,Al E. Gators,(Guppie) ,"(*),(PE),(YC)",4343 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
163,Apollo's ,(Hot cocktail hour) (Some SM) ,"(*),(SM),(PT)",5749 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
164,Attitudes,,(M),921 W. Camelback,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
165,Barney's Books,,,1421 E. McDowell Rd.,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
166,Book Cellars,"(Books, etc.) ",,2103 W. Camelback Rd.,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
167,Book Cellars,"(Books, etc.) ",,402 W. Hatcher,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
168,Bum Steer ,(Levi) ,"(V),(PT),(AH)",4620 N. 7th Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,7/25/2022 2:00pm
169,Castle Adult Books,(Cruisy) ,,5501 E. Washington,"Book Store,Cruising Areas",Phoenix,AZ,,1989,,,6/8/2022 12:54pm
170,Cattleman's Exchange,(Hayloft-upstairs),"(OC),(N)",138 W. Camelback Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
171,Charlie's ,(Square-D) (Cloggers),"(*),(C&W),(D),(PT)",727 W. Camelback Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
173,Crusin' Central ,(Some OC) (Hustlers),"(OC),(RT),(AYOR)",1011 N. Central Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
175,Dime Store,,"(*),(V),(PT)",1810 E. McDowell,Bars/Clubs,Phoenix,AZ,,1989,,,7/25/2022 2:00pm
176,Durant's ,(Cocktail hour),"(M),(R)",2611 N. Central ,Restaurant,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
177,Farrah's ,"(Some L, YC) (Disco)","(L),(YC),(PT)",4158 Grand Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
178,Fergy's ,,(N),3025 W. 24th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
180,Flex Health Club Phoenix,,(P),1517 S. Black Canyon Rd.,Health Clinic,Phoenix,AZ,,1989,,,1/3/2023 9:45pm
181,"Firstravel, Ltd",,(IGTA),5150 N. 7th St.,Travel Agency,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
184,Goog's ,,"(R),(AH)",1812 E. Camelback Rd.,Restaurant,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
185,Humanspace Books Inc. ,,,1617 N. 32nd St.,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
186,Impulse,(Strippers) ,(S),2326 E. Indian School,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
187,Incognito Lounge,,"(L),(D),(*)",2424 E. Thomas Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
188,Little Jim's,(Hustlers) ,"(OC),(PT),(RT)",222 E. Roosevelt ,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
189,M.C.C.,(Case de Christo) ,(MCC),1029 Turney ,Religious Institution,Phoenix,AZ,,1989,,,1/3/2023 9:45pm
190,Network ,(Hustlers),"(S),(*)",3025 N. 24th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
191,New Camel Club,,"(R),(S),(E)",5105 N. 43rd St.,Restaurant,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
192,New Moon,(Disco),(L),3108 E. McDowell Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
193,Nu Towne,(*Tue.&Sun.),"(PT),(YC),(*)",5002 E. Van Buren,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
195,Ramrod ,(Patio) (Sun.*) ,"(SM),(W),(*)",395 N. Black Canyon Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
196,Royal Villa Motel ,(602) 266-6883,(IGTA),1102 E. Turney Ave.,Travel Agency,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
197,Stixx ,,"(N),(PT),(D)",3015 N. 16th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
198,Talk of the Town,,(L),4301 N. 7th Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
199,Taylor's,,"(*),(E)",4223 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
200,The Club,,"(*),(E)",4223 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
201,Travel Registry ,,(IGTA),3819 N. 3rd St.,Travel Agency,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
202,Traxx,(Disco) (AH-WE),"(*),(YC),(AH),(WE),(PT)",1724 E. McDowell,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
203,Tuff Stuff ,"(Leather, Toys, etc.)",,1714 E. McDowell,Erotic Shop,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
206,Winks,(Some PE) (Sun. brunch) ,"(*),(E),(PE)",5707 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
