ID2,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,Year,unclear type or question,notes,Last Modified
3242,Six Webster Place,(MW),"487-2266 guest house, year round", 6 Webster Pl.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
5082,Ocean Walk,"(MX),(SW)",728-0855 guest house & public bars,1 Atlantic Place,Accomodations,San Juan,PR,,1992,,,4/25/2023 9:32pm
5081,Numero Uno On The Beach,"(*),(MX),(IGTA),(SW)","Ocean Park 726-5010/727-9687 guesthouse, bar & grille, continental breakfast",1 Calle Santa Ana,Accomodations,San Juan,PR,,1992,,,5/18/2023 8:27am
5076,Atlantic Beach Hotel ,"(*),(MW),(D)",(Condado) 721-6900 bar & restaurant on premises,1 Calle Vendig,Accomodations,San Juan,PR,,1992,,,4/25/2023 9:32pm
5742,Chassman & Bem Booksellers,,Market Place 862-4332 gay/lesbian titles,1 Church St.,Bookstore/Retail Shops,Burlington,VT,,1992,,,4/25/2023 9:32pm
3231,Provincetown Inn,"(MX),(F),(SW)",487-9500/(800)942-5388 full service hotel,1 Commercial St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
2189,Club One,"(MW),(D),(S),(AH),(F)","232-0200 9pm-3am Mon-Thurs, til 4am Fri & Sat, 8pm-2am Sun",1 Jefferson St.,Bars,Savannah,GA,,1992,,,4/25/2023 9:32pm
4170,Wall Street Sauna,(*),"(11th flr) 233-8900 11am-8pm Mon-Fri, noon-6pm Sat, clsd Sun",1 Maiden Ln.,Gyms/Health Clubs,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
4088,Artists Cafe,(MX),523-9493,1 Main St.,Restaurants & Cafes,Lake Placid,NY,,1992,,,4/25/2023 9:32pm
3391,Community News Center,,"City Center 458-2123 gay section, 9am-6:30pm, clsd Sun",1 Monroe Center,Bookstore/Retail Shops,Grand Rapids,MI,,1992,,,5/18/2023 8:27am
4734,Whittier News Stand,,"592-0767, 24hrs",1 N. Lewis St.,Erotica,Tulsa,OK,,1992,,,4/25/2023 9:32pm
5439,Oak Lawn Travel,(IGTA),Ste. 100C 528-9130,1 Turtle Creek Village,Travel & Tour Operators,Dallas,TX,,1992,,,4/25/2023 9:32pm
3032,Hippo,"(*),(MW),(D),(V)",547-0069 3pm-2am,1 W. Eager St.,Bars,Baltimore,MD,,1992,,,4/25/2023 9:32pm
2964,Sportsman's Club,"(*),(D)",784-2251 8pm-1am,2 Bates St.,Bars,Lewiston,ME,,1992,,,4/25/2023 9:32pm
5085,Barefoot Bar,"(*),(H),(F)","(Condado) 724-7230 beach bar, open 24 hours, popular days",2 Calle Vendig,Bars,San Juan,PR,,1992,,,4/25/2023 9:32pm
5132,Nan Max Travel,,272-2900/(800)842-3315 ask for Roger,2 Charles St.,Travel & Tour Operators,Providence,RI,,1992,,,4/25/2023 9:32pm
3671,West End Cafe,(MX),361-2020,2 N. Euclid Ave.,Restaurants & Cafes,St. Louis,MO,,1992,,,4/25/2023 9:32pm
3690,Villa Book Shop,,,2 S. 27th lesbian/gay bookstore,Bookstore/Retail Shops,Billings,MT,,1992,,,4/25/2023 9:32pm
3112,Icarus,(MX),426-1790 American cuisine,3 Appleton St.,Restaurants & Cafes,Boston,MA,,1992,,,4/25/2023 9:32pm
5075,3 Elena Guest House,(MW),728-7418,3 Elena St.,Accomodations,San Juan,PR,,1992,,,4/25/2023 9:32pm
5098,Cafe Elena,(MW),728-7418,3 Elena St.,Restaurants & Cafes,San Juan,PR,,1992,,,4/25/2023 9:32pm
5111,Raffles,"(*),(MW),(D)","847-9663 7pm-1am Mon-Sat, from 5pm Sun",3 Farewell St.,Bars,Newport,RI,,1992,,,4/25/2023 9:32pm
4352,New Chapter Books,,276-2191 general bookstore with gay/lesb titles,3 Heritage Hills,Bookstore/Retail Shops,Somers,NY,,1992,,,4/25/2023 9:32pm
210,Cedarberry Cottage B&B,(MX),"253-6115 private entrances & baths, outdoor hot tub, full breakfast",3 Kings Hwy,Accomodations,Eureka Springs,AR,,1992,,,4/25/2023 9:32pm
2995,Communiques,,773-5181 10am-6pm,3 Moulton St.,Bookstore/Retail Shops,Portland,ME,,1992,,,4/25/2023 9:32pm
2989,"Limelight, The","(*),(MW),(D),(S)",773-3315 5pm-1am,3 Spring St.,Bars,Portland,ME,,1992,,,4/25/2023 9:32pm
2991,Underground,"(*),(MW),(D),(SM)",773-3315 5pm-1am,3 Spring St.,Bars,Portland,ME,,1992,,,4/25/2023 9:32pm
3235,Richmond Inn,,487-9193 year round,4 Conant st.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3252,Atlantic House Hotel,"(*),(D),(YC)",(The Big Room) 487-3821,4 Masonic Pl.,Bars,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3612,Larry's Gifts & Cards,,"753-4757, 10am-7pm Mon-Sat, noon-5pm Sun",4 W. 39th St.,Bookstore/Retail Shops,Kansas City,MO,,1992,,,4/25/2023 9:32pm
1539,Norwich Book & Video,,887-5058,5 Falls Ave.,Erotica,Norwich,CT,,1992,,,4/25/2023 9:32pm
5766,"Island Reef Bar, Grill, & Inn",(MX),"776-0131 250 yr. old Danish guest house, courtyard",5 Garden St.,Accomodations,Charlotte Amalie,Virgin Islands,,1992,,,4/25/2023 9:32pm
5151,"Arcade Club, The","(*),(D),(S),(YC)","577-9160 8pm-2:30am, til 3am Fri",5 Liberty St.,Accomodations,Charleston,SC,,1992,,,4/25/2023 9:32pm
4651,Why Not Cafe,"(D),(NH),(S)","324-9304 8:30pm-1am Sun-Thurs, until 2:30am Fri & Sat, patio",5 N. Murray St.,Bars,Springfield,OH,,1992,,,4/25/2023 9:32pm
3569,Independence Place,"(MW),(D),(S)","334-2939 opens 8:30pm Mon-Thur, from 7pm Fri & Sat",5 S. Henderson St.,Bars,Cape Girardeau,MO,,1992,,,4/25/2023 9:32pm
3658,Magnolia's,"(*),(F),(S)","652-6500 4pm-3am, dinner nightly",5 S. Vandeventer,Bars,St. Louis,MO,,1992,,,4/25/2023 9:32pm
3246,Victoria House,(MW),", 487-4455 year round",5 Standish St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3241,Shiremax Inn,(IGTA),"487-4621 guest house, year round",5 Tremont St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
4936,Karla's,"(MX),(E)","862-2612 lunch & dinner, full bar",5 W. Mechanic St.,Restaurants & Cafes,New Hope,PA,,1992,,,4/25/2023 9:32pm
3219,Five Winslow Guest House,(PC),487-0456 accomodations by personal recommendation & reference,5 Winslow ,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
2209,Charo's Restaurant & Bar,(MX),826-6422 Mexican & continental cuisine,5-7132 Kuhio Hwy.,Restaurants & Cafes,"Haena, Kauai",HI,,1992,,,4/25/2023 9:32pm
5078,Condado Inn,"(*),(MW)","Condado 724-7145 priv baths, 1/2 blk to beach",6 Condado Ave.,Accomodations,San Juan,PR,,1992,,,5/18/2023 8:27am
3191,Ampersand Guest House,(MW),487-0959 year round,6 Cottage St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
2987,Blackstones,(NH),775-2885 4pm-1am,6 Pine St.,Bars,Portland,ME,,1992,,,4/25/2023 9:32pm
1887,Inn Exile,(V),"582-4144 3pm-2am Mon-Sat, 3pm-midnight Sun",6 S. J St.,Bars,Lakeland,FL,,1992,,,4/25/2023 9:32pm
2973,Leisure Inn,(MX),"646-2737 B & B, open April-October",6 School St.,Accomodations,Ogunquit,ME,,1992,,,4/25/2023 9:32pm
3613,Phoenix Books,,"931-5794 gay/lesbian bookstore, 10am-6pm Mon-Sat, 1pm-5pm Sun",6 W. 39th St.,Bookstore/Retail Shops,Kansas City,MO,,1992,,,4/25/2023 9:32pm
3208,Chicago House,"(*),(MW)","487-0537/(800)733-7869 cont'l bkfst, year round, apts avail.",6 Winslow St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3925,Woolverton Inn,(MX),"397-0802 B & B, full breakfast, year-round",6 Woolverton Rd.,Accomodations,Stockton,NJ,,1992,,,4/25/2023 9:32pm
3223,Heritage House,,487-3692 seasonal,7 Center St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
4097,"Jeffrey E. Lavigne, MD",,879-4260,7 East 68th St.,Info Lines & Services,New York City,NY,,1992,,,4/25/2023 9:32pm
3269,Napi's,(MX),487-1145 year round,7 Freeman St.,Restaurants & Cafes,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3210,Coat of Arms,(*),487-0816 seasonal,7 Johnson St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
2974,Ogunquit House,,646-2967 year-round,7 Kings Way,Accomodations,Ogunquit,ME,,1992,,,4/25/2023 9:32pm
3108,Venus de Milo,"(MW),(D)",421-9595 gay Wed only 9pm-2am,7 Lansdown St.,Bars,Boston,MA,,1992,,,4/25/2023 9:32pm
3248,Watership Inn,"(*),(MW)",487-0094 year round,7 Winthrop St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
4682,Level Two,"(MW),(D),(S)","357-1430 8pm-2am, clsd Mon & Tues",8 1/2 NW 2nd,Bars,Lawton,OK,,1992,,,4/25/2023 9:32pm
3670,Sunshine Inn,(MX),367-1413,8 1/2 S. Euclid Ave,Restaurants & Cafes,St. Louis,MO,,1992,,,4/25/2023 9:32pm
3236,Roomers,,487-3532 seasonal,8 Carver St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
4000,Esther's,"(MW),(D),(E)","434-0994 7pm-4am Sun-Thurs, from 9pm Fri & Sat",8 Central Ave.,Bars,Albany,NY,,1992,,,4/25/2023 9:32pm
4148,Reeds,"(NH),(V)",675-7333 3pm-4am,8 Christopher St.,Bars,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
3209,Christopher Inn,"(MW),(SW)","487-1920/(800)828-7896 guesthouse, year round",8 Dyer St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3224,Joseph's,,487-1237 guest house,8 Johnson St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
5176,"Castle, The","(*),(MW)","235-9949 8pm-4am Mon-Fri, til 2am Sat & Sun",8 LeGrand Blvd.,Bars,Greenville,SC,,1992,,,4/25/2023 9:32pm
4939,Wildflowers,"(MX),(BYOB)","862-2241 noon-10pm, outdoor dining",8 W. Mechanic St.,Restaurants & Cafes,New Hope,PA,,1992,,,4/25/2023 9:32pm
3240,Shipwreck Inn,(*),487-9005,9 Court St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3217,Elm Guest House,,487-0793 seasonal,9 Johnson St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3483,Unicorn Theatre,,"#209, 338-4045 gay/lesbian theatre, bi-monthly productions",9 N. 4th St.,Info Lines & Services,Minneapolis,MN,,1992,,,4/25/2023 9:32pm
3499,Gaze Newsstand,,"Ste. 212, 341-0044 noon-6pm, til 11pm Fri-Sun",9 N. 4th St.,Bookstore/Retail Shops,Minneapolis,MN,,1992,,,4/25/2023 9:32pm
3512,Gaze Newspaper,,"Ste. 212, Mpls. 338-4045",9 N. 4th St.,Publication,Minneapolis,MN,,1992,,,4/25/2023 9:32pm
4056,Fire Island Pines,,Fire Island Pines 597-6767 seasonal,9 Ocean Walk,Accomodations,Fire Island,NY,,1992,,,5/18/2023 8:28am
5787,Sea Gate,(MX),331-2206 B & B,9 Tazewell Ave.,Accomodations,Cape Charles,VA,,1992,,,4/25/2023 9:32pm
1532,Frank's Place,"(MW),(NH),(D)","443-8883 huge patio, 4pm-1am Sun-Thurs, 3pm-2am Fri & Sat",9 Tilley St.,Bars,New London,CT,,1992,,,4/25/2023 9:32pm
5847,Last Straw,"(F),(NH)",342-1634 9am-2am,9 W. Salem Ave.,Bars,Roanoke,VA,,1992,,,4/25/2023 9:32pm
3221,Gifford House,,"487-0688 year round, see ad national section",9-11 Carver St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3147,Jon's,"(MX),(D),(E)","884-9533 4pm-1am Mon-Fri, from 1pm Sat & Sun",9-11 Williams St.,Bars,Chelsea,MA,,1992,,,4/25/2023 9:32pm
216,Center Street Bar & Grille,"(MX),(D),(E),(F)","253-8102 5pm-2am, clsd. Sun",10 Center St.,Bars,Eureka Springs,AR,,1992,,,4/25/2023 9:32pm
5120,Devilles,"(*),(W),(F)",(Simmons Bldg.) espresso bar,10 Davol Sq.,Bars,Providence,RI,,1992,,,4/25/2023 9:32pm
3042,Signals,"(AH),(BYOB),(D)",727-1003 midnight til dawn Fri & Sat,10 E. Lafayette,Bars,Baltimore,MD,,1992,,,4/25/2023 9:32pm
1255,Sutter's Mill,"(F),(P)","(off Bush St) 788-8377 10am-10pm, lunch Mon-Fri",10 Mark Ln.,Bars,San Francisco,CA,,1992,,,4/25/2023 9:32pm
3676,"Pages, Video, & More",,361-3420 gay titles,10 N. Euclid Ave.,Bookstore/Retail Shops,St. Louis,MO,,1992,,,4/25/2023 9:32pm
1578,Everybody's,"(MW),(D),(B),(AH)",(upstairs) 655-5632 opens 10pm Wed-Sat,11 E. 4th St.,Bars,Wilmington,DE,,1992,,,4/25/2023 9:32pm
4372,Scandals/Getaways/Cahoots,"(MW),(D),(V),(S),(F)","252-2838 9am-2am Wed, Fri & Sat, 2 bars & restaurant (Tues-Sat) on premises",11 Grove St.,Bars,Asheville,NC,,1992,,,4/25/2023 9:32pm
