ID2,title,amenityfeatures,description,streetaddress,unclear_address,type,city,state,Year,unclear type or question,notes,Last Modified
5775,Ocean Walk ,"(GF),(SW),(IGTA)","728-0855/(800)468-0615 on the beach, public bars, sundeck",1 Atlantic Place,,Accommodations,San Juan,PR,1994,,,4/25/2023 9:24pm
255,Thunder Bay,"(GF),(D),(E),(S),(YC)","843-5582 opens 9pm, clsd Mon",1 Bolivar Dr. ,,Bars,Berkeley,CA,1994,,,4/25/2023 9:23pm
1354,Thomas Floral & Adult Gifts,,(at Ellsworth) 744-6400,1 Broadway ,,Bookstores/Retail Shops,Denver,CO,1994,,,4/25/2023 9:23pm
5774,Numero Uno On The Beach,"(*),(GF),(SW)","Ocean Park 726-5010/727-9687 guesthouse, bar & grille",1 Calle Santa Ana,,Accommodations,San Juan,PR,1994,,,5/19/2023 10:25am
5769,Atlantic Beach Hotel ,"(*),(MW),(IGTA)",Condado 721-6900 bar & restaurant ,1 Calle Vendig,,Accommodations,San Juan,PR,1994,,,5/19/2023 10:25am
3038,Provincetown Inn,"(GF),(F),(SW),(WC)",487-9500 full service hotel,1 Commercial St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
1739,Pier House Resort & Caribbean Spa,"(GF),(SW)","296-4600/(800)327-8340 priv. beach, 5 restaurants, 5 bars, spa & gym",1 Duval St.,,Accommodations,Key West,FL,1994,,,4/25/2023 9:23pm
830,Project Teen,,"(United Methodist Church), Redlands 335-2005, 7:30pm Wed, support group for lesbigay teens, 1st Wed meets w/P-FLAG",1 E. Olive,,Info Lines & Services,San Bernardino,CA,1994,,,5/19/2023 10:25am
4832,Gerardo's,"(MW),(D),(E),(WC)","274-5560 4pm-1am, til 2am Fri & Sat ",1 Franklin Square ,,Bars,Providence,RI,1994,,,4/25/2023 9:24pm
3960,One Hot Spot ,"(MW),(D),(MRC-AF),(MRC-L),(WC)","852-0139 5pm-3am, Th women only",1 Front St.,,Bars,N.Y.C. - Brooklyn,NY,1994,,,4/25/2023 9:24pm
194,Greenwood Hollow Ridge,"(*),(MW),(WC)","253-5283 B&B, exclusively lesbigay, RV spaces",1 Greenwood Hollow Ridge,,Accommodations,Eureka Springs,AR,1994,,,4/25/2023 9:23pm
4888,Moon Jammers,"(MW),(NH),(D),(A),(S),(PC),(WC)",Pope Ave. 842-9195 8pm-2am,1 Heritage Plaza,,Bars,Hilton Head,SC,1994,,,5/19/2023 10:25am
2093,Club One,"(MW),(D),(F),(S)",232-0200 6pm-3am,1 Jefferson St.,,Bars,Savannah,GA,1994,,,4/25/2023 9:24pm
3910,Wall Street Sauna ,"(*),(P)",(11th) 233-8900 call for hours,1 Maiden Ln.,,Men's Clubs,Greenwich Village,NY,1994,,,5/19/2023 10:25am
3804,Artists Café,,"523-9493 lunch & dinner, discreetly frequented by gays",1 Main St.,,Restaurants & Cafes,Lake Placid,NY,1994,,,4/25/2023 9:24pm
4448,Whittier News Stand ,,"592-0767, 24hrs ",1 N. Lewis St.,,Erotica,Tulsa,OK,1994,,,4/25/2023 9:24pm
2397,Teana Faye's Riverboat Lounge,"(MW),(D),(A),(E),(S),(WC)","425-3523 3pm-3am, clsd Sun",1 S.E. 1st St.,,Bars,Evansville,IN,1994,,,4/25/2023 9:24pm
2841,Hippo,"(*),(MW),(D),(K),(V),(WC)","547-0069 3pm-2am, 3 bars ",1 W. Eager St.,,Bars,Baltimore,MD,1994,,,4/25/2023 9:24pm
2772,Sportman's Club,"(*),(MW),(D)",784-2251 8pm-1am,2 Bates St.,,Bars,Lewiston,ME,1994,,,4/25/2023 9:24pm
5776,Barefoot Bar,"(*),(F),(H)","Condado 724-7230/725-2055 beach bar, 9am-1am, til 4am Fri & Sat",2 Calle Vendig,,Bars,San Juan,PR,1994,,,5/19/2023 10:26am
