Auto#,title,unclear_address,streetaddress,description,amenityfeatures,type,city,state,notes,unclear type or question,Year,Last Modified
6269,Bricktown Brewery Restaurant ,, 1 N Oklahoma,"232-2739 10am-midnight, til 2am Fri-Sat",(D),Restaurants,Oklahoma City,OK,,,1998,7/2/2024 3:53pm
6608,Grownups,, 2 E Mechanic St ,862-9304 gay-owned/run,"(*),(NS)",Erotica,New Hope,PA,,,1998,7/2/2024 3:53pm
6872,The Arcade,, 5 Liberty St ,"722-5656 9:30pm-?, clsd Mon-Wed","(D),(A),(K),(S),(YC),(WC),(*),(M)",Bars & Nightclubs,Charleston,SC,,,1998,
4261,Ampersand Guesthouse,, 6 Cottage St,487-0959/(800) 574-9645,(MW),Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
6870, Charleston Columns,, 8 Vanderhorst St,722-7341,"(MW),(NS)",Accommodations,Charleston,SC,,,1998,
6805, Hydrangea House Inn,, 16 Bellevue Ave,"846-4435/(800) 945-4667 full brkfst, nr. beach, see ad page 587
","(*),(GF)",Accommodations,Newport,RI,,,1998,
106,Pasto,, 19 E Aspen ,"779-1937 5pm-9:30pm, til 10pm Fri-Sat, Italian ",,Restaurants,Flagstaff,AZ,,,1998,2/8/2024 10:54am
2685,Boca,, 20th & 7th ave,"Ybor City  Lunch & dinner, 4 course Sun brunch, 2 full bars ",,Restaurants,Ybor City,FL,"Listed under ""Tampa""",,1998,7/2/2024 3:28pm
103,Charlie's,, 23 N Leroux ,"779-1919 noon-lam, Sun brunch, patio","(GF),(F),(WC)",Bars & Nightclubs,Flagstaff,AZ,,,1998,2/8/2024 10:54am
6603,Mother’s,, 34 N Main St,862-5270 9am-10pm,"(*),(NS)",Restaurants,New Hope,PA,,,1998,7/2/2024 3:53pm
6642,The Khyber,, 56 S 2nd St,238-5888 Wed gay night,"(GF),(F),(E)",Bars & Nightclubs,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6868,65 Radcliff Street,, 65 Radcliff St ,577-6183,(MW),Accommodations,Charleston,SC,,,1998,7/2/2024 3:53pm
7008,Integrity,, 102 N Second St ,(Calvary Episcopal Church) 525-6602 3rd Tue 6pm,"(*),(NS)",Spiritual Groups,Memphis,TN,,,1998,7/2/2024 4:27pm
6601,Havana,, 105 S Main St,"862-9897 11am-midnight, bar til 2am ",(E),Restaurants,New Hope,PA,,,1998,7/2/2024 3:53pm
6981,501 Club,, 111 N Claybrook ,"274-8655 noon-3am, til 6am Fri-Sat, patio; also cruise bar
","(M),(D),(F),(S),(WC)",Bars & Nightclubs,Memphis,TN,,,1998,
107,Aradia Books,, 116 W Cottage,"779-3817 10:30am-5:30pm, clsd Sun, some gay men's titles",,Bookstores & Retail Shops,Flagstaff,AZ,,,1998,2/8/2024 10:54am
4851,Pekin Noodle Parlor,, 117 S Main,"5pm-9pm, clsd Tue",,Restaurants,Butte,MT,,,1998,7/2/2024 3:53pm
6704,Club Body Center,, 120 S 13th St,735-9568 24hrs,"(MO),(PC)",Men's Clubs,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6830,Yukon Trading Co,, 124 Snow St,"274-6620 5pm-1am, til 2am Fri-Sat, uniform, bear bar","(D),(L),(*),(M)",Bars & Nightclubs,Providence,RI,,,1998,7/2/2024 3:53pm
6628,Latham Hotel ,, 135 S 17th St ,563-7474/(800) 528-4261 ,(GF),Accommodations,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6877,Mickey's,, 137 Market St ,723-7121 24hrs,(*),Restaurants,Charleston,SC,,,1998,7/2/2024 3:53pm
6835,Down City Diner,, 151 Weybosset St,"331-9217 lunch & dinner, popular Sun brunch (very gay), full bar",(WC),Restaurants,Providence,RI,,,1998,
6860,Global Excellence--The Travel Agency,, 155 Jefferson Blvd,"732-8080/(800) 339-3600
","(*),(NS)",Travel Agents,Warwick,RI,,,1998,
6542,Coffeeright,, 160 E Front St,"451-6976 hrs vary, clsd Sun",(WC),Cafes,Erie,PA,,,1998,7/2/2024 3:53pm
6827,The Providence Eagle,, 200 Union St," 421-1447 6pm-1am, til 2am Fri-Sat
","(M),(L),(WC)",Bars & Nightclubs,Providence,RI,,,1998,7/2/2024 3:53pm
