Name,title,description,streetaddress,unclear_address,city,state,amenityfeatures,type,unclear type or question,notes,Year,Last Modified
2,Royal Oaks B&B,"334/368-8722, 800/308-8762 full brkfst",5415 Hwy 21 N,,Atmore,AL,"GS,(SW)",Accommodations,,,1999,3/23/2023 7:30am
3,Birmingham Gay & Lesbian Info Line,205/326-8600 7pm-10pm Mon-Fri,205 32nd St S #201,,Birmingham,AL,,Info Lines & Services,,,1999,3/23/2023 7:31am
29,Pleasure Books,(at 77th St) 205/836-7379,7606 1st Ave N,,Birmingham,AL,,Erotica,,,1999,3/23/2023 7:59am
22,Terrific New Theater,205/328-0868,2821 2nd Ave S,,Birmingham,AL,,Entertainment & Recreation,,,1999,3/23/2023 7:53am
20,PT's Sports Grill,(at Hwy 280 S) 205/879-8519 from 11am daily,350 Hollywood,,Birmingham,AL,(WC),Restaurants,,,1999,3/23/2023 7:50am
11,Tool Box,"(at 51st) 205/595-5120 2pm-2am, patio",5120 5th Ave S,,Birmingham,AL,"(M),(NH),(D),(CW),(WC)",Bars,,,1999,3/23/2023 7:39am
14,The Club Latroy,"205/322-8338 11pm-close, clsd Mon-Th",316 20th St S,,Birmingham,AL,"(MW),(D),MR,(S)",Nightclubs,,,1999,3/23/2023 7:43am
8,Misconceptions Tavern,"(at 6th Ave S) 205/322-1210 noon-3am, patio",600 32nd St S,,Birmingham,AL,"(M),(V)",Bars,,,1999,3/23/2023 7:36am
24,Bad Seed,"(btwn 20th & 21st) 205/933-7333 noon-8pm, music, videos & gifts",2030 11th Ave S,,Birmingham,AL,GO,Retail Shops,,,1999,3/23/2023 7:55am
4,Common Ground,"(at Covenant MCC) 205/599-3363, 205/836-0300 coffeehouse for youthful gays & lesbians",5117 1st Ave N,,Birmingham,AL,,Info Lines & Services,,,1999,3/23/2023 7:32am
9,Southside Pub,(at 29th St) 205/324-0997 open from 3pm,2830 7th Ave S,,Birmingham,AL,"(GF),(F),(WC)",Bars,,,1999,3/23/2023 7:37am
15,The Quest Club,"(at 5th Ave S) 205/251-4313 24hrs, patio",416 24th St S,,Birmingham,AL,"(MW),(D),(PC),(WC)",Nightclubs,,,1999,3/23/2023 7:44am
23,Lodestar Books,"(btwn 20th & 21st) 205/939-3356 10am-7pm, 1pm-6pm Sun, lesbigay",2020-B 11th Ave S,,Birmingham,AL,(WC),Bookstores,,,1999,3/23/2023 7:54am
12,22 Street Jazz Cafe,"(at 7th Ave S) 205/525-0407 open from 5pm, clsd Sun-Tue",710 22nd St S,,Birmingham,AL,"(GF),(F),(E)",Nightclubs,,,1999,3/23/2023 7:40am
7,The Tutwiler,"(at 21st St N) 205/322-2100, 800/845-1787 also restaurant & lounge",2021 Park Pl N,,Birmingham,AL,(GF),Accommodations,,,1999,3/23/2023 7:35am
6,The Ranch House Motel,(btwn 21st & 22nd) 205/322-0691,2127 27th Ave S,,Birmingham,AL,"GS,33+",Accommodations,,,1999,3/23/2023 7:34am
10,The Station,"(at 21st) 205/254-3750 10pm-4am, Fri & Sat, patio",2025 Morris Ave,,Birmingham,AL,"(MW),(D),(WC)",Bars,,,1999,3/23/2023 7:38am
17,Bottega Cafe & Restaurant,"205/939-1000 lunch & dinner, clsd Sun, full bar",2240 Highland Ave,,Birmingham,AL,,Restaurants,,,1999,3/23/2023 7:47am
30,Top Hat Cinema,205/833-8221,9221 Todd Dr,,Birmingham,AL,,Erotica,,,1999,3/23/2023 8:00am
27,Birmingham Adult Books,205/836-1580 24hrs,7610 1st Ave N,,Birmingham,AL,(*),Erotica,,,1999,3/23/2023 7:58am
21,Sarvac's,"(btwn 4th & 5th) 205/251-0347 10:30am-3pm, clsd Sat, Southern cuisine",401 18th St S,,Birmingham,AL,(WC),Restaurants,,,1999,3/23/2023 7:52am
16,Anthony's,"(at 20th) 205/324-1215 6pm-midnight, clsd Sun-Mon, full bar",2131 7th Ave S,,Birmingham,AL,(WC),Restaurants,,,1999,3/23/2023 7:45am
19,John's,"(at 1st Ave N) 205/322-6014 11am-10pm, clsd Sun, full bar",112 21st St N,,Birmingham,AL,(WC),Restaurants,,,1999,3/23/2023 7:50am
