auto#,title,amenityfeatures,type,description,streetaddress,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
6,Royal Oaks B&B,"(GS),(SW)",Accommodations,"334/368-8722 full brkfst, kids ok",5415 Hwy 21 N,Atmore,AL,,,,2002,9/29/2023 4:27pm
7,Black Bear Camp ,"(MO),(SW),(N),(WC),(GO)",Accommodations,"Waverly 334/887-5152 hot tub, kitchen ",10565 US Hwy 280 W,Auburn,AL,,,,2002,9/29/2023 4:27pm
10,The Tutwiler ,"(GF),(WC)",Accommodations,(at 21st St N) 205/322-2100 also restaurant & lounge ,2021 Park Pl N,Birmingham,AL,,,,2002,9/29/2023 4:27pm
11,Kings Knight ,"(M),(D),(CW),(S),(V),(WC)",Bars,"(btwn 26th & 27th) 205/326-3637 24 hrs, cruise/show bar, CW Tue, 2 patios",2627 7th Ave S,Birmingham,AL,,,,2002,5/20/2024 12:05pm
12,Misconceptions Tavern ,"(MW),(V),(WC)",Bars,"(btwn 37th & 38th) 205/592-3800 noon-3am, patio ",3719 3rd Ave S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
13,The Tool Box,"(M),(NH),(D),(CW),(WC)",Bars,"(at 51st) 205/595-5120 2pm-close, till 2am Sat, home bar of 'Steel City Centurions' (L)",5120 5th Ave S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
15,22nd Street Jazz Cafe,"(GF),(D),(MR),(F),(E)",Nightclubs,"(at 7th Ave S) 205/252-0407 5pm-close, clsd Sun-Tue",710 22nd St S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
16,Bill's Club ,"(M),(S),($),(WC)",Nightclubs,"(btwn 2nd & 3rd) 205/254-8634 6pm-close, clsd Mon-Wed, strippers",208 N 23rd St ,Birmingham,AL,,,,2002,9/29/2023 4:27pm
17,Club 21,"(*),(GF),(D),(MR-AF),(S)",Nightclubs,(btwn 1st  2nd Ave N) 205/322-0469 10pm-close Th-Sat,117-1/2 21st St N,Birmingham,AL,,,,2002,9/29/2023 4:27pm
18,The Club Latroy ,"(MW),(D),(MR),(S),(19+),(WC),($)",Nightclubs,"(btwn 3rd & 4th Aves S) 205/322-8338 11pm-close Fri-Sat, noon-9pm Sun, no cover Sun, also restaurant",316 20th St S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
19,The Quest Club,"(M),(D),(S),(PC),(WC)",Nightclubs,"(at 5th Ave S) 205/251-4313 24hrs, 19+ Wed-Sun (nights only), patio",416 24th St S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
20,The Station,"(*),(GF),(D),(WC),($)",Nightclubs,"(at 21st) 205/254-3750, 888/453-3299 10pm-6am Fri-Sat, patio",2025 Morris Ave,Birmingham,AL,,,,2002,9/29/2023 4:27pm
21,Anthony's,(WC),Restaurants,"(at 20th) 205/324-1215 dinner, clsd Mon, cont'l/Italian, full bar",2131 7th Ave S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
22,Bottega Cafe & Restaurant,(WC),Restaurants,"(btwn 22nd & 23rd) 205/939-1000 lunch & dinner, clsd Sun, full bar",220 Highland Ave,Birmingham,AL,,,,2002,9/29/2023 4:27pm
23,Crestwood Grill ,(WC),Restaurants,"205/595-1995 lunch & dinner, full bar",5500 Crestwood Blvd,Birmingham,AL,,,,2002,9/29/2023 4:27pm
24,Highlands Bar & Grill ,(WC),Restaurants,"(at 20th St) 205/939-1400 6pm-10pm, bar from 4pm, clsd Sun-Mon",2011 11th Ave S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
25,John's ,(WC),Restaurants,"(btwn 1st & 2nd Ave) 205/322-6014 11am-10pm, clsd Sun, full bar",112 21st St N ,Birmingham,AL,,,,2002,9/29/2023 4:27pm
26,PT's Sports Grill ,(WC),Restaurants,(at Hwy 480 S) 205/879-8519 11am-close,350 Hollywood Blvd ,Birmingham,AL,,,,2002,9/29/2023 4:27pm
27,Silverton Cafe,,Restaurants,"205/591-3707 11am-10pm, till 9pm Sun, also full bar, more gay Mon ",3813 Clairmont Ave S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
28,Terrific New Theater,,Entertainment & Recreation,(in Dr Pepepr Design Complex) 205/328-0868,2821 2nd Ave S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
29,Lodetsar Books,"(F),(WC)",Bookstores,"(at 29th St S) 205/328-0144 10am-8pm, till 5pm Sun, lgbt section, also vegetarian cafe",2827 Highland Ave,Birmingham,AL,,,,2002,9/29/2023 4:27pm
30,The Bad Seed ,(GO),Retail Shops,"(btwn 20th & 21st) 205/933-7333 noon-8pm, clsd Sun, music videos & gifts ",2030 11th Ave S,Birmingham,AL,,,,2002,9/29/2023 4:27pm
32,Alabama Adult Books,,Erotica,(at 8th) 205/322-7323 24hrs,801 3rd Ave N,Birmingham,AL,,,,2002,9/29/2023 4:27pm
33,Birmingham Adult Books,(*),Erotica,"(at Oporto-Madrid Blvd) 205/836-1580 24hrs, booths",7610 1st Ave N,Birmingham,AL,,,,2002,9/29/2023 4:27pm
34,The Downtown Bookstore,,Erotica,"(at 28th St) 205/328-5525 video arcade, booths",2731 8th Ave N ,Birmingham,AL,,,,2002,9/29/2023 4:27pm
35,Pleasure Books,,Erotica,"(at 77th St) 205/836-7379 video arcade, booths",7606 1st Ave N,Birmingham,AL,,,,2002,9/29/2023 4:27pm
36,Top Hat Cinema ,,Erotica,"205/833-8221 theater, booths",9221 Todd Dr,Birmingham,AL,,,,2002,9/29/2023 4:27pm
39,Days Inn ,"(GF),(SW),(WC)",Accommodations,"(Hwy 31 N at Church) 256/355-3520, 800/DAYS-INN La Cabaña restaurant, Mexican, discount w/ Damron mention",810 6th Ave NE,Decatur,AL,,,,2002,9/29/2023 4:27pm
40,The Waffle House,,Restaurants,"(btwn Layfayette & Walnut) 256/355-2871 24hrs, popular after-hours",710 6th Ave NE,Decatur,AL,,,,2002,9/29/2023 4:27pm
