Auto#,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
6555,Baby Boomers,(GF),"605/226-2140  1pm-2am, clsd Sun, more gay late",208 S Main St,Bars,Aberdeen,SD,,,,2003,4/17/2024 4:43pm
3469,Triangle Artworks,(GO),"(at Van Buren) 785/263-7849 clsd Sun-Mon, gallery & gifts, ask about gay discount",1605 NW 3rd St,Retail Shops,Abilene,KS,,,,2003,12/7/2023 3:13pm
6687,Adult Etc IV,,915/672-5380  24hrs,3305 Hwy 80 E,Erotica,Abilene,TX,,,,2003,4/19/2024 5:17pm
3957,Bush River Books & Video,,"(Rte 40), 410/676-9051 24hrs",3909 Pulaski Hwy,Erotica,Abingdon,MD,,,,2003,12/22/2023 9:17pm
3971,Acton Jazz Cafe,"(E),(NS),($)","Rte 2-A 978/263-6161 5:30pm-10pm, Sun brunch & lunch seasonal, clsd Mon, full bar",452 Great Rd,Restaurants,Acton,MA,,,,2003,12/22/2023 9:36pm
6168,The Barnyard Inn,"(GF),(NS)","Reinholds 717/484-1111, 888/738-6624  150-yr-old restored German school house, full brkfst, petting zoo",2145 Old Lancaster Pike,Accommodations,Adamstown,PA,,,,2003,5/20/2024 5:33pm
5103,King Hendrick Motel,"(GF),(SW),(WC)","Lake George 518/792-0418, 866/521-6883  cabins available",1602 State Rte 9,Accommodations,Adirondack Mtns.,NY,,,,2003,5/20/2024 5:33pm
5101,Country Road Lodge B&B,"(GF),(NS)","Warrensburg 518/623-2207  full brkfst, secluded retreat",115 Hickory Hill Rd,Accommodations,Adirondack Mtns.,NY,,,,2003,5/20/2024 5:33pm
5104,Rainbow Woods Campgrounds,"(M),(SW)","(at Rte 9), Schoon Lake  518/532-9728  also inn, jacuzzi",134 Rte 74,Accommodations,Adirondack Mtns.,NY,,,,2003,3/22/2024 7:37pm
1614,The Homestead,"(GF),(NS)",Ahwahnee 559/683-0495 cottages,41110 Rd 600,Accommodations,Ahwahnee,CA,,,,2003,11/6/2023 7:52pm
2918,Suzie's,,2nd flr (in Aiea Shopping Center) 808/487-6969 24hrs,98115 Kamehameha Hwy,Erotica,Aiea,HI,,,,2003,11/28/2023 6:01pm
2919,Video Warehouse,,"(at Hekaha St) 808/487-1750 24hrs, booths",98-019 Kamehameha Hwy,Erotica,Aiea,HI,,,,2003,5/20/2024 5:44pm
6483,Marlboro Station,"(MW),(D),(S),(18+)","803/644-6485  8pm-5am, till 3am Sat, clsd Mon-Tue",141 Marlboro St,Nightclubs,Aiken,SC,,,,2003,4/12/2024 5:32pm
5718,Akron Pride Center,,"(off E Market St)  330/253-2220  10am-5:30pm, 2pm-9pm Tue,  11am-9pm Th, call for wknd hrs",71 N Adams St,Info Lines & Services,Akron,OH,,,,2003,4/4/2024 7:11pm
5720,Club Amsterdam,"(MW),(NH)","330/535-6776  4pm-2:30am, from 11am Sun",358 S Main St,Bars,Akron,OH,,,,2003,4/4/2024 7:17pm
5719,Adams Street Bar,"(*),(M),(D),(DS),(P),(S)","330/434-9794  4:30pm-2:30am, from 9pm Sun, piano bar Wed, also 'Pecs' (DS,S)",77 N Adams St,Bars,Akron,OH,,,,2003,4/4/2024 7:14pm
5722,Lydia's,"(MW),(NH),(E)","(in Arlington Plaza)  330/773-3001  5pm-2:30am, from 6pm Mon, from 8pm Tue-Th, live blues Th",1348 S Arlington St,Bars,Akron,OH,,,,2003,4/4/2024 7:20pm
5721,Cocktails,"(M),(D),(DS),(V)","330/376-2625  4:30pm-2:30am, drag shows Fri, 'The Crossinf' (D) upstairs",1009 S Main St,Bars,Akron,OH,,,,2003,4/4/2024 7:19pm
5726,Angel Falls Coffee Company,"(WC),(GO)",(btwn S Highland & Grand)  330/376-5282  patio,792 W Market St,Cafes,Akron,OH,,,,2003,4/4/2024 7:25pm
5723,Tear-Ez,"(MW),(NH),(DS),(S),(WC)","(near Exchange St)  330/376-0011  11am-2:30am, from noon Sun, male strippers Mon & Wed",360 S Main ,Bars,Akron,OH,,,,2003,4/4/2024 7:21pm
5724,Babylon,"(M),(D),(E),(DS),(S),(V),(WC),(GO)",(btwn Portage Pass & Rhodes Ave)  330/252-9000  4pm-2:30am,820 W Market St,Nightclubs,Akron,OH,,,,2003,4/4/2024 7:23pm
5725,Interbelt,"(MW),(D),(S),(V)","(near Perkins & Main)  330/253-5700  9:30pm-2:30am, from 2pm Sun, clsd Tue, patio",70 N Howard St,Nightclubs,Akron,OH,,,,2003,4/4/2024 7:24pm
5728,Bruegger's Bagels,,"330/867-8394  6am-7pm, 7am-4pm Sun",1821 Merriman Rd,Restaurants,Akron,OH,,,,2003,4/4/2024 7:26pm
5727,Aladdin's Eatery,,"330/535-0110  11am-10:30pm, till 11:30pm Fri-Sat, till 9pm Sun, Middle Eastern",782 W Market St,Restaurants,Akron,OH,,,,2003,4/4/2024 7:26pm
