ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified,Year
454,'F' Street Bookstore,,321 'F' St.,San Diego ,CA,(*) - Very popular,Book Store,,,,2/4/2020 12:58am,2/25/2020 11:51am,1978
759,'We' Junction,(Some G),693 Grave Ave.,Sunnyvale,CA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,,2/4/2020 1:18pm,2/25/2020 11:55am,1979
1905,'We' Junction,(Some L),693 Grape Ave.,Sunnyvale,CA,"""(L) - Ladies/Ms, but seldom exclusively unless noted""",Bars/Clubs,,,,2/10/2020 11:44pm,2/25/2020 11:56am,1980
1696,1 Beam ,(Unisex) (Disco) (Game room) (Upstairs),1748 Haight ,San Francisco,CA,"(YC) - Young and/or collegiate types,(D) - Dancing",Bars/Clubs,,,,2/10/2020 5:00pm,2/25/2020 11:56am,1980
92,49'er Back Room,,5510 Hollywood Blvd.,Hollywood,CA,"(P) - Private club - Inquire locally to admission,(D) - Dancing",Bars/Clubs,,,,2/9/2020 9:39pm,2/25/2020 11:41am,1973
270,49'r Disco,,6411 Lankershim Blvd.,North Hollywood ,CA,"""(G) - Girls, but seldom exclusively"",(D) - Dancing",Bars/Clubs,,,,2/2/2020 3:23pm,2/25/2020 11:51am,1978
90,49er Back Room,Some (G),5510 Hollywood Blvd.,Los Angeles ,CA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,,7/23/2019 12:01am,7/23/2019 1:25pm,1974
108,49er Show Bar ,,5510 Hollywood Blvd.,Hollywood,CA,(S) - Shows - impersonators or record pantomime acts - often touristy,Bars/Clubs,,,,2/7/2020 11:26pm,2/25/2020 11:45am,1976
1187,49er Showbar,(Some G),5510 Hollywood Blvd.,Hollywood,CA,"(S) - Shows - impersonators or record pantomime acts - often touristy,""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,,2/23/2020 4:51pm,2/23/2020 4:54pm,1975
1425,73rd Ave. Baths,,2544 73rd Ave.,Oakland,CA,(OC) - Older/More Mature Crowd,Bars/Clubs,,,,2/2/2020 11:58pm,2/25/2020 11:56am,1980
1808,222 Club ,(Opens 6am),222 Hyde St.,San Francisco,CA,(*) - Very popular,Bars/Clubs,,,,2/10/2020 9:53pm,2/25/2020 11:56am,1980
109,452 Club ,,6011 Hollywood Blvd.,Hollywood,CA,(P) - Private club - Inquire locally to admission,Bars/Clubs,,,,2/7/2020 11:26pm,2/25/2020 11:45am,1976
128,452 Club ,,6011 Hollywood Blvd,Hollywood,CA,(P) - Private club - Inquire locally to admission,Bars/Clubs,,,,1/27/2020 4:00pm,2/25/2020 11:47am,1977
705,641 Club,"(Some W, SM)",641 Stockton,San Jose,CA,"(W) - Western or coyboy types,(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,,2/9/2020 2:56pm,2/25/2020 11:51am,1978
702,641 Club,"(Some W, SM)",641 Stockton,San Jose,CA,"(*) - Very popular,(W) - Western or coyboy types,(PT) - Pool Table",Bars/Clubs,,,,2/4/2020 1:18pm,2/25/2020 11:55am,1979
1843,641 Club,"(Some W, SM)",641 Stockton,San Jose,CA,(W) - Western or coyboy types,Bars/Clubs,,,,2/10/2020 10:57pm,2/25/2020 11:56am,1980
