ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1,Hofbrauhaus,,376 Asylum ,Hartford,CT,"(M),(*)",Bars/Clubs,1965,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
2,Peerless,,90 Main St. ,Hartford,CT,(*),Bars/Clubs,1965,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
3,Pub Restaurant ,,1132 Chapel ,New Haven,CT,,Restaurant,1965,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
4,Harbor ,,157 Bank St. ,New London,CT,,Bars/Clubs,1965,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
5,Hygenic Lounge ,,79 Bank St. ,New London,CT,(*),Bars/Clubs,1965,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
7,Casbar,,1277 N. Main St. ,Bridgeport,CT,,Bars/Clubs,1966,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
57,Hofbrauhaus,,376 Asylum ,Hartford,CT,"(M),(*)",Bars/Clubs,1966,,,,3/30/2020 6:59pm,7/23/2020 7:24pm
58,Peerless,,90 Main St. ,Hartford,CT,(*),Bars/Clubs,1966,,,,3/30/2020 7:00pm,7/23/2020 7:24pm
8,The 1490 ,,1490 Congress St. ,Hartford,CT,,Bars/Clubs,1966,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
73,Pub Restaurant ,,1132 Chapel ,New Haven,CT,,Restaurant,1966,,,,3/30/2020 7:11pm,7/23/2020 7:24pm
59,Harbor ,,157 Bank St. ,New London,CT,,Bars/Clubs,1966,,,,3/30/2020 7:01pm,7/23/2020 7:24pm
60,Hygenic Lounge ,,79 Bank St. ,New London,CT,(*),Bars/Clubs,1966,,,,3/30/2020 7:01pm,7/23/2020 7:24pm
62,Casbar,,1277 N. Main St. ,Bridgeport,CT,,Bars/Clubs,1968,,,,3/30/2020 7:03pm,7/23/2020 7:24pm
64,Hofbrauhaus,,376 Asylum ,Hartford,CT,(M),Bars/Clubs,1968,,,,3/30/2020 7:04pm,7/23/2020 7:24pm
65,Peerless,,90 Main St. ,Hartford,CT,,Bars/Clubs,1968,,,,3/30/2020 7:05pm,7/23/2020 7:24pm
66,The 1490 ,,1490 Congress St. ,Hartford,CT,,Bars/Clubs,1968,,,,3/30/2020 7:06pm,7/23/2020 7:24pm
67,Pub Restaurant ,,1132 Chapel ,New Haven,CT,,Restaurant,1968,,,,3/30/2020 7:08pm,7/23/2020 7:24pm
68,Harbor ,,157 Bank St. ,New London,CT,,Bars/Clubs,1968,,,,3/30/2020 7:08pm,7/23/2020 7:24pm
69,Hygenic Lounge ,,79 Bank St. ,New London,CT,(*),Bars/Clubs,1968,,,,3/30/2020 7:09pm,7/23/2020 7:24pm
74,Casbar,,1277 N. Main St. ,Bridgeport,CT,,Bars/Clubs,1969,,,,3/30/2020 7:12pm,7/23/2020 7:24pm
75,Hofbrauhaus,,376 Asylum ,Hartford,CT,(M),Bars/Clubs,1969,,,,3/30/2020 7:13pm,7/23/2020 7:24pm
76,Peerless,,90 Main St. ,Hartford,CT,,Bars/Clubs,1969,,,,3/30/2020 7:13pm,7/23/2020 7:24pm
77,The 1490 ,,1490 Congress St. ,Hartford,CT,,Bars/Clubs,1969,,,,3/30/2020 7:13pm,7/23/2020 7:24pm
78,Pub Restaurant ,,1132 Chapel ,New Haven,CT,,Restaurant,1969,,,,3/30/2020 7:15pm,7/23/2020 7:24pm
79,Harbor ,,157 Bank St. ,New London,CT,,Bars/Clubs,1969,,,,3/30/2020 7:16pm,7/23/2020 7:24pm
80,Hygenic Lounge ,,79 Bank St. ,New London,CT,(*),Bars/Clubs,1969,,,,3/30/2020 7:16pm,7/23/2020 7:24pm
12,The Pines ,,State Hwy 25,Newtown,CT,,Bars/Clubs,1969,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
82,Casbar,,1277 N. Main St. ,Bridgeport,CT,,Bars/Clubs,1970,,,,3/30/2020 7:19pm,7/23/2020 7:24pm
13,Club 1492 ,,1492 Columbus Rd.,Hartford,CT,"(*),(YC)",Bars/Clubs,1970,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
83,Hofbrauhaus,,376 Asylum ,Hartford,CT,(M),Bars/Clubs,1970,,,,3/30/2020 7:20pm,7/23/2020 7:24pm
84,Peerless,,90 Main St. ,Hartford,CT,,Bars/Clubs,1970,,,,3/30/2020 7:20pm,7/23/2020 7:24pm
14,Rockinghorse,,327 Asylum,Hartford,CT,,Bars/Clubs,1970,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
15,Red Garter ,,1388 E. Main ,Meriden,CT,"(YC),(M)",Bars/Clubs,1970,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
16,Krenz's ,,544 Main ,Middletown,CT,"(YC),(M)",Bars/Clubs,1970,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
86,Pub Restaurant ,,1132 Chapel ,New Haven,CT,"(YC),(*)",Restaurant,1970,,,,3/30/2020 7:23pm,7/23/2020 7:24pm
17,Taft Hotel Bar ,,265 College ,New Haven,CT,(M),"Bars/Clubs,Hotels",1970,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
87,Harbor ,,157 Bank St. ,New London,CT,,Bars/Clubs,1970,,,,3/30/2020 7:24pm,7/23/2020 7:24pm
88,Hygenic Lounge ,,79 Bank St. ,New London,CT,(*),Bars/Clubs,1970,,,,3/30/2020 7:25pm,7/23/2020 7:24pm
18,Lil's ,,245 Bank St. ,Waterbury,CT,(M),Bars/Clubs,1970,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
19,Cedarbrook Inn ,,919 E. State St. ,Westport,CT,,Bars/Clubs,1970,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
89,Casbar,,1277 N. Main St. ,Bridgeport,CT,(M),Bars/Clubs,1971,,,,3/30/2020 7:28pm,7/23/2020 7:24pm
20,Fourteen-Ninety-Two East ,,238 Columbus Blvd. ,Hartford,CT,"(YC),(*)",Bars/Clubs,1971,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
90,Hofbrauhaus,,376 Asylum ,Hartford,CT,(*),Bars/Clubs,1971,,,,3/30/2020 7:30pm,7/23/2020 7:24pm
21,Nick's Steak House ,(Back room weekends only $2. admiss.),1943 Broad St. ,Hartford,CT,"(YC),(D),(*)",Bars/Clubs,1971,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
91,Nick's Steak House ,(Back room weekends only $2. admiss.),453 Franklin Ave. ,Hartford,CT,"(YC),(D),(*)",Bars/Clubs,1971,,,,3/30/2020 7:31pm,7/23/2020 7:24pm
92,Peerless,,90 Main St. ,Hartford,CT,,Bars/Clubs,1971,,,,3/30/2020 7:32pm,7/23/2020 7:24pm
159,Rockinghorse,,327 Asylum,Hartford,CT,"(M),(YC)",Bars/Clubs,1971,,,,4/6/2020 4:42pm,7/23/2020 7:24pm
160,Red Garter ,,1388 E. Main ,Meriden,CT,"(YC),(M)",Bars/Clubs,1971,,,,4/6/2020 4:43pm,7/23/2020 7:24pm
161,Krenz's ,,544 Main ,Middletown,CT,"(YC),(M)",Bars/Clubs,1971,,,,4/6/2020 4:44pm,7/23/2020 7:24pm
22,Parkway,,1574 Chapel St. ,New Haven,CT,(M),Bars/Clubs,1971,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
23,Poor Lads,,204 Crown St. ,New Haven,CT,(M),Bars/Clubs,1971,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
162,Pub Restaurant ,,1132 Chapel ,New Haven,CT,"(YC),(*)",Restaurant,1971,,,,4/6/2020 4:45pm,7/23/2020 7:24pm
163,Taft Hotel Bar ,,265 College ,New Haven,CT,(M),"Bars/Clubs,Hotels",1971,,,,4/6/2020 4:45pm,7/23/2020 7:24pm
24,Corral ,,727 Bank St. ,New London,CT,"(YC),(D),(*)",Bars/Clubs,1971,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
164,Harbor ,,157 Bank St. ,New London,CT,(M),Bars/Clubs,1971,,,,4/6/2020 4:50pm,7/23/2020 7:24pm
165,Hygenic Lounge ,,79 Bank St. ,New London,CT,,Bars/Clubs,1971,,,,4/6/2020 4:50pm,7/23/2020 7:24pm
166,Cedarbrook Inn ,,919 E. State St. ,Westport,CT,,Bars/Clubs,1971,,,,4/6/2020 4:51pm,7/23/2020 7:24pm
167,Casbar,,1277 N. Main St. ,Bridgeport,CT,(M),Bars/Clubs,1972,,,,4/6/2020 5:03pm,7/23/2020 7:24pm
168,Fourteen-Ninety-Two East ,,238 Columbus Blvd. ,Hartford,CT,"(YC),(*)",Bars/Clubs,1972,,,,4/6/2020 5:03pm,7/23/2020 7:24pm
169,Hofbrauhaus,(also (R) next door),376 Asylum ,Hartford,CT,(*),Bars/Clubs,1972,,,,4/6/2020 5:04pm,7/23/2020 7:24pm
26,New Central ,,340 Main ,Hartford,CT,"(M),(RT)",Bars/Clubs,1972,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
170,Nick's Steak House ,(Back room weekends only $2. admiss.),1943 Broad St. ,Hartford,CT,"(YC),(D),(*)",Bars/Clubs,1972,,,,4/6/2020 5:05pm,7/23/2020 7:24pm
171,Red Garter ,,1388 E. Main ,Meriden,CT,"(YC),(M)",Bars/Clubs,1972,,,,4/6/2020 5:06pm,7/23/2020 7:24pm
172,Parkway,,1574 Chapel St. ,New Haven,CT,(M),Bars/Clubs,1972,,,,4/6/2020 5:07pm,7/23/2020 7:24pm
173,Poor Lads,,204 Crown St. ,New Haven,CT,(M),Bars/Clubs,1972,,,,4/6/2020 5:07pm,7/23/2020 7:24pm
174,Pub Restaurant ,,1132 Chapel ,New Haven,CT,"(YC),(*)",Restaurant,1972,,,,4/6/2020 5:07pm,7/23/2020 7:24pm
175,Taft Hotel Bar ,,265 College ,New Haven,CT,(M),"Bars/Clubs,Hotels",1972,,,,4/6/2020 5:07pm,7/23/2020 7:24pm
176,Corral ,,727 Bank St. ,New London,CT,"(YC),(D),(*)",Bars/Clubs,1972,,,,4/6/2020 5:07pm,7/23/2020 7:24pm
177,Harbor ,,157 Bank St. ,New London,CT,(M),Bars/Clubs,1972,,,,4/6/2020 5:08pm,7/23/2020 7:24pm
178,Hygenic Lounge ,,79 Bank St. ,New London,CT,,Bars/Clubs,1972,,,,4/6/2020 5:08pm,7/23/2020 7:24pm
29,Lil's ,,245 Bank St. ,Waterbury,CT,(M),Bars/Clubs,1972,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
180,Cedarbrook Inn ,,919 E. State St. ,Westport,CT,,Bars/Clubs,1972,,,,4/6/2020 5:12pm,7/23/2020 7:24pm
181,Casbar,,1277 N. Main St. ,Bridgeport,CT,(M),Bars/Clubs,1973,,,,4/6/2020 5:13pm,7/23/2020 7:24pm
182,Fourteen-Ninety-Two East ,,238 Columbus Blvd. ,Hartford,CT,"(YC),(*)",Bars/Clubs,1973,,,,4/6/2020 5:14pm,7/23/2020 7:24pm
183,Nick's Steak House ,(weekends)(Backroom),1943 Broad St. ,Hartford,CT,"(YC),(D)",Bars/Clubs,1973,,,,4/6/2020 5:16pm,7/23/2020 7:24pm
31,Warehouse ,,61 Woodbine at Capitol Ave. ,Hartford,CT,"(YC),(D),(*)",Bars/Clubs,1973,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
188,Red Garter ,,1388 E. Main ,Meriden,CT,"(YC),(M)",Bars/Clubs,1973,,,,4/6/2020 5:33pm,7/23/2020 7:24pm
32,Jacko Sullivans ,,1166 Chapel St. ,New Haven,CT,"(M),(YC)",Bars/Clubs,1973,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
33,Malone's Three Stines ,,255 Church St. ,New Haven,CT,"(M),(YC),(*)",Bars/Clubs,1973,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
34,Parkway ,,1574 Chapel St. ,New Haven,CT,(M),Bars/Clubs,1973,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
190,Poor Lads,,204 Crown St. ,New Haven,CT,(M),Bars/Clubs,1973,,,,4/6/2020 5:37pm,7/23/2020 7:24pm
191,Pub Restaurant ,,1132 Chapel ,New Haven,CT,(*),Restaurant,1973,,,,4/6/2020 5:37pm,7/23/2020 7:24pm
192,Taft Hotel Bar ,,265 College ,New Haven,CT,(M),"Bars/Clubs,Hotels",1973,,,,4/6/2020 5:38pm,7/23/2020 7:24pm
193,Corral ,,727 Bank St. ,New London,CT,"(YC),(D),(*)",Bars/Clubs,1973,,,,4/6/2020 5:38pm,7/23/2020 7:24pm
194,Harbor ,,157 Bank St. ,New London,CT,(M),Bars/Clubs,1973,,,,4/6/2020 5:39pm,7/23/2020 7:24pm
195,Hygenic Lounge ,,79 Bank St. ,New London,CT,,Bars/Clubs,1973,,,,4/6/2020 5:39pm,7/23/2020 7:24pm
35,Melody Room,,242 Bank St. ,Waterbury,CT,(*),Bars/Clubs,1973,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
196,Cedarbrook Inn ,,919 E. State St. ,Westport,CT,,Bars/Clubs,1973,,,,4/6/2020 5:41pm,7/23/2020 7:24pm
197,Casbar,,1277 N. Main St. ,Bridgeport,CT,(M),Bars/Clubs,1974,,,,4/6/2020 5:43pm,7/23/2020 7:24pm
36,Penthouse ,(Some G),54 E. Washington ,Bridgeport,CT,"(YC),(D),(G),(*)",Bars/Clubs,1974,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
37,Glen Acres ,(Springdale),44 Poplar Rd. ,Glenbrook,CT,(M),Bars/Clubs,1974,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
198,Loft ,(after hours)(weekends- adm. charge)(Unisex),495 1/2 Farmington Ave. ,Hartford,CT,"(C),(R),(YC),(HIP),(B),(D),(*)",Restaurant,1974,,,,4/6/2020 5:44pm,7/23/2020 7:24pm
199,Nick's Steak House ,(Adm. charge back room weekends),1943 Broad St. ,Hartford,CT,"(YC),(D),(*)",Bars/Clubs,1974,,,,4/6/2020 5:46pm,7/23/2020 7:24pm
38,Park West ,,1615 Park St. ,Hartford,CT,(D),Bars/Clubs,1974,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
39,Riviera Lounge ,,238 Colombus Blvd. ,Hartford,CT,,Bars/Clubs,1974,,,,3/30/2020 6:51pm,7/23/2020 7:24pm
200,Warehouse ,(Some G) ,61 Woodbine at Capitol Ave. ,Hartford,CT,"(YC),(D),(*),(G)",Bars/Clubs,1974,,,,4/6/2020 5:48pm,7/23/2020 7:24pm
