ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1,French Quarter ,(strip shows),1112 Maunakea,Honolulu,HI,(M),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:32am
2,Glade ,(off limits) ,152 N. Hotel St. ,Honolulu,HI,(S),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
3,Swiss Chalet ,,52 Oneawa,Kailua,HI,"(M),(R)",Restaurant,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
4,Kaneohe Rice Bowl ,,46-014 Kamehameha Hwy,Kaneohe,HI,(*),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
5,Betty Reilly's ,,1900 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
6,De Swamp ,,2478 Kalakaua Ave. ,Waikiki,HI,,Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
7,Embers ,,311 Lewers,Waikiki,HI,"(M),(*)",Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
8,Forbidden City ,(strip shows),1736 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
9,Hofbrau,,2448 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
10,Little Dipper ,(off limits),124 Kapahulu Ave. ,Waikiki,HI,(*),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
11,Queen's Surf ,,2709 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
12,Wagon Wheel ,,2070 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
13,Yappy's ,(off limits),434 Kapahulu ,Waikiki,HI,,Bars/Clubs,1965,,,,4/17/2020 11:50pm,7/27/2020 11:33am
103,French Quarter ,(strip shows),1112 Maunakea,Honolulu,HI,(M),Bars/Clubs,1966,,,,4/18/2020 12:02am,7/27/2020 11:33am
104,Glade ,(off limits) (see also Waikiki),152 N. Hotel St. ,Honolulu,HI,(S),Bars/Clubs,1966,,,,4/18/2020 12:03am,7/27/2020 11:33am
105,Swiss Chalet ,,52 Oneawa,Kailua,HI,(R),Restaurant,1966,,,,4/18/2020 12:03am,7/27/2020 11:33am
14,Apartment ,(new bar behing The Clouds & Little Dipper),nr. 124 Kapahulu,Waikiki,HI,,Bars/Clubs,1966,,,,4/17/2020 11:50pm,7/27/2020 11:33am
107,Betty Reilly's ,,1900 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1966,,,,4/18/2020 12:06am,7/27/2020 11:33am
108,De Swamp ,,2478 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1966,,,,4/18/2020 12:06am,7/27/2020 11:33am
109,Embers ,,311 Lewers,Waikiki,HI,"(M),(*)",Bars/Clubs,1966,,,,4/18/2020 12:07am,7/27/2020 11:33am
110,Hofbrau,,2448 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1966,,,,4/18/2020 12:07am,7/27/2020 11:33am
111,Queen's Surf ,,2709 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1966,,,,4/18/2020 12:08am,7/27/2020 11:33am
112,Yappy's ,(off limits),434 Kapahulu ,Waikiki,HI,,Bars/Clubs,1966,,,,4/18/2020 12:08am,7/27/2020 11:33am
113,French Quarter ,(strip shows),1112 Maunakea,Honolulu,HI,(M),Bars/Clubs,1968,,,,4/18/2020 12:13am,7/27/2020 11:33am
114,Glade ,(off limits) ,152 N. Hotel St. ,Honolulu,HI,(S),Bars/Clubs,1968,,,,4/18/2020 12:13am,7/27/2020 11:33am
115,Swiss Chalet ,,52 Oneawa,Kailua,HI,(R),Restaurant,1968,,,,4/18/2020 12:14am,7/27/2020 11:33am
117,Apartment ,,124 Kapahulu,Waikiki,HI,(*),Bars/Clubs,1968,,,,4/18/2020 12:15am,7/27/2020 11:33am
118,Betty Reilly's ,,1900 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1968,,,,4/18/2020 12:15am,7/27/2020 11:33am
119,Embers ,,311 Lewers,Waikiki,HI,"(M),(*)",Bars/Clubs,1968,,,,4/18/2020 12:16am,7/27/2020 11:33am
16,Golden Panther ,,1913 DuDoit Lane ,Waikiki,HI,(*),Bars/Clubs,1968,,,,4/17/2020 11:50pm,7/27/2020 11:33am
120,Hofbrau,,2448 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1968,,,,4/18/2020 12:17am,7/27/2020 11:33am
121,Little Dipper ,,124 Kapahulu Ave. ,Waikiki,HI,(*),Bars/Clubs,1968,,,,4/18/2020 12:18am,7/27/2020 11:33am
122,Queen's Surf ,,2709 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1968,,,,4/18/2020 12:18am,7/27/2020 11:33am
123,Wagon Wheel ,,2070 Kalakaua Ave. ,Waikiki,HI,(*),Bars/Clubs,1968,,,,4/18/2020 12:18am,7/27/2020 11:33am
124,Yappy's ,(off limits),434 Kapahulu ,Waikiki,HI,,Bars/Clubs,1968,,,,4/18/2020 12:19am,7/27/2020 11:33am
125,French Quarter ,(strip shows),1112 Maunakea,Honolulu,HI,(M),Bars/Clubs,1969,,,,4/18/2020 12:20am,7/27/2020 11:33am
126,Glade ,(off limits) ,152 N. Hotel St. ,Honolulu,HI,"(S),(M)",Bars/Clubs,1969,,,,4/18/2020 12:20am,7/27/2020 11:33am
127,Swiss Chalet ,,52 Oneawa,Kailua,HI,(R),Restaurant,1969,,,,4/18/2020 12:21am,7/27/2020 11:33am
129,Apartment ,,124 Kapahulu,Waikiki,HI,(*),Bars/Clubs,1969,,,,4/18/2020 12:21am,7/27/2020 11:33am
130,Hofbrau,,2448 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1969,,,,4/18/2020 12:21am,7/27/2020 11:33am
131,Little Dipper ,,124 Kapahulu Ave. ,Waikiki,HI,(*),Bars/Clubs,1969,,,,4/18/2020 12:22am,7/27/2020 11:33am
17,Pink Panther ,,1913 DuDoit Lane ,Waikiki,HI,(*),Bars/Clubs,1969,,,,4/17/2020 11:50pm,7/27/2020 11:33am
132,Queen's Surf ,,2709 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1969,,,,4/18/2020 12:23am,7/27/2020 11:33am
133,Wagon Wheel ,,2070 Kalakaua Ave. ,Waikiki,HI,,Bars/Clubs,1969,,,,4/18/2020 12:23am,7/27/2020 11:33am
134,Yappy's ,(off limits),434 Kapahulu ,Waikiki,HI,,Bars/Clubs,1969,,,,4/18/2020 12:24am,7/27/2020 11:33am
135,French Quarter ,(strip shows),1112 Maunakea,Honolulu,HI,(M),Bars/Clubs,1970,,,,4/18/2020 12:25am,7/27/2020 11:33am
136,Glade ,(off limits) ,152 N. Hotel St. ,Honolulu,HI,"(S),(M)",Bars/Clubs,1970,,,,4/18/2020 12:25am,7/27/2020 11:33am
138,Apartment ,"(small alley- Behind Fernbody's, no sign)",124 Kapahulu,Waikiki,HI,"(*),(YC),(D)",Bars/Clubs,1970,,,,4/18/2020 12:26am,7/27/2020 11:33am
18,Cocktail Center,(Ala Moana),435 Atkinson Dr.,Waikiki,HI,(*),Bars/Clubs,1970,,,,4/17/2020 11:50pm,7/27/2020 11:33am
19,Fernbody's ,(old Little Dipper),124 Kapahulu Ave. ,Waikiki,HI,,Bars/Clubs,1970,,,,4/17/2020 11:50pm,7/27/2020 11:33am
139,Hofbrau,,2448 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1970,,,,4/18/2020 12:28am,7/27/2020 11:33am
140,Queen's Surf ,,2709 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1970,,,,4/18/2020 12:28am,7/27/2020 11:33am
142,Wagon Wheel ,,2070 Kalakaua Ave. ,Waikiki,HI,(*),Bars/Clubs,1970,,,,4/18/2020 12:29am,7/27/2020 11:33am
143,Yappy's ,(off limits),434 Kapahulu ,Waikiki,HI,,Bars/Clubs,1970,,,,4/18/2020 12:29am,7/27/2020 11:33am
20,The Glades,(off limits),152 N. Hotel St. ,Honolulu,HI,"(M),(S)",Bars/Clubs,1971,,,,4/17/2020 11:50pm,7/27/2020 11:33am
144,Apartment ,(3rd floor- above Fernbody's),124 Kapahulu,Waikiki,HI,"(*),(YC),(D)",Bars/Clubs,1971,,,,4/18/2020 12:31am,7/27/2020 11:33am
21,Attic,"(piano bar only)(side street entrance, upstairs)",2254 Kalakaua ,Waikiki,HI,(M),Bars/Clubs,1971,,,,4/17/2020 11:50pm,7/27/2020 11:33am
145,Cocktail Center,(across from Ala Moana Center),435 Atkinson Dr.,Waikiki,HI,,Bars/Clubs,1971,,,,4/18/2020 12:33am,7/27/2020 11:33am
