ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
41,Atom Club,,230 W. Lewis,Pocatello,ID,"(M),(YC),(*)",Bars/Clubs,1976,,,,,
54,Atom Club,,230 W. Lewis,Pocatello,ID,"(M),(YC),(*)",Bars/Clubs,1977,,,,,
67,Bernie's Lounge,(nr. center),100 So. Main ,Pocatello,ID,(*),Bars/Clubs,1978,,,,,
82,Bernie's Lounge,nr. Center,100 S. Main,Pocatello,ID,,Bars/Clubs,1979,,,,,
101,Bernie's Lounge,nr. Center,100 S. Main ,Pocatello,ID,,Bars/Clubs,1980,,,,,
97,Book People,(Books & info) ,512 S. Main,Moscow,ID,(*),Book Store,1980,,,,,
85,Cheap Chic,(Clothing),222 N. 9th,Boise,ID,,Business,1980,,,,,
77,Headquarters Books,"('Toys', 'flicks' & cruisy arcade)",414 Main,Lewiston,ID,(*),"Book Store,Crusing Areas",1979,,,,,
94,Headquarters Books,"('Toys', 'flicks' & cruisy arcade)",414 Main,Lewiston,ID,(*),"Book Store,Crusing Areas",1980,,,,,
18,Office,,251 E. Center,Pocatello,ID,,Bars/Clubs,1973,,,,,
24,Office,,251 E. Center,Pocatello,ID,(M),Bars/Clubs,1974,,,,,
42,Office,,251 E. Center,Pocatello,ID,(M),Bars/Clubs,1976,,,,,
55,Office,,251 E. Center St,Pocatello,ID,(M),Bars/Clubs,1977,,,,,
68,Office,,251 E. Center St.,Pocatello,ID,(M),Bars/Clubs,1978,,,,,
83,Office,,251 E. Center St.,Pocatello,ID,(M),Bars/Clubs,1979,,,,,
102,Office,,251 E. Center St.,Pocatello,ID,(*),Bars/Clubs,1980,,,,,
32,Office ,,251 E. Center,Pocatello,ID,(M),Bars/Clubs,1975,,,,,
87,Over 19 Adult Center,,4109 Chinden Ave.,Boise,ID,(*),Business,1980,,,,,
22,Red Barn,,2528 Cleveland Blvd,Caldwell,ID,(M),Bars/Clubs,1974,,,,,
27,Red Barn,,2528 Cleveland Blvd,Caldwell,ID,(M),Bars/Clubs,1975,,,,,
35,Red Barn,,2528 Cleveland Blvd,Caldwell,ID,(M),Bars/Clubs,1976,,,,,
46,Red Barn,,2528 Cleveland Blvd,Caldwell,ID,(M),Bars/Clubs,1977,,,,,
60,Red Barn,,2528 Cleveland Blvd,Caldwell,ID,(M),Bars/Clubs,1978,,,,,
72,Red Barn,,2528 Cleveland Blvd,Caldwell,ID,(M),Bars/Clubs,1979,,,,,
58,Shuckey's,,223 S. 10th St.,Boise,ID,"(D),(PT),(*)",Bars/Clubs,1978,,,,,
88,Shuckey's,('Tops' in Idaho)(Some L)(Boutique)(Recently expanded)(Disco)(Cruisy),233 S. 10th St.,Boise,ID,"(L),(R),(YC),(D),(PT)","Crusing Areas,Bars/Clubs",1980,,,,,
70,Shuckey's ,('Tops' in Idaho)(Some G)(Disco)(Cruisy),233 S. 10th St.,Boise,ID,"(YC),(G),(D),(PT)","Crusing Areas,Bars/Clubs",1979,,,,,
