ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
108,Haig,,800 N Dearborn ,Chicago,IL,,,,,1968,,2/24/2020 4:42am,3/28/2020 8:58pm
202,Annex,(Was closed - may be reopening summer '69),2865 N. Clark St,Chicago,IL,,,,,1970,,2/24/2020 7:11am,3/28/2020 8:59pm
523,Gold Coast ,,501 N. Clark St.,Chicago,IL,"(SM),(*)",,,,1974,,2/29/2020 4:50am,3/28/2020 8:59pm
1325,Dunlap Motor Inn,,T-Room,,IL,,,,,1979,,3/11/2020 12:18am,3/28/2020 8:59pm
1,Club,,706 State Line Av,Calumet City,IL,"(G),(*)",Bars/Clubs,,,1965,,2/23/2020 3:54am,3/28/2020 8:59pm
3,Mr B's,,606 State Line Av,Calumet City,IL,(*),Bars/Clubs,,,1965,,2/23/2020 3:56am,3/28/2020 8:59pm
4,Three-O-Seven Club,,307 State St,Calumet City,IL,(G),Bars/Clubs,,,1965,,2/23/2020 3:56am,3/28/2020 8:59pm
5,Buttery,Ambassador West Hotel,1300 N State Pkwy,Chicago,IL,"(M),(PE)",Bars/Clubs,,,1965,,2/23/2020 3:56am,3/28/2020 8:59pm
6,Annex,,2865 N Clark St,Chicago,IL,"(S),(*)",Bars/Clubs,,,1965,,2/23/2020 3:57am,3/28/2020 8:59pm
7,Century,,2810 N Clark St,Chicago,IL,(*),Bars/Clubs,,,1965,,2/23/2020 3:59am,3/28/2020 8:59pm
8,Chesterfield ,,2829 N Clark St,Chicago,IL,"(*),(S)",Bars/Clubs,,,1965,,2/23/2020 3:59am,3/28/2020 8:59pm
11,Finocchio's,,2835 N Broadway,Chicago,IL,(S),Bars/Clubs,,,1965,,2/24/2020 2:39am,3/28/2020 8:59pm
12,Front Page,,530 N Rush St,Chicago,IL,(S),Bars/Clubs,,,1965,,2/24/2020 2:39am,3/28/2020 8:59pm
13,Gold Coast,,1138 N Clark,Chicago,IL,"(S),(M),(*)",Bars/Clubs,,,1965,,2/24/2020 2:40am,3/28/2020 8:59pm
14,Haig ,,800 N Dearbom,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:41am,3/28/2020 8:59pm
16,Hugo's ,,1840 N Wells St,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:41am,3/28/2020 8:59pm
17,Jester's ,,6654 S. Western,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:42am,3/28/2020 8:59pm
18,King's Inn,,4156 W Kedzie,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:42am,3/28/2020 8:59pm
19,Kitty Shean's,,745 Rush St,Chicago,IL,(PE),Bars/Clubs,,,1965,,2/24/2020 2:43am,3/28/2020 8:59pm
20,Kona Winds,,1114 W Argyle,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:43am,3/28/2020 8:59pm
23,New Jamee's ,,1116 N Clark St,Chicago,IL,(RT),Bars/Clubs,,,1965,,2/24/2020 2:44am,3/28/2020 8:59pm
24,Nite Life,,931 N State,Chicago,IL,(S),Bars/Clubs,,,1965,,2/24/2020 2:45am,3/28/2020 8:59pm
25,Oasis ,,1745 W Howard St,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:45am,3/28/2020 8:59pm
26,Office,,4636 Broadway,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:45am,3/28/2020 8:59pm
27,Orange Cockatoo,,2836 N Clark,Chicago,IL,(S),Bars/Clubs,,,1965,,2/24/2020 2:45am,3/28/2020 8:59pm
28,Paul's Checkmate,,2546 N Clark St,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:46am,3/28/2020 8:59pm
31,Zack's ,,24 W Van Buren,Chicago,IL,,Bars/Clubs,,,1965,,2/24/2020 2:47am,3/28/2020 8:59pm
32,Hob Nob,,125 E Main St,Danville,IL,"(M),(*)",Bars/Clubs,,,1965,,2/24/2020 2:47am,3/28/2020 8:59pm
33,Plaza Hotel Bar,,8 W Main,Danville,IL,"(M),(PE)",Bars/Clubs,,,1965,,2/24/2020 2:48am,3/28/2020 8:59pm
34,Esquire,(back part),211 N Chicago,Joliet,IL,(M),Bars/Clubs,,,1965,,2/24/2020 2:48am,3/28/2020 8:59pm
35,House of Ivy,,557 E Jackson,Joliet,IL,"(*),(S)",Bars/Clubs,,,1965,,2/24/2020 2:50am,3/28/2020 8:59pm
37,Broadway ,,205 E Broadway,Monmouth,IL,(*),Bars/Clubs,,,1965,,2/24/2020 2:52am,3/28/2020 8:59pm
38,First St Tap,,117 1st St,Monmouth,IL,"(M),(RT)",Bars/Clubs,,,1965,,2/24/2020 2:52am,3/28/2020 8:59pm
39,Colonial Cove,,215 Main,Peoria,IL,"(M),(RT)",Bars/Clubs,,,1965,,2/24/2020 2:53am,3/28/2020 8:59pm
40,Ray's Quench Room,,631 W Main ,Peoria,IL,(*),Bars/Clubs,,,1965,,2/24/2020 2:53am,3/28/2020 8:59pm
41,Office ,,513 E State St,Rockford,IL,(M),Bars/Clubs,,,1965,,2/24/2020 2:54am,3/28/2020 8:59pm
42,Carousel,,314 20th St,Rock Island,IL,"(D),(*)",Bars/Clubs,,,1965,,2/24/2020 2:54am,3/28/2020 8:59pm
43,Club Limbo,,18th St,Rock Island,IL,(M),Bars/Clubs,,,1965,,2/24/2020 2:55am,3/28/2020 8:59pm
