ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified
1,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:24am
5,Barracks,"(Baths) (Health Club) (Burned, but should b re-opening)",1114 Cathedral,Baltimore,MD,"(*),(P)",Baths,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
6,Club East Baths,,1105 Cathedral,Baltimore,MD,"(P),(*)",Baths,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
7,Club Mitchell,(Also C-AH),1103 E. Pratt,Baltimore,MD,"(*),(L),(R),(D),(PT),(C),(AH)","Bars/Clubs,Restaurant",1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
9,Eager St. Saloon,(Adjoins Hippo- opens 4pm) at Charles,1 W. Eager,Baltimore,MD,"(YC),(D),(PT),(*)",Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
10,Frankie & Ronnie's,(Some L),2218 Boston St.,Baltimore,MD,"(M),(YC),(L),(D)",Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
11,Gallery,& Shipmates Disco Room,1735 Maryland,Baltimore,MD,"(SM),(*),(W),(R)","Bars/Clubs,Restaurant",1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
12,Hippopotamus,(Disco) (Unisex)at Charles,1 W. Eager,Baltimore,MD,"(*),(HIP),(YC),(D),(PT)",Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
14,Leon's,,870 Park Ave.,Baltimore,MD,(*),Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
15,Lynn's,,774 Washington,Baltimore,MD,,Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
16,Mary's Club,(Disco),1101 Cathedral,Baltimore,MD,"(*),(YC),(D)",Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
17,Masquerade,,2308 Boston St. ,Baltimore,MD,"(L),(PT),(D)",Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
18,M.C.C.,,2233 St. Paul St.,Baltimore,MD,M.C.C.,Church,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
20,Parker's,('Hustlers'),704 N Howard,Baltimore,MD,"(B),(RT)",Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
21,Private Affair,,2001 Eastern,Baltimore,MD,,Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
22,Senator Bar,(Some OC) (Good Sundays),612 N. Howard,Baltimore,MD,"(*),(E),(OC)",Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
23,Shot Tower Bar,(Some L),4 N. High St.,Baltimore,MD,(L),Bars/Clubs,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
24,Studio,"(Some SM, W) (Adjoins Gallery)",1735 Maryland Ave.,Baltimore,MD,"(*),(R),(SM),(W)","Bars/Clubs,Restaurant",1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
26,Turkish Baths,"(Some OC, B)",1425 E. Baltimore,Baltimore,MD,"(OC),(B)",Baths,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
27,Tyson Place,(Can enter thru rear of Leon's),227 W. Chase St.,Baltimore,MD,"(M),(R)",Restaurant,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
28,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,"(M),(H)",Hotels,1980,,,4/13/2020 3:37pm,5/7/2020 7:25am
