ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1,Flame ,,115 W. Washington ,Ann Arbor,MI,"(R),(M)",Restaurant,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
2,Town Club ,,210 W. Washington ,Ann Arbor,MI,,Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
3,Driftwood ,,97 W. Michigan ,Battle Creek ,MI,(M),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
4,Top Hat ,,50 S. 20th St. ,Battle Creek ,MI,(*),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
5,Barbary Coast ,,2549 Grand Riv,Detroit,MI,"(*),(D)",Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
6,Brass Rail ,,6545 Woodward ,Detroit,MI,(R),Restaurant,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
7,Chez Monti ,,323 E. Larned ,Detroit,MI,(RT),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
8,Circa 1890,,5474 Cass ,Detroit,MI,"(PE),(*)",Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
9,Gold Dollar ,,3127 Cass ,Detroit,MI,"(M),(S),(*)",Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
10,La Rosa's ,,731 Bates ,Detroit,MI,(RT),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
12,Motor Bar ,,18318 Van Dyke,Detroit,MI,(S),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
13,Palais ,,655 Beau Bien ,Detroit,MI,(G),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
14,Silver Star ,,9310 Greenfield,Detroit,MI,,Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
16,Ten-Eleven ,,1011 Farmer ,Detroit,MI,"(*),(SM),(RT)",Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
17,Woodward Lounge ,,6424 Woodward,Detroit,MI,(*),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
18,Golden Spike ,,516 N. Saginaw,Flint,MI,(*),Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
19,Sports Beer Bar ,,517 Brush ,Flint,MI,,Bars/Clubs,1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
22,Columbia Hotel Bar ,,336 E. Michigan ,Kalamazoo,MI,"(M),(PE)","Bars/Clubs,Hotels",1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
24,Wentworth Hotel Bar ,,201 E. Michigan ,Lansing,MI,(M),"Bars/Clubs,Hotels",1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
25,Saginaw Hotel Bar ,,134 N. Baum St. ,Saginaw,MI,(M),"Bars/Clubs,Hotels",1965,,,,3/9/2020 2:11am,3/28/2020 8:45pm
28,Flame ,,115 W. Washington ,Ann Arbor,MI,(M),Bars/Clubs,1966,,,,3/9/2020 2:11am,3/28/2020 8:45pm
29,Town Club,,210 W. Washington ,Ann Arbor,MI,"(M),(*)",Bars/Clubs,1966,,,,3/9/2020 2:11am,3/28/2020 8:45pm
30,Dirftwood ,,97 W. Michigan ,Battle Creek ,MI,(M),Bars/Clubs,1966,,,,3/9/2020 2:11am,3/28/2020 8:45pm
31,Top Hat ,,50 S. 20th St. ,Battle Creek ,MI,(*),Bars/Clubs,1966,,,,3/9/2020 2:11am,3/28/2020 8:45pm
