ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1,Erie Rex Lounge,(Cruisy-WE),Hwy. 10 E,Detroit Lakes,MN,"(M),(R),(E),(WE)","Cruising Areas,Restaurant,Bars/Clubs",1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
2,Duluth Hotel Bar,,231 E. Superior,Duluth,MN,(M),"Hotels,Bars/Clubs",1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
3,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
4,Mr. Pete's Corral,,412 W. Superior,Duluth,MN,"(M),(RT)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
6,Adonis Theatre,,900 Hennepin Ave.,Minneapolis,MN,,Theatre,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
7,Adult Book Store,,429 Hennepin Ave.,Minneapolis,MN,(*),Book Store,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
8,Big Daddy'a,(Baths),3 N. 7th Hennepin,Minneapolis,MN,(OC),Baths,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
9,Brass Rail,(Some OC),422 Hennepin Ave.,Minneapolis,MN,"(OC),(*)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
11,Club Minneapolis Baths,(Should be a winner),113 1st St. N. ,Minneapolis,MN,,Baths,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
12,Diginity,(Catholic Church),1701 Univeristy,Minneapolis,MN,,Church,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
13,Gay House,(Social organ.),4419 Nicollet,Minneapolis,MN,,Organizations,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
14,Gay Nineties,(Disco) (Some L) (Adj. Happy Hour),408 Hennepin Ave,Minneapolis,MN,"(*),(YC),(D),(L),(R)","Restaurant,Bars/Clubs",1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
15,Happy Hour,(Some OC) (Cruisy),408 Hennepin Ave,Minneapolis,MN,"(*),(OC)","Bars/Clubs,Cruising Areas",1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
16,Integrity,(St. John's Church),4201 Sheridan Ace. S,Minneapolis,MN,,Church,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
17,Locker Room Health Club,(Baths) ('Harness' shop),315 1st Ave. N,Minneapolis,MN,(*),"Baths,Business",1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
19,M.C.G.R.,(Social),111 E. Franklin,Minneapolis,MN,,Church,1980,,checked,,3/26/2020 12:44am,7/23/2020 7:23pm
20,Nineteen Bar,(Beer) (Many L),19 W. 15th St.,Minneapolis,MN,"(D),(L),(PT)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
21,Simion's,,416 Hennepin Ave.,Minneapolis,MN,"(R),(AH)",Restaurant,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
22,Sun Bar & Disco,(Disco) (WE*),413 Hennepin Ave.,Minneapolis,MN,"(S),(D),(WE),(*)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
23,Y'All Come Back,(Disco) (Sign says 'Tourist Hotel'),830 Hennepin Ave.,Minneapolis,MN,"(YC),(D),(*)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
30,Arbuckle's,(Cruisy) Ramada Inn,600 30th Ave. S.,Moorhead,MN,"(M),(D)","Cruising Areas,Bars/Clubs",1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
31,Harry's American Bar,Holliday Inn Downtown,220 S. Broadway,Rochester,MN,(M),"Bars/Clubs,Hotels",1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
34,Press Club,,502 St. Germaine Ave,St. Cloud,MN,"(M),(YC)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
35,Foxy's,(Disco) (WE*) (Neon sigh says Saints & Sinners),249 W. 7th St.,St. Paul,MN,"(L),(D),(WE),(*)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
37,La Senorita,(Mexican R) (Roseville),1961 Rice St.,St. Paul,MN,"(M),(R)",Restaurant,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
38,Town House,(Many L) (Disco),1415 University Ave,St. Paul,MN,"(L),(D),(*)",Bars/Clubs,1980,,,,3/26/2020 12:44am,7/23/2020 7:23pm
