ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
334,A.A.A. Baths,,9922 E. Truman Rd.,Kansas City,MO,,Baths,,,1975,,3/23/2020 8:19pm,7/23/2020 7:22pm
438,A.A.A. Baths,,9922 E. Truman Rd.,Kansas City,MO,,Baths,,,1973,,3/29/2020 10:38pm,7/23/2020 7:22pm
386,A.A.A. Baths ,,9922 E. Truman Rd.,Kansas City,MO,,Baths,,,1974,,3/29/2020 10:01pm,7/23/2020 7:22pm
215,AAA Baths,(best afternoons - closes early),9922 Truman Road,Kansas City,MO,,Baths,,,1977,,3/23/2020 6:57pm,7/23/2020 7:22pm
520,AAA Baths,,9922 E. Truman Rd.,Kansas City,MO,,Baths,,,1971,,3/30/2020 3:05am,7/23/2020 7:22pm
153,AAA Baths ,(Closes early) ,9922 Truman Rd.,Kansas City,MO,,Baths,,,1978,,3/21/2020 1:06am,7/23/2020 7:22pm
482,AAA Baths ,,9922 E. Truman Rd.,Kansas City,MO,,Baths,,,1972,,3/30/2020 2:43am,7/23/2020 7:22pm
648,Act IV Expresso ,,3522 Olive St,St. Louis,MO,"(C),(RT)",Bars/Clubs,,,1965,,3/30/2020 2:30pm,7/23/2020 7:22pm
84,Adult Literary Guild,(Books),3849 Main St.,Kansas City,MO,,Book Store,,,1979,,3/20/2020 10:35pm,7/23/2020 7:22pm
8,Adult Literary Guild ,(Books),3849 Main St.,Kansas City,MO,,Book Store,,,1980,,3/20/2020 8:43pm,7/23/2020 7:22pm
34,Alta Theatre,,3314 Troost,Kansas City,MO,Cruisy Area,Cruising Areas,,,1980,,3/20/2020 9:03pm,7/23/2020 7:22pm
103,Alta Theatre,,3314 Troost,Kansas City,MO,Cruisy Area,Cruising Areas,,,1979,,3/20/2020 10:44pm,7/23/2020 7:22pm
521,Alternate,,701 W. 12th St.,Kansas City,MO,"(G),(D),(*)",Bars/Clubs,,,1971,,3/30/2020 3:05am,7/23/2020 7:22pm
546,Alternate,,701 W. 12th St.,Kansas City,MO,"(G),(D),(*)",Bars/Clubs,,,1970,,3/30/2020 3:49am,7/23/2020 7:22pm
439,Arabian Nights,,3314 Gillham Plaza,Kansas City,MO,"(D),(*)",Bars/Clubs,,,1973,,3/29/2020 10:38pm,7/23/2020 7:22pm
522,Arabian Nights,,3314 Gilham Plaza,Kansas City,MO,"(D),(*)",Bars/Clubs,,,1971,,3/30/2020 3:26am,7/23/2020 7:22pm
547,Arabian Nights,,3314 Gilham Plaza,Kansas City,MO,(*),Bars/Clubs,,,1970,,3/30/2020 3:49am,7/23/2020 7:22pm
571,Arabian Nights,,3314 Gilham Plaza,Kansas City,MO,(*),Bars/Clubs,,,1969,,3/30/2020 1:27pm,7/23/2020 7:22pm
594,Arabian Nights,,3314 Gilham Plaza,Kansas City,MO,(*),Bars/Clubs,,,1968,,3/30/2020 1:40pm,7/23/2020 7:22pm
616,Arabian Nights,,3314 Gillham Plaza,Kansas City,MO,(*),Bars/Clubs,,,1966,,3/30/2020 1:49pm,7/23/2020 7:22pm
637,Arabian Nights,,3314 Gillham Plaza,Kansas City,MO,(*),Bars/Clubs,,,1965,,3/30/2020 2:01pm,7/23/2020 7:22pm
483,Arabian Nights ,,3314 Gilham Plaza,Kansas City,MO,"(YC),(D),(*)",Bars/Clubs,,,1972,,3/30/2020 2:43am,7/23/2020 7:22pm
387,Asylum ,(after hours),3805 Broadway ,Kansas City,MO,"(R),(C)",Restaurant,,,1974,,3/29/2020 10:02pm,7/23/2020 7:22pm
9,Baghdad,(Disco) (Looks promising),3712 Broadway,Kansas City,MO,"(YC),(D)",Bars/Clubs,,,1980,,3/20/2020 8:43pm,7/23/2020 7:22pm
299,Balaban's,,405 N. Euclid,St. Louis,MO,"(M),(R),(HIP)",Restaurant,,,1976,,3/23/2020 7:59pm,7/23/2020 7:22pm
356,Balaban's,,405 N. Euclid,St. Louis,MO,"(R),(M)",Restaurant,,,1975,,3/24/2020 12:14am,7/23/2020 7:22pm
459,Balaban's,,405 N. Euclid,St. Louis,MO,(R),Restaurant,,,1973,,3/29/2020 11:33pm,7/23/2020 7:22pm
49,Balaban's ,,405 N. Euclid,St. Louis,MO,"(M),(HIP),(R)",Restaurant,,,1980,,3/20/2020 9:16pm,7/23/2020 7:22pm
115,Balaban's ,,405 N. Euclid,St. Louis,MO,"(M),(HIP),(R)",Restaurant,,,1979,,3/20/2020 10:48pm,7/23/2020 7:22pm
179,Balaban's ,,405 N. Euclid ,St. Louis,MO,"(HIP),(M),(R)",Restaurant,,,1978,,3/22/2020 1:58am,7/23/2020 7:22pm
241,Balaban's ,,405 N. Euclid,St. Louis,MO,"(M),(HIP),(R)",Restaurant,,,1977,,3/23/2020 7:07pm,7/23/2020 7:22pm
407,Balaban's ,,405 N. Euclid ,St. Louis,MO,(R),Restaurant,,,1974,,3/29/2020 10:19pm,7/23/2020 7:22pm
357,Belcher Baths,,407 Lucas Ave.,St. Louis,MO,,Baths,,,1975,,3/24/2020 12:15am,7/23/2020 7:22pm
408,Belcher Baths,,407 Lucas Ave.,St. Louis,MO,,Baths,,,1974,,3/29/2020 10:20pm,7/23/2020 7:22pm
460,Belcher Baths,,407 Lucas Ave.,St. Louis,MO,,Baths,,,1973,,3/29/2020 11:34pm,7/23/2020 7:22pm
300,Belcher Baths ,,407 Lucas Ave.,St. Louis,MO,,Baths,,,1976,,3/23/2020 7:59pm,7/23/2020 7:22pm
242,Belcher's Baths,,407 Lucas Avenue,St. Louis,MO,,Baths,,,1977,,3/23/2020 7:07pm,7/23/2020 7:22pm
626,Belcher's New Baths,,407 Lewis,St. Louis,MO,,Baths,,,1966,,3/30/2020 1:52pm,7/23/2020 7:22pm
649,Belcher's New Baths,,407 Lucas,St. Louis,MO,,Baths,,,1965,,3/30/2020 2:30pm,7/23/2020 7:22pm
10,Berkeley Westport Hotel,,315 W. 38th St.,Kansas City,MO,(H),Hotels,,,1980,,3/20/2020 8:44pm,7/23/2020 7:22pm
116,Betty & Sandy's Place,,2258 California at Shenandoah,St. Louis,MO,(G),Bars/Clubs,,,1979,,3/20/2020 10:48pm,7/23/2020 7:22pm
180,Betty & Sandy's Place,,2258 California at Shenandoah,St. Louis,MO,(G),Bars/Clubs,,,1978,,3/22/2020 1:59am,7/23/2020 7:22pm
243,Betty & Sandy's Place,,2258 California at Shenandoah,St. Louis,MO,"(G),(*)",Bars/Clubs,,,1977,,3/23/2020 7:08pm,7/23/2020 7:22pm
302,Bijou,(this has made a real impact) (Disco),4301 Maryland at Boyle,St. Louis,MO,"(YC),(D),(*)",Bars/Clubs,,,1976,,3/23/2020 7:59pm,7/23/2020 7:22pm
4,Billy's,,420 Joplin,Joplin,MO,"(PT),(D),(*)","Bars/Clubs,Cruising Areas",,,1980,,3/20/2020 8:41pm,7/23/2020 7:22pm
181,Bob Martin Bar,"(Opens 11 a.m. - good after-noons - 50 cent cocktail hour till 6 p.m. VIP Room has YC, Disco, D & Gateway Saloon SM, W, Downstairs are open Wed., Fri., & Sat. only) ",201 So. 20th,St. Louis,MO,"(*),(YC),(D),(SM),(W)",Bars/Clubs,,,1978,,3/22/2020 2:00am,7/23/2020 7:22pm
653,Bob Martin's,,1215 Olive St.,St. Louis,MO,(*),Bars/Clubs,,,1965,,3/30/2020 3:04pm,7/23/2020 7:22pm
558,Bob Martin's ,McKinley Hotel,801 N. 12th St.,St. Louis,MO,(*),Bars/Clubs,,,1970,,3/30/2020 3:54am,7/23/2020 7:22pm
627,Bob Martin's ,,1215 Olive St.,St. Louis,MO,(*),Bars/Clubs,,,1966,,3/30/2020 1:53pm,7/23/2020 7:22pm
50,Bob Martin's Bar,"(This popular cruisy complex open from 11 AM V.I.P. Room has YC, Disco, D, Gateway Saloon (Downstairs) SM, W on Wed., Fri. & Sat. Also S in the new Cellar Room & Stadium Baths) Stadium Hotel ",201 S. 20th,St. Louis,MO,"(YC),(D),(SM),(W),(S),(*)","Baths,Bars/Clubs,Cruising Areas",,,1980,,3/20/2020 9:16pm,7/23/2020 7:22pm
117,Bob Martin's Bar,"(This popular complex open from 11 a.m. - Cocktail hour 3 - 7 p.m. V.I.P. Room has YC, Disco, D. Gateway Saloon SM, W on Wed., Fri. & Sat. Also S in the new Cellar Room & Stadium Baths.) Stadium Hotel ",201 S. 20th ,St. Louis,MO,"(*),(YC),(D),(SM),(W),(S)","Bars/Clubs,Hotels",,,1979,,3/20/2020 10:49pm,7/23/2020 7:22pm
244,Bob Martin's Bar,"(Opens 11 a.m. - good afternoons - 50 cents cocktail hour 'till 6 p.m. - V.I.P. Room, Disco, D, YC) Wednesday through Sunday and Gateway Saloon, Stadium Hotel ",201 S. 20th ,St. Louis,MO,"(D),(YC),(SM),(W),(WE),(*)","Bars/Clubs,Hotels",,,1977,,3/23/2020 7:13pm,7/23/2020 7:22pm
303,Bob Martin's Bar,"(some W, SM) (downstairs, D, WE, open Sun. 1 pm to midnight) Stadium Hotel ",201 S. 20th,St. Louis,MO,"(W),(D),(SM),(*),(WE)","Bars/Clubs,Hotels",,,1976,,3/23/2020 8:00pm,7/23/2020 7:22pm
359,Bob Martin's Bar,(some W - SM) Stadium Hotel,201 S. 20th,St. Louis,MO,"(W),(SM),(D),(*)",Bars/Clubs,,,1975,,3/29/2020 9:45pm,7/23/2020 7:22pm
410,Bob Martin's Bar,Stadium Hotel ,201 S. 20th,St. Louis,MO,"(RT),(D),(*)","Bars/Clubs,Hotels",,,1974,,3/29/2020 10:21pm,7/23/2020 7:22pm
462,Bob Martin's Bar,McKinley Hotel,801 N. 12th St.,St. Louis,MO,"(RT),(D),(*)",Bars/Clubs,,,1973,,3/29/2020 11:35pm,7/23/2020 7:22pm
501,Bob Martin's Bar,McKinley Hotel,801 N. 12th St.,St. Louis,MO,"(D),(*)",Bars/Clubs,,,1972,,3/30/2020 2:52am,7/23/2020 7:22pm
532,Bob Martin's Bar,McKinley Hotel,801 N. 12th St.,St. Louis,MO,"(D),(*)",Bars/Clubs,,,1971,,3/30/2020 3:29am,7/23/2020 7:22pm
182,Bookshelf ,(Books),1116 Olive St. ,St. Louis,MO,(*),Book Store,,,1978,,3/22/2020 2:02am,7/23/2020 7:22pm
52,Broadway News,,712 N. Broadway,St. Louis,MO,,Book Store,,,1980,,3/20/2020 9:18pm,7/23/2020 7:22pm
119,Broadway News,,712 N. Broadway ,St. Louis,MO,,Book Store,,,1979,,3/20/2020 10:50pm,7/23/2020 7:22pm
183,Broadway News,,712 N. Broadway,St. Louis,MO,,Book Store,,,1978,,3/22/2020 2:02am,7/23/2020 7:22pm
245,Broadway News,,712 N. Broadway,St. Louis,MO,,Book Store,,,1977,,3/23/2020 7:13pm,7/23/2020 7:22pm
304,Broadway News,,712 N. Broadway,St. Louis,MO,,Book Store,,,1976,,3/23/2020 8:01pm,7/23/2020 7:22pm
11,Broadway Territory,(Open for Sun. brunch) (Should be a big winner),3601 Broadway,Kansas City,MO,(R),Restaurant,,,1980,,3/20/2020 8:44pm,7/23/2020 7:22pm
12,Bunkhouse,(Upstairs),3109 Main St.,Kansas City,MO,"(P),(*)",Baths,,,1980,,3/20/2020 8:45pm,7/23/2020 7:22pm
85,Bunkhouse,(Upstairs),3109 Main St.,Kansas City,MO,"(P),(*)",Baths,,,1979,,3/20/2020 10:36pm,7/23/2020 7:22pm
480,Caesar's,,407 Main St.,Joplin,MO,(M),Bars/Clubs,,,1972,,3/29/2020 11:50pm,7/23/2020 7:22pm
518,Caesar's ,,407 Main St.,Joplin,MO,(M),Bars/Clubs,,,1971,,3/30/2020 3:04am,7/23/2020 7:22pm
53,Charlie's Lounge,,719 N. 6th St.,St. Louis,MO,"(RT),(*)",Bars/Clubs,,,1980,,3/20/2020 9:19pm,7/23/2020 7:22pm
120,Charlie's Lounge,,719 N. 6th St.,St. Louis,MO,"(RT),(*)",Bars/Clubs,,,1979,,3/20/2020 10:51pm,7/23/2020 7:22pm
246,Charlie's Lounge,,719 N. 6th Street ,St. Louis,MO,(RT),Bars/Clubs,,,1977,,3/23/2020 7:14pm,7/23/2020 7:22pm
305,Charlie's Lounge,,719 N. 6th St.,St. Louis,MO,(RT),Bars/Clubs,,,1976,,3/23/2020 8:03pm,7/23/2020 7:22pm
184,Charlie's Lounge ,(May be moving),719 N. 6th St.,St. Louis,MO,(RT),Bars/Clubs,,,1978,,3/22/2020 2:02am,7/23/2020 7:22pm
