ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
284,Adult Shop,,3rd & Central,Great Falls,MT,Cruisy Areas,"Crusing Areas,Business",1978,,,,,
295,Bronx Lounge,(cruisy),42 W. Broadway,Butte,MT,"(M),Cruisy Areas",Bars/Clubs,1979,,,,,
264,Cockpit,,131 Moore,Billings,MT,"(M),(YC)",Bars/Clubs,1977,,,,,
278,Cockpit,,131 Moore,Billings,MT,"(M),(YC)",Bars/Clubs,1978,,,,,
291,Cockpit,,131 Moore,Billings,MT,"(M),(YC)",Bars/Clubs,1979,,,,,
256,Crown Room,,425 N. Last Chance Gulch,Helena,MT,(M),Bars/Clubs,1975,,,,,
262,Crown Room,,425 N. Last Chance Gulch,Helena,MT,(M),Bars/Clubs,1976,,,,,
272,Crown Room,,425 N. Last Chance Gulch,Helena,MT,(M),Bars/Clubs,1977,,,,,
267,Crystal Lounge,Northern Hotel (Downstairs Basement Bar),Broadway & 1st Ave N.,Billings,MT,,"Hotels,Bars/Clubs",1977,,,,,
251,Flamingo,,600 N. Higgins ,Missoula,MT,(M),Bars/Clubs,1974,,,,,
257,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1975,,,,,
263,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1976,,,,,
275,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1977,,,,,
308,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1979,,,,,
289,Flamingo ,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1978,,,,,
269,Forum Club,,204 1st Avenue South,Great Falls,MT,"(P),(D),(S),(G),(*),(PT)",Bars/Clubs,1977,,,,,
265,Golden Galleon Lounge,Rainbow Hotel ,20 3rd Ave No. ,Great Falls,MT,"(M),(OC)","Bars/Clubs,Hotels",1978,,,,,
268,Harrington's,,On Broadway near Bus Depot,Butte,MT,"(M),(YC)",Bars/Clubs,1977,,,,,
214,Harvey's Steam Baths,,203 Central Ave,Great Falls,MT,,Baths,1968,,,,,
219,Harvey's Steam Baths,,203 Central Ave,Great Falls,MT,,Baths,1969,,,,,
224,Harvey's Steam Baths,(best weekends),203 Central Ave,Great Falls,MT,,Baths,1970,,,,,
317,Harvey's Steam Baths,(best weekends),203 Central Ave.,Great Falls,MT,,Baths,1971,,,,,
